name,ra,dec,fracflux_w1,fracflux_w2,flags_unwise_w1,nm_w1,n_unwise_10as,n_ps1_8as,nbr_min_sep_as,nbr_min_dz,w1_contam_est,target_z_ps1,blend_kind,blend_flag
P17497,129.24389,7.9637045,0.7743390202522278,0.7702199816703796,0,139,8,0,,,,17.837099075317383,extended host,False
P18234,130.58383,7.9384406,0.6077510118484497,0.342179000377655,0,126,1,0,,,,17.1742000579834,extended host,False
P18591,137.54645,54.456544,0.9729059934616088,0.9878649711608888,0,146,0,0,,,,17.86370086669922,clean,False
P14768,118.53288,23.284588,0.9973130226135254,0.9991909861564636,0,105,0,0,,,,17.907699584960938,clean,False
P18655,135.31541,35.683208,0.9950850009918212,0.9977930188179016,0,140,0,0,,,,17.916099548339844,clean,False
P14703,118.90431,25.710828,0.9992719888687134,0.999783992767334,0,101,0,0,,,,16.934999465942383,clean,False
P18795,137.49701,10.595436,0.9991769790649414,0.9997389912605286,0,109,0,0,,,,18.156700134277344,clean,False
P18882,140.10354,34.389217,0.9978690147399902,0.998654007911682,32,117,0,0,,,,17.968000411987305,clean,False
P19194,139.67433,19.344853,0.998933970928192,0.9997739791870116,0,114,0,0,,,,18.079099655151367,clean,False
P19257,136.9387,53.405965,0.9933500289916992,0.9963610172271729,0,132,1,0,,,,18.103099822998047,clean,False
P14650,116.0865,38.311089,0.974318027496338,0.9866679906845092,0,114,0,0,,,,17.947200775146484,clean,False
P19438,139.69133,6.0405799,0.8267599940299988,0.9247270226478576,0,124,1,1,6.453723195630814,2.64419937133789,0.02152145158246,17.800800323486328,clean,False
P19488,137.25982,13.505405,0.994238018989563,0.9757980108261108,0,105,1,4,2.4011234556901875,2.7042007446289062,0.0203879620008466,16.859899520874023,clean,False
P19491,141.90329,15.639771,0.9186580181121826,0.9513800144195556,0,138,1,2,5.779786443103342,1.729198455810543,0.0486050569537837,18.70840072631836,clean,False
P14487,119.44189,15.072057,0.9922279715538024,0.9967229962348938,0,107,0,0,,,,17.496000289916992,clean,False
P19713,136.23316,30.10369,0.9277700185775756,0.997759997844696,0,132,1,0,,,,18.025800704956055,clean,False
P14236,112.15733,44.612816,0.9917150139808656,0.9951019883155824,0,122,0,0,,,,18.03849983215332,clean,False
P19773,136.63282,16.769961,0.973908007144928,0.9925550222396852,0,121,2,0,,,,18.29520034790039,clean,False
P19825,141.77229,37.701923,0.9784389734268188,0.988161027431488,0,127,0,0,,,,18.53179931640625,clean,False
P8961,0.216551999999979,31.197734,0.998386025428772,0.9996860027313232,128,143,0,0,,,,18.15239906311035,clean,False
P7367,346.6985,33.574022,0.9534450173377992,0.9775149822235109,0,149,2,0,,,,18.220800399780273,clean,False
P2225,242.48193,40.354789,0.9809539914131165,0.9902700185775756,0,234,0,0,,,,18.340499877929688,clean,False
P7033,349.23356,31.927186,0.9958999752998352,0.998658001422882,0,164,0,0,,,,17.95870018005371,clean,False
P6933,346.26262,31.921314,0.9732499718666076,0.9874070286750792,0,153,0,0,,,,17.52869987487793,clean,False
P6084,332.35718,-9.5158432,0.8270840048789978,0.9384220242500304,0,114,1,2,6.0094833233419305,-1.930398941040039,0.5978253179848493,18.56399917602539,neighbour,True
P14804,118.39094,30.257224,0.9932339787483216,0.9974370002746582,0,104,0,3,1.636573291764742,,,18.043500900268555,clean,False
P14836,116.36726,19.331297,0.9873340129852296,0.9940930008888244,0,106,0,0,,,,17.636499404907227,clean,False
P20522,144.30955,42.90135,0.97918301820755,0.9900299906730652,0,136,1,0,,,,17.71660041809082,clean,False
P18107,131.14574,0.9216044,0.8903660178184509,0.9344019889831544,0,127,1,1,5.245803694485899,3.0529003143310547,0.0148707572815808,17.909500122070312,clean,False
P1871,242.14655,45.701439,0.9867950081825256,0.9996269941329956,0,294,2,2,1.5985241077775798,2.3890991210937536,0.0270671917770629,17.840200424194336,clean,False
P15799,122.86617,22.345922,0.9865260124206544,0.9937899708747864,0,114,0,0,,,,17.856700897216797,clean,False
P16233,122.09864,26.768973,0.9862200021743774,0.9945380091667176,0,109,0,0,,,,17.848100662231445,clean,False
P15562,122.54578,20.239194,0.962422013282776,0.9880350232124328,0,105,1,2,1.267551584166424,0.0501995086669921,0.2105147877358169,17.922300338745117,neighbour,True
P16345,121.71713,56.736896,0.9988369941711426,0.9996119737625122,0,139,0,0,,,,17.146099090576172,clean,False
P16576,125.59338,41.724389,0.9862970113754272,0.9899370074272156,0,116,0,0,,,,17.759199142456055,clean,False
P1823,245.16306,43.137382,0.9911019802093506,0.9959509968757628,0,252,1,0,,,,18.537399291992188,clean,False
P16590,120.1488,32.782478,0.9989190101623536,0.9996610283851624,0,106,0,1,3.762431628378505,,,18.283599853515625,clean,False
P16613,120.13787,16.708457,0.9947580099105836,0.9981499910354614,0,107,0,0,,,,18.482799530029297,clean,False
P15525,123.31488,17.007259,0.9672330021858216,0.994163990020752,0,102,3,1,5.109880650512536,2.16189956665039,0.0331585428730859,18.418500900268555,clean,False
P1709,241.92899,43.471242,0.9981520175933838,0.9993630051612854,0,263,0,0,,,,18.897899627685547,clean,False
P15451,123.33831,50.983012,0.8924959897994995,0.9821929931640624,0,124,1,1,6.123643563706099,2.002601623535156,0.0381983723886605,18.42009925842285,clean,False
P16824,129.75282,37.150391,0.9982029795646667,0.999296009540558,0,129,0,0,,,,18.528400421142575,clean,False
P15275,120.29452,17.564532,0.9891669750213624,0.9985569715499878,0,114,1,1,6.94138062891606,2.7936992645263636,0.018805096990414,18.21470069885254,clean,False
P17069,133.07154,43.819829,0.9964420199394226,0.9991499781608582,0,134,0,0,,,,18.5132999420166,clean,False
P15175,116.56965,19.28608,0.996845006942749,0.998773992061615,0,106,0,0,,,,18.68000030517578,clean,False
P17373,128.97063,21.824735,0.9960489869117736,0.9984560012817384,0,111,0,2,2.694628340223548,2.338901519775387,0.0474911608588292,18.248699188232425,clean,False
P15060,119.20491,24.436979,0.99864399433136,0.9994660019874572,0,110,0,0,,,,17.413000106811523,clean,False
P15022,117.31971,39.218842,0.9749580025672911,0.9779009819030762,0,106,2,1,2.4679205630013885,-2.215099334716797,0.6589527557529062,18.546499252319336,neighbour,True
P2680,240.22703,33.977366,0.9902459979057312,0.9959350228309632,0,188,1,0,,,,18.44729995727539,clean,False
P17540,128.96028,53.048808,0.978384017944336,0.9997820258140564,0,129,2,2,6.824634045307021,1.5019989013671875,0.0592482432103791,18.37190055847168,clean,False
P14895,119.72341,11.32893,0.9959579706192015,0.9994149804115297,0,117,1,1,5.634720358286481,2.0958003997802734,0.0351667396649204,18.50659942626953,clean,False
P14861,117.12277,23.646441,0.9385030269622804,0.9605090022087096,0,108,1,0,,,,18.605300903320312,clean,False
