objectid,name,ux,uy,knn_lit_frac,is_zeltyn,zeltyn_density,in_litregion,in_zeltynregion
3,P3,13.035762,9.146143,0.12,False,0.77,False,False
28,P28,12.916149,12.867795,0.1,False,0.77,False,False
103,P103,16.986837,3.3192089,0.12,False,0.77,False,False
129,P129,12.050877,12.354922,0.06,False,1.1549999999999998,False,False
190,P190,14.9344,6.822889,0.08,False,0.385,False,False
192,P192,13.942871,7.2028527,0.12,False,0.77,False,False
229,P229,11.754656,8.455119,0.1,False,1.925,False,True
410,P410,12.532614,8.252157,0.14,False,1.1549999999999998,False,True
458,P458,14.447427,13.000136,0.08,False,0.0,False,False
472,P472,16.083368,13.585781,0.1,False,1.925,False,False
501,P501,9.877423,17.583435,0.06,False,1.54,False,False
517,P517,12.857213,11.553739,0.06,False,0.0,False,False
521,P521,10.585992,17.932774,0.1,False,1.1549999999999998,False,False
543,P543,14.016694,6.2989764,0.14,False,1.54,True,True
558,P558,12.48172,8.515578,0.1,False,1.1549999999999998,False,True
659,P659,14.92276,8.883693,0.12,False,0.0,False,False
669,P669,11.907885,8.07544,0.12,False,1.54,False,True
790,P790,14.470279,6.2719526,0.1,False,1.54,False,False
803,P803,13.734729,6.384948,0.12,False,1.1549999999999998,True,True
815,P815,11.270276,11.929937,0.1,False,1.54,False,False
933,P933,9.186376,13.257875,0.1,False,2.6950000000000003,False,True
1060,P1060,9.329261,17.746967,0.1,False,1.54,False,False
1170,P1170,17.629831,2.3739374,0.16,False,0.77,False,False
1177,P1177,16.84637,3.1628795,0.12,False,0.77,False,False
1184,P1184,10.089486,14.177523,0.12,False,1.925,False,True
1283,P1283,18.883383,2.042693,0.14,False,0.385,False,False
1343,P1343,12.521132,8.63487,0.08,False,1.1549999999999998,False,True
1370,P1370,12.818024,10.954695,0.06,False,0.0,False,False
1455,P1455,12.213849,14.078542,0.08,False,1.925,False,False
1484,P1484,10.771874,9.834376,0.12,False,2.3099999999999996,False,True
1642,P1642,15.008586,6.3305383,0.08,False,0.77,False,False
1655,P1655,11.312548,11.1939125,0.12,False,1.1549999999999998,False,False
1709,P1709,12.663123,7.115426,0.18,False,2.3099999999999996,False,False
1750,P1750,14.624692,9.128828,0.12,False,0.0,False,False
1823,P1823,12.796213,7.148579,0.18,False,1.925,False,False
1827,P1827,12.43702,17.770763,0.06,False,0.385,False,False
1854,P1854,16.424833,5.0169673,0.12,False,0.77,False,False
1860,P1860,15.773055,9.986005,0.06,False,0.0,False,False
1871,P1871,10.179813,12.987243,0.08,False,1.54,False,True
1907,P1907,14.662226,5.1902375,0.08,False,2.3099999999999996,False,False
1972,P1972,14.90567,8.0015135,0.14,False,0.0,False,False
1988,P1988,14.448453,17.08236,0.08,False,1.1549999999999998,False,False
2044,P2044,13.175442,12.930331,0.06,False,0.385,False,False
2051,P2051,10.774748,19.202991,0.06,False,0.0,False,False
2070,P2070,16.08911,15.565062,0.08,False,1.1549999999999998,False,False
2157,P2157,8.337937,20.178745,0.14,False,0.77,False,False
2196,P2196,15.41236,5.3859377,0.1,False,1.54,False,False
2207,P2207,17.358496,2.5893228,0.14,False,0.77,False,False
2225,P2225,13.451023,6.394897,0.12,False,1.1549999999999998,True,True
2253,P2253,14.436735,8.259615,0.12,False,0.0,False,False
2254,P2254,12.671972,12.746605,0.1,False,1.1549999999999998,False,False
2256,P2256,17.718393,5.544767,0.1,False,0.385,False,False
2258,P2258,12.0209465,14.753523,0.08,False,2.3099999999999996,False,False
2335,P2335,9.261141,20.176453,0.1,False,0.77,False,False
2372,P2372,11.961952,9.852046,0.04,False,0.385,False,False
2462,P2462,12.467368,10.173776,0.06,False,0.77,False,False
2558,P2558,9.090421,15.74281,0.08,False,2.6950000000000003,False,False
2583,P2583,6.14329,23.70982,0.06,False,1.1549999999999998,False,False
2593,P2593,13.375003,9.705915,0.12,False,0.385,False,False
2618,P2618,6.637999,19.616814,0.2,False,3.465,False,True
2624,P2624,7.626964,19.850035,0.12,False,1.54,False,False
2638,P2638,12.489829,12.475437,0.1,False,0.77,False,False
2650,P2650,12.088627,10.96747,0.08,False,0.385,False,False
2680,P2680,6.4286866,21.492388,0.18,False,4.619999999999999,False,True
2707,P2707,8.631819,18.094063,0.2,False,1.54,False,False
2712,P2712,11.245451,18.944883,0.06,False,0.0,False,False
2714,P2714,18.133823,3.252214,0.22,False,0.77,False,False
2717,P2717,12.931401,15.116996,0.04,False,1.1549999999999998,False,False
2732,P2732,11.109722,12.082117,0.1,False,1.54,False,False
2740,P2740,14.851889,6.1757073,0.14,False,1.54,False,False
2745,P2745,10.81736,10.694578,0.14,False,1.925,False,False
2759,P2759,11.023952,11.249107,0.12,False,1.1549999999999998,False,False
2767,P2767,15.662055,9.218764,0.06,False,0.0,False,False
2793,P2793,12.591753,15.07955,0.02,False,1.54,False,False
2855,P2855,14.021165,6.464462,0.14,False,1.54,True,True
2874,P2874,7.845625,22.26222,0.1,False,0.77,False,False
2879,P2879,14.649097,5.8863597,0.1,False,2.3099999999999996,False,False
2911,P2911,18.723953,9.661066,0.06,False,0.0,False,False
2920,P2920,10.678928,12.465198,0.06,False,1.1549999999999998,False,True
2921,P2921,11.319262,11.91557,0.1,False,1.54,False,False
2927,P2927,15.858842,9.232907,0.02,False,0.0,False,False
2949,P2949,10.356285,20.627804,0.08,False,0.77,False,False
3013,P3013,13.694239,5.9010816,0.12,False,1.1549999999999998,True,True
3024,P3024,11.902699,10.180845,0.08,False,0.77,False,False
3067,P3067,6.8835936,22.088951,0.08,False,2.6950000000000003,False,True
3089,P3089,11.812456,13.207608,0.06,False,1.54,False,False
3095,P3095,7.5940766,17.355108,0.16,False,3.465,False,False
3109,P3109,14.058493,5.807218,0.1,False,2.3099999999999996,True,True
3167,P3167,9.743644,17.838137,0.08,False,1.54,False,False
3178,P3178,9.252334,20.193974,0.1,False,0.77,False,False
3209,P3209,10.278189,14.985158,0.06,False,1.925,False,True
3274,P3274,10.331411,13.906824,0.1,False,1.925,False,True
3326,P3326,14.833582,5.4121804,0.08,False,2.6950000000000003,False,False
3340,P3340,11.980966,12.101115,0.04,False,0.77,False,False
3368,P3368,8.5142565,17.067091,0.1,False,1.925,False,False
3380,P3380,10.465053,14.392487,0.08,False,1.1549999999999998,False,True
3417,P3417,9.827762,14.571193,0.08,False,2.6950000000000003,False,True
3426,P3426,16.027412,8.065747,0.1,False,0.0,False,False
3427,P3427,16.176981,3.7090707,0.12,False,1.1549999999999998,False,True
3438,P3438,13.07048,7.9098463,0.12,False,0.77,False,False
3439,P3439,13.592168,15.469861,0.02,False,1.1549999999999998,False,False
3441,P3441,16.833334,4.655898,0.1,False,0.77,False,False
3452,P3452,12.688787,7.903723,0.14,False,1.54,False,False
3456,P3456,8.296533,17.28786,0.14,False,1.54,False,False
3468,P3468,12.918391,13.055486,0.08,False,0.77,False,False
3475,P3475,16.931814,2.6499918,0.14,False,1.1549999999999998,False,False
3478,P3478,14.353924,4.7016325,0.1,False,2.3099999999999996,True,True
3485,P3485,15.78317,3.9759254,0.14,False,1.925,False,True
3520,P3520,12.155368,10.490654,0.06,False,0.385,False,False
3542,P3542,12.346281,9.249177,0.06,False,0.77,False,False
3557,P3557,13.270703,14.398348,0.04,False,1.1549999999999998,False,False
3570,P3570,14.3486805,5.5511894,0.12,False,2.3099999999999996,True,True
3582,P3582,17.604582,2.7497067,0.14,False,0.77,False,False
3583,P3583,12.247999,15.240545,0.06,False,1.54,False,False
3603,P3603,16.909744,9.416375,0.04,False,0.385,False,False
3611,P3611,11.962081,9.690491,0.04,False,0.385,False,False
3623,P3623,6.7071047,21.620338,0.18,False,4.619999999999999,False,True
3691,P3691,11.938773,9.562202,0.04,False,0.77,False,False
3694,P3694,12.049503,8.581278,0.1,False,1.54,False,True
3706,P3706,15.664835,3.9624162,0.12,False,1.925,False,True
3718,P3718,13.507911,11.412849,0.1,False,0.0,False,False
3734,P3734,11.41005,13.6132965,0.12,False,2.3099999999999996,False,False
3754,P3754,13.8846855,6.296972,0.12,False,1.54,True,True
3755,P3755,16.57989,3.0947325,0.12,False,0.77,False,False
3800,P3800,9.1773405,19.362389,0.12,False,1.1549999999999998,False,False
3813,P3813,12.266515,8.174088,0.12,False,1.1549999999999998,False,True
3863,P3863,18.066006,11.805326,0.02,False,0.0,False,False
3881,P3881,12.469884,13.831369,0.06,False,1.1549999999999998,False,False
3888,P3888,9.994184,17.951435,0.1,False,1.54,False,False
3912,P3912,11.846827,12.644608,0.06,False,1.1549999999999998,False,False
3922,P3922,16.589842,10.991153,0.04,False,0.0,False,False
3973,P3973,11.894586,9.261227,0.06,False,1.54,False,False
3995,P3995,12.114727,9.355375,0.06,False,0.77,False,False
3998,P3998,6.650496,19.864271,0.18,False,3.465,False,True
4011,P4011,15.326185,4.2635894,0.12,False,1.925,False,True
4017,P4017,12.442886,11.664055,0.08,False,0.0,False,False
4033,P4033,18.57106,2.0484958,0.16,False,0.385,False,False
4035,P4035,19.051796,8.353962,0.1,False,0.0,False,False
4086,P4086,11.218927,10.964405,0.14,False,1.54,False,False
4091,P4091,8.710138,16.38809,0.1,False,1.54,False,False
4103,P4103,14.273283,7.1160655,0.12,False,1.1549999999999998,False,False
4107,P4107,10.314495,13.255994,0.08,False,1.925,False,True
4122,P4122,17.752745,3.69383,0.14,False,0.385,False,False
4125,P4125,14.581344,8.362221,0.14,False,0.0,False,False
4127,P4127,10.767224,12.061017,0.1,False,1.54,False,True
4177,P4177,13.038997,9.692746,0.1,False,0.385,False,False
4187,P4187,17.52253,11.333433,0.02,False,0.0,False,False
4220,P4220,11.875331,11.683481,0.08,False,1.1549999999999998,False,False
4234,P4234,18.36525,2.5049098,0.18,False,0.385,False,False
4235,P4235,12.5381155,9.031907,0.08,False,0.77,False,False
4270,P4270,11.575627,11.50937,0.12,False,1.1549999999999998,False,False
4285,P4285,14.672655,5.2487507,0.08,False,2.6950000000000003,False,False
4289,P4289,13.385171,7.6376333,0.16,False,0.385,False,False
4301,P4301,14.225234,8.91497,0.1,False,0.0,False,False
4311,P4311,11.901136,15.702592,0.04,False,1.54,False,False
4344,P4344,7.0544434,19.842728,0.18,False,1.925,False,True
4357,P4357,17.319027,14.797432,0.06,False,0.385,False,False
4368,P4368,18.807653,3.123993,0.2,False,0.385,False,False
4411,P4411,12.005979,8.688837,0.1,False,1.54,False,True
4416,P4416,12.398696,13.589447,0.06,False,1.1549999999999998,False,False
4529,P4529,16.435,14.145139,0.06,False,1.54,False,False
4538,P4538,12.472396,9.033453,0.08,False,0.77,False,False
4549,P4549,13.739076,6.776497,0.14,False,1.1549999999999998,False,False
4569,P4569,14.616937,6.3667293,0.1,False,1.1549999999999998,False,False
4572,P4572,16.102324,12.777587,0.08,False,1.54,False,False
4577,P4577,13.328218,14.416752,0.04,False,1.1549999999999998,False,False
4581,P4581,7.82726,19.100826,0.12,False,2.3099999999999996,False,False
4598,P4598,12.535667,16.350452,0.02,False,0.385,False,False
4612,P4612,17.507893,7.0260406,0.04,False,0.0,False,False
4631,P4631,18.865677,7.6342936,0.1,False,0.77,False,False
4660,P4660,16.167297,4.324864,0.14,False,1.54,False,True
4664,P4664,11.313245,10.318935,0.12,False,1.925,False,False
4665,P4665,16.962116,5.649383,0.1,False,0.0,False,False
4675,P4675,8.156928,22.848314,0.12,False,0.385,False,False
4691,P4691,12.746058,7.787719,0.12,False,1.54,False,False
4695,P4695,18.59813,9.626132,0.08,False,0.0,False,False
4711,P4711,11.264536,17.055614,0.06,False,0.385,False,False
4750,P4750,13.385728,8.504124,0.12,False,0.385,False,False
4753,P4753,19.184998,1.9023719,0.14,False,0.385,False,False
4754,P4754,14.097585,7.6096387,0.14,False,0.385,False,False
4767,P4767,16.083063,16.952818,0.1,False,1.925,False,False
