ra,dec,ref
5.79611,0.58822,MacLeod 16
21.70042,-8.66336,MacLeod 16
29.99,0.55301,MacLeod 16
31.56662,-0.29146,MacLeod 16
36.48372,0.50746,MacLeod 16
36.71762,-0.65466,MacLeod 16
41.57941,-30.27491,MacLeod 16
128.91168,-4.08832,MacLeod 16
150.58411,45.15761,MacLeod 16
152.97079,54.70177,MacLeod 16
155.46812,46.75436,MacLeod 16
201.2387,48.04481,MacLeod 16
326.55544,0.15856,MacLeod 16
343.16822,1.16632,MacLeod 16
349.59845,-42.37042,MacLeod 16
353.32241,-0.38432,MacLeod 16
354.01239,0.29138,MacLeod 16
2.26894,-10.57464,MacLeod 19
10.91388,13.74348,MacLeod 19
23.74319,-9.24316,MacLeod 19
116.29994,38.15314,MacLeod 19
141.7596,4.55228,MacLeod 19
168.37372,53.22745,MacLeod 19
188.49637,8.70323,MacLeod 19
218.73048,57.39589,MacLeod 19
234.05335,3.71272,MacLeod 19
234.39195,46.23301,MacLeod 19
240.2969,47.75267,MacLeod 19
244.2976,6.64262,MacLeod 19
246.06261,45.85837,MacLeod 19
315.50177,0.08385,MacLeod 19
331.40716,-7.18738,MacLeod 19
357.78099,-9.22167,MacLeod 19
31.311541666666667,-4.944372222222222,Green 22
33.24829166666667,-0.508175,Green 22
33.49912499999999,0.7074472222222222,Green 22
41.286125,0.6196333333333334,Green 22
42.38337499999999,0.3800972222222222,Green 22
150.76091666666665,19.54757777777778,Green 22
162.74341666666663,24.23088333333333,Green 22
163.3558333333333,30.40537222222222,Green 22
163.8078333333333,24.431580555555556,Green 22
174.21524999999997,44.83791111111111,Green 22
174.278875,48.3288,Green 22
208.56475,51.99049166666667,Green 22
249.08491666666663,47.97732222222223,Green 22
340.3064166666666,-1.3524555555555555,Green 22
349.10579166666656,-0.3737499999999999,Green 22
356.59758333333326,1.1550305555555556,Green 22
319.27928333333335,-6.724325,Lopez-Navas 22
207.21292920522,57.6468189658,Lopez-Navas 22
216.75625007994,48.10912385011999,Lopez-Navas 22
199.48361733815,49.25866126230001,Lopez-Navas 22
5.88024,5.89857,Graham 19
5.97254,-2.86586,Graham 19
