group,name,umap_x,umap_y,t_change,sign,step,s,year_change
SampleA Turn-on,8238,14.02884,2.2808678,58179.587681255,-1.0,0.19728135157378326,0.23721902811631948,2018.1658800308146
SampleA Turn-off,8137,12.585126,-0.28534952,56113.584836525,-1.0,0.32525318196594233,0.6431856682151591,2012.5094725161532
SampleA Turn-off,184,19.900215,9.589105,56120.6816489725,-1.0,0.6107932315484906,-1.1760769182399589,2012.5289025296988
SampleA Turn-on,8207,20.011759,4.684698,57117.753194532495,1.0,0.1891218695667905,-0.8196905209518701,2015.2587356455374
SampleA Turn-on,8117,14.373529,6.2608523,57968.154070665,1.0,0.650163700831548,-0.11558674587283096,2017.5870063536345
SampleA Turn-off,8161,8.188117,1.4628986,57216.3028244875,-1.0,0.05258429848229601,1.152840988410149,2015.5285498274811
SampleA Turn-off,3033,14.934035,2.265665,57238.2178593675,1.0,0.20167755206916319,0.1061043905437971,2015.5885499229773
SampleA Turn-off,8111,12.790775,5.0528474,56878.85857867,-1.0,0.43116305510352426,0.20748638092455648,2014.6046778334564
SampleA Turn-on,8211,13.88271,2.8958945,57571.8932463275,-1.0,0.010743468326996209,0.2118361595471385,2016.5021033438125
SampleA Turn-on,8186,19.807472,9.044092,56965.0350272425,-1.0,0.44367730996099597,-1.1211095232538764,2014.840616091013
SampleA Turn-off,153,12.79158,5.09696,56130.615198445,-1.0,1.52532944313483,0.2040166383777813,2012.556099105941
SampleA Turn-on,330,16.887863,2.919016,56132.723122275,1.0,0.3862801797215273,-0.2290431066816,2012.5618702868583
SampleA Turn-on,380,21.063763,2.6048415,56814.08516536,1.0,0.08504935982349748,-0.8153644510768326,2014.4273378928406
SampleA Turn-on,598,19.145279,5.027154,58553.21727177,-1.0,0.20599851103943473,-0.7191009873598806,2019.188822099302
SampleA Turn-on,600,15.347608,6.9767528,56894.742589412504,1.0,0.328461392866574,-0.3123234166003548,2014.6481658847706
SampleA Turn-off,979,22.031612,8.275828,56981.51451231,-1.0,0.27489649784117903,-1.387727420729342,2014.8857344621765
SampleA Turn-off,1623,18.570314,8.467258,56917.102494524996,-1.0,0.45192709129294883,-0.8964985879530729,2014.709383968583
SampleA Turn-off,1646,17.78859,2.745892,58190.75017357,1.0,0.2608329610881043,-0.34750444508040346,2018.1964412691855
SampleA Turn-off,1897,21.498423,9.382337,56137.2709348325,-1.0,0.34190087313975087,-1.3938997355977825,2012.5743215190487
SampleA Turn-on,2129,18.725351,2.5895467,56872.083240075,1.0,0.21182827998325338,-0.4725061954410066,2014.586127967351
SampleA Turn-off,2266,20.776016,9.308434,56891.947490557504,-1.0,0.659465793146449,-1.2827235031434352,2014.6405133211704
SampleA Turn-off,2487,13.9713335,1.9280357,57092.998973595,1.0,0.1329331344384953,0.2724337431442038,2015.1909622822586
SampleA Turn-on,2908,15.522118,7.8156905,58680.2459213625,-1.0,0.17453707222695872,-0.40157417673077483,2019.536607587577
SampleA Turn-on,2951,21.37356,6.4473896,57231.0339744575,-1.0,0.41576861694885625,-1.1526279153210723,2015.568881518022
SampleA Turn-off,3174,10.284588,0.12946756,57621.547631865,1.0,0.10682953737826056,0.9478254853459213,2016.6380496423408
SampleA Turn-on,3517,15.229046,3.5202248,56120.9716616375,1.0,0.35697696477027313,-0.03233744388451281,2012.5296965411019
SampleA Turn-off,3697,11.582846,4.663009,56781.009808124996,-1.0,1.080927768933185,0.4136165013677217,2014.3367825
SampleA Turn-off,3874,12.380281,2.2749693,56859.765316770005,-1.0,0.21906782807239564,0.47855980233171513,2014.5524033313347
SampleA Turn-on,3879,17.721498,7.317878,57222.799076832496,-1.0,0.5968668946483058,-0.6851256572753165,2015.5463355970774
SampleA Turn-on,3909,18.992493,1.8744864,58497.687123317504,1.0,0.18993621597266494,-0.4572044287409335,2019.0367888386515
SampleA Turn-on,4179,17.363636,2.8501537,56897.3404737775,1.0,0.31902845088243137,-0.2933316897196168,2014.6552785045244
SampleA Turn-off,4283,13.9204235,0.9157137,57272.200106870005,-1.0,0.134789063279919,0.35679914949905805,2015.6815882460508
SampleA Turn-on,5053,13.002465,1.7117336,57036.6752119525,1.0,0.23416943511186863,0.43044459126762713,2015.0367562271115
SampleA Turn-on,5057,19.475565,4.8541393,57943.667746915,1.0,0.22510723803165805,-0.7542160255581656,2017.5199664528816
SampleA Turn-on,5391,16.977594,7.911833,56729.806266905,1.0,0.1264063825760395,-0.6215587002785855,2014.196594844367
SampleA Turn-on,6213,15.880896,5.9886813,56879.5492282425,1.0,0.23409413756654246,-0.315165625433144,2014.6065687289322
SampleA Turn-off,6448,12.580333,3.9600346,58575.833575765006,-1.0,0.3544899149378559,0.32127958766080356,2019.2507421649966
SampleA Turn-off,6727,15.830113,5.1759267,57102.15389253,-1.0,0.24242803489715306,-0.24598388977159255,2015.216027084271
SampleA Turn-off,6742,15.242957,-1.5526935,57206.18177799,-1.0,0.121387088410393,0.35112055193606334,2015.5008399123615
SampleA Turn-on,7335,14.05545,-2.0367994,58047.107155325,1.0,0.25539367876664615,0.5614299273503832,2017.8031681186174
SampleA Turn-off,7673,19.425137,9.113708,58585.8434459975,-1.0,0.646518444129039,-1.0705316638178461,2019.2781476960918
SampleA Turn-off,7754,10.344068,2.8537967,56136.721377985,-1.0,0.29919929928142264,0.7321124987120922,2012.572816914401
SampleA Turn-on,7881,15.562601,4.0414014,57643.9539506175,1.0,0.7661272236758582,-0.12068170783852714,2016.6993947997742
SampleA Turn-on,7901,12.169746,4.0770745,56906.84592248,-1.0,0.7039480523435758,0.37238197793585726,2014.6813030047365
