cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,clon,clat,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags,name
1,0.007701,68.040032,126.02165,44.879467,126.0216528,44.8794678,08h24m05.20s,44d52m46.08s,59664.44204515,13.212,0.032,12.37,0.041,10,0000,P16672
1,0.011873,56.921983,126.02165,44.879467,126.0216539,44.8794688,08h24m05.20s,44d52m46.09s,57121.38667808,13.296,0.04,12.24,0.04,10,g000,P16672
1,0.022182,102.179756,126.02165,44.879467,126.0216585,44.8794657,08h24m05.20s,44d52m46.08s,57679.80364981,13.402,0.039,12.464,0.045,10,0000,P16672
1,0.023313,54.069347,126.02165,44.879467,126.0216574,44.8794708,08h24m05.20s,44d52m46.09s,58201.74108509,13.258,0.037,12.332,0.046,10,0000,P16672
1,0.026782,48.803333,126.02165,44.879467,126.0216579,44.8794719,08h24m05.20s,44d52m46.10s,58201.87186166,13.248,0.045,12.308,0.046,10,0000,P16672
1,0.028744,-39.057702,126.02165,44.879467,126.0216429,44.8794732,08h24m05.19s,44d52m46.10s,58204.4238448,13.197,0.036,12.319,0.06,10,0000,P16672
1,0.028841,3.042091,126.02165,44.879467,126.0216506,44.879475,08h24m05.20s,44d52m46.11s,57121.97765686,13.325,0.037,12.41,0.047,10,0000,P16672
1,0.029742,-131.738323,126.02165,44.879467,126.0216413,44.8794615,08h24m05.19s,44d52m46.06s,60395.6537202,13.269,0.034,12.337,0.048,10,0000,P16672
1,0.031357,2.79773,126.02165,44.879467,126.0216506,44.8794757,08h24m05.20s,44d52m46.11s,58202.26457322,13.255,0.032,12.273,0.045,10,0000,P16672
1,0.031907,-115.388025,126.02165,44.879467,126.0216387,44.8794632,08h24m05.19s,44d52m46.07s,58204.6856522,13.268,0.035,12.328,0.056,10,0000,P16672
1,0.034028,6.024414,126.02165,44.879467,126.0216514,44.8794764,08h24m05.20s,44d52m46.12s,58412.01693628,13.287,0.037,12.488,0.063,10,0000,P16672
1,0.035491,158.938064,126.02165,44.879467,126.021655,44.8794578,08h24m05.20s,44d52m46.05s,57841.29216605,13.283,0.036,12.343,0.044,10,0000,P16672
1,0.03597,90.573441,126.02165,44.879467,126.0216641,44.8794669,08h24m05.20s,44d52m46.08s,60028.43114905,13.313,0.035,12.392,0.043,10,0000,P16672
1,0.040032,-8.427649,126.02165,44.879467,126.0216477,44.879478,08h24m05.20s,44d52m46.12s,58202.13316001,13.229,0.036,12.358,0.043,10,0000,P16672
1,0.042518,177.592979,126.02165,44.879467,126.0216507,44.8794552,08h24m05.20s,44d52m46.04s,58204.68552483,13.261,0.038,12.247,0.046,10,0000,P16672
1,0.045746,1.917364,126.02165,44.879467,126.0216506,44.8794797,08h24m05.20s,44d52m46.13s,57121.51809367,13.263,0.035,12.353,0.051,10,0000,P16672
1,0.048691,70.566542,126.02165,44.879467,126.021668,44.8794715,08h24m05.20s,44d52m46.10s,58201.67563317,13.171,0.037,12.345,0.044,10,0000,P16672
1,0.048771,-51.680718,126.02165,44.879467,126.021635,44.8794754,08h24m05.19s,44d52m46.11s,57481.26578352,13.37,0.034,12.432,0.043,10,0000,P16672
1,0.051146,154.283522,126.02165,44.879467,126.0216587,44.8794542,08h24m05.20s,44d52m46.04s,58204.55474847,13.255,0.037,12.392,0.053,10,0000,P16672
1,0.052222,-1.679493,126.02165,44.879467,126.0216494,44.8794815,08h24m05.20s,44d52m46.13s,58201.93731358,13.24,0.034,12.36,0.044,10,0000,P16672
1,0.052906,153.048667,126.02165,44.879467,126.0216594,44.8794539,08h24m05.20s,44d52m46.03s,58933.17999915,13.31,0.035,12.363,0.053,5,0000,P16672
1,0.054391,-148.628523,126.02165,44.879467,126.0216389,44.8794541,08h24m05.19s,44d52m46.03s,60395.71853527,13.345,0.035,12.419,0.045,10,0000,P16672
1,0.057842,110.778704,126.02165,44.879467,126.0216712,44.8794613,08h24m05.20s,44d52m46.06s,57480.41389007,13.331,0.041,12.341,0.046,5,0000,P16672
1,0.058015,162.866309,126.02165,44.879467,126.0216567,44.8794516,08h24m05.20s,44d52m46.03s,59142.59528867,13.308,0.033,12.325,0.059,10,0000,P16672
1,0.059693,-90.345537,126.02165,44.879467,126.0216266,44.8794669,08h24m05.19s,44d52m46.08s,59664.31152363,13.248,0.036,12.315,0.044,10,0000,P16672
1,0.060926,75.280977,126.02165,44.879467,126.0216731,44.8794713,08h24m05.20s,44d52m46.10s,58779.03466859,13.212,0.036,12.351,0.056,10,0000,P16672
