cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,clon,clat,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags,name
1,0.099237,83.05467,358.06158333,0.85091666667,358.0616107,0.85092,23h52m14.79s,00d51m03.31s,59546.59574398,16.176,0.254,15.178,0.474,5,0000,J235214.78+005103.3
1,0.111057,-11.46654,358.06158333,0.85091666667,358.0615772,0.8509469,23h52m14.78s,00d51m03.41s,58451.57804403,15.918,0.196,15.189,0.461,10,0000,J235214.78+005103.3
1,0.175862,-113.99659,358.06158333,0.85091666667,358.0615387,0.8508968,23h52m14.77s,00d51m03.23s,57008.8635862,15.615,0.17,15.233,,10,0000,J235214.78+005103.3
1,0.29239,-172.193322,358.06158333,0.85091666667,358.0615723,0.8508362,23h52m14.78s,00d51m03.01s,57368.18254795,16.121,0.238,15.342,0.45,10,0000,J235214.78+005103.3
1,0.301396,-52.958265,358.06158333,0.85091666667,358.0615165,0.8509671,23h52m14.76s,00d51m03.48s,57727.72422968,16.083,0.231,14.971,,10,0000,J235214.78+005103.3
1,0.308868,35.860718,358.06158333,0.85091666667,358.0616336,0.8509862,23h52m14.79s,00d51m03.55s,59911.45231468,16.154,0.249,14.927,0.382,10,0000,J235214.78+005103.3
1,0.35179,-78.110067,358.06158333,0.85091666667,358.0614877,0.8509368,23h52m14.76s,00d51m03.37s,59546.98781747,15.882,0.203,15.001,,10,0000,J235214.78+005103.3
1,0.418433,153.003954,358.06158333,0.85091666667,358.0616361,0.8508131,23h52m14.79s,00d51m02.93s,56643.77881096,16.236,0.316,14.925,,10,0000,J235214.78+005103.3
1,0.451804,30.321596,358.06158333,0.85091666667,358.0616467,0.851025,23h52m14.80s,00d51m03.69s,58653.70360917,16.207,0.345,14.788,,5,0000,J235214.78+005103.3
1,0.463626,163.320958,358.06158333,0.85091666667,358.0616203,0.8507933,23h52m14.79s,00d51m02.86s,59910.99619006,16.047,0.23,14.693,,10,0000,J235214.78+005103.3
1,0.50028,179.931291,358.06158333,0.85091666667,358.0615835,0.8507777,23h52m14.78s,00d51m02.80s,60278.3184155,15.794,0.205,14.92,,10,0000,J235214.78+005103.3
1,0.525646,128.636335,358.06158333,0.85091666667,358.0616974,0.8508255,23h52m14.81s,00d51m02.97s,58090.98823336,15.982,0.217,14.519,,10,0000,J235214.78+005103.3
1,0.539527,-137.824601,358.06158333,0.85091666667,358.0614827,0.8508056,23h52m14.76s,00d51m02.90s,59182.65210823,15.503,0.151,15.041,0.45,10,0000,J235214.78+005103.3
1,0.551074,125.350674,358.06158333,0.85091666667,358.0617082,0.8508281,23h52m14.81s,00d51m02.98s,59546.72639268,16.71,0.407,14.56,,10,0000,J235214.78+005103.3
1,0.557463,167.822989,358.06158333,0.85091666667,358.061616,0.8507653,23h52m14.79s,00d51m02.76s,60277.73686287,16.588,0.466,14.273,0.223,10,0000,J235214.78+005103.3
1,0.569396,111.110715,358.06158333,0.85091666667,358.0617309,0.8508597,23h52m14.82s,00d51m03.09s,58815.50820179,16.044,0.223,14.704,,10,0000,J235214.78+005103.3
1,0.572796,-107.77257,358.06158333,0.85091666667,358.0614318,0.8508681,23h52m14.74s,00d51m03.13s,57193.54017773,15.922,0.212,15.269,,10,0000,J235214.78+005103.3
1,0.576263,112.813921,358.06158333,0.85091666667,358.0617309,0.8508546,23h52m14.82s,00d51m03.08s,58091.11913692,16.169,0.3,14.96,0.478,10,0000,J235214.78+005103.3
1,0.585722,139.040253,358.06158333,0.85091666667,358.06169,0.8507938,23h52m14.81s,00d51m02.86s,58815.44274514,16.231,0.255,14.884,,10,0000,J235214.78+005103.3
