name,n_frames,n_visits,mjd_first_neo,mjd_last_neo,w1_first,w1_last,dw1_neowise,w1_slope_2yr,w1_amp_visits,w1_flux_last_mjy,w2_last
CLAGN_0008,278,22,56669.01284786,60506.00867692,14.264,14.09,-0.1739999999999995,0.14814374037251865,0.4930000000000021,0.7156765351509533,13.352
CLAGN_0015,281,22,56676.819052000006,60514.23691165,13.1735,13.271,0.09750000000000014,-0.17153872761424227,0.8859999999999992,1.5216570352141479,12.431
CLAGN_0030,269,16,56956.006533635,60397.39010172,12.0435,11.4915,-0.5519999999999996,0.1732768070654005,0.911999999999999,7.836403289553548,10.555
CLAGN_0045,348,18,56776.62433387,60409.445060194994,15.115,14.3305,-0.7844999999999995,-0.029698324096646432,0.907,0.5734780215033487,13.5115
CLAGN_0061,307,21,56799.623897155005,60432.27256525,11.895,12.03,0.1349999999999998,-0.24813766586670036,0.45949999999999847,4.772179582060064,11.405
CLAGN_0067,285,21,56639.951792715,60446.699124185005,11.623000000000001,11.509,-0.11400000000000077,0.1436788078721513,0.40549999999999997,7.711107866143777,10.502
CLAGN_0081,769,21,56715.27632235,60363.29508048,13.361,13.459,0.09799999999999898,-0.05041696922125428,0.2865000000000002,1.2797253656490992,12.652000000000001
CLAGN_0155,262,17,56789.18520153,60421.80283442,13.268749999999999,13.201,-0.06774999999999842,-0.07119762189009964,0.17800000000000082,1.6229934916021456,12.777
CLAGN_0172,596,21,56806.24182808,60438.788195205,12.778,12.8835,0.10549999999999926,0.008958448839456007,0.37200000000000166,2.1742865445434134,12.5415
CLAGN_0212,318,22,56711.66285521,60522.778098585,14.0195,13.8835,-0.136000000000001,0.147519098127265,0.5199999999999996,0.86559906422072,12.963000000000001
CLAGN_0215,276,21,56802.873300605,60451.27483058,13.8355,13.581,-0.25450000000000017,0.04824630656230243,0.4794999999999998,1.1437122645108209,12.6475
CLAGN_0227,314,22,56661.24388268,60500.674089515,13.663,12.616,-1.0470000000000006,0.22461494472916638,1.2759999999999998,2.781741554970111,11.705
CLAGN_0263,13,1,60507.18935343,60507.18935343,12.299499999999998,12.299499999999998,0.0,,0.0,3.7232035347658923,11.7335
CLAGN_0305,276,17,56750.45575273,60382.98014512,12.838,12.831,-0.006999999999999673,,0.35549999999999926,2.282005980546159,12.401
CLAGN_0325,255,16,56952.5570766,60394.011123045,11.787500000000001,11.620750000000001,-0.1667500000000004,-0.06825009111838784,0.36599999999999966,6.956916299173943,11.062000000000001
CLAGN_0416,268,21,56810.47344991,60442.94430974,13.1805,12.93,-0.2505000000000006,-0.08312128094753957,0.28199999999999825,2.083131941862474,11.9915
CLAGN_0435,271,22,56642.790221625,60452.33243677,13.318,13.406,0.08800000000000097,-0.24189645821068248,0.6275000000000013,1.343744743128114,12.428
CLAGN_0468,306,21,56810.08538847,60442.46965771,13.847,14.172,0.32500000000000107,-0.08888633271274986,0.5984999999999996,0.6636158927254379,13.27
CLAGN_0486,433,21,56794.39573168,60427.14148078,12.35,12.51,0.16000000000000014,0.05605879330550794,0.2240000000000002,3.0670212022210697,11.731
CLAGN_0495,410,21,56804.495519295,60437.08555928,12.646,13.0185,0.3724999999999987,0.04761307194933352,0.4320000000000004,1.920068745236821,12.4995
CLAGN_0517,381,22,56642.5836792,60452.11685323,12.574,12.8435,0.26950000000000074,-0.0011714022037452052,0.32399999999999984,2.2558840740945483,11.639
CLAGN_0543,491,22,56644.46026074501,60453.912319459996,12.321,11.934,-0.38700000000000045,0.07718629172081691,0.677999999999999,5.213348749711002,11.381
CLAGN_0573,486,22,56658.198399839996,60466.269503985,12.752,12.478,-0.2740000000000009,0.014217955579977652,0.5700000000000003,3.1587610796338823,11.618500000000001
CLAGN_0649,430,22,56694.4999379,60507.548064265,13.477,12.9855,-0.49150000000000027,-0.4071143615634977,0.9840000000000018,1.9793234876859442,12.203
CLAGN_0682,402,22,56707.213100555,60521.0940565,12.966,12.896,-0.06999999999999851,-0.005164738317600496,0.30100000000000193,2.149397692279334,12.120000000000001
CLAGN_0684,441,22,56706.52082786,60520.20294644,12.603000000000002,12.4885,-0.11450000000000138,0.03241197960083569,0.27449999999999974,3.1283603890098806,12.097000000000001
CLAGN_0692,405,21,56712.97570917,60361.49630181,13.196,13.56,0.36400000000000077,-0.052826141307162414,0.46999999999999886,1.1660489393747906,12.797
CLAGN_0695,443,21,56715.971901979996,60364.362046325,11.974,12.229,0.254999999999999,-0.029565617460459787,0.39700000000000024,3.9729836540969767,11.53
CLAGN_0751,286,22,56669.53881799,60506.48823161,11.725,11.677,-0.04800000000000004,0.1819652153240282,0.5460000000000012,6.605668546594724,10.957
CLAGN_0754,256,21,56802.96924926,60435.469321790006,11.729,11.503,-0.2259999999999991,-0.2271309048701991,0.5824999999999996,7.7538389846961575,10.793
