name,n_frames,n_visits,mjd_first_neo,mjd_last_neo,w1_first,w1_last,dw1_neowise,w1_slope_2yr,w1_amp_visits,w1_flux_last_mjy,w2_last
P1060,708,22,56664.12541798,60472.7023605,13.743,13.773,0.02999999999999936,-0.06632998857968925,0.4289999999999985,0.9583337392477216,13.044
P1170,522,22,56688.306343560005,60498.103329635,14.8295,14.824,-0.005499999999999616,-0.05817643753961205,0.29850000000000065,0.36401290308034234,13.721499999999999
P1177,657,22,56672.59264203,60484.5294969,14.83,14.961500000000001,0.13150000000000084,0.023640188546048116,0.20999999999999908,0.32071315801931133,13.989
P1184,674,22,56672.46091071,60484.209942745,14.5775,15.032,0.45449999999999946,0.07613851830765264,0.5274999999999999,0.3005500318009321,13.941
P129,598,22,56686.62567799,60496.22025762,13.854,13.986,0.13200000000000145,0.08024908020000143,0.21499999999999986,0.7876200773124891,13.131
P1343,615,22,56672.92244789,60484.72126758,14.624500000000001,14.739,0.1144999999999996,-0.017996573292244425,0.37349999999999994,0.39365591210160783,14.161
P14236,288,17,56750.2259713,60382.85204248,14.55,14.357,-0.1930000000000014,-0.03132214339321318,0.26000000000000156,0.5596503481401319,13.52
P14255,252,16,56948.318188815,60386.73973812,13.3305,13.716999999999999,0.38649999999999807,,0.4469999999999992,1.0090595063748924,12.467500000000001
P14273,292,18,56749.69841059,60305.54561329,13.829,13.808499999999999,-0.02050000000000196,-0.028080102252469118,0.12100000000000044,0.9275061079081085,12.962499999999999
P14296,43,6,58037.79532043,60388.70602876,13.422,13.366,-0.05600000000000094,,0.22600000000000087,1.3941733546014976,12.49
P14316,272,16,56946.93211521,60385.393647310004,13.09,13.144,0.05400000000000027,,0.08900000000000041,1.7104751861373437,12.4605
P14354,285,16,56946.899898735006,60385.61820789,14.905,15.2555,0.35050000000000026,0.04863062926574229,0.4714999999999989,0.2446339784561883,14.4175
P14400,265,15,56954.892963705,60396.324536795,14.035,14.006,-0.028999999999999915,0.0640505874144162,0.15250000000000163,0.7732443907827773,13.125
P14413,247,15,56953.676822395006,60395.102282424996,14.753,14.8445,0.09149999999999991,0.09429733441020838,0.19899999999999984,0.3572043822516746,13.745999999999999
P14430,250,16,56943.48081594,60230.69578718,12.701,12.874500000000001,0.17350000000000065,,0.4754999999999985,2.1923847790443913,12.1985
