name,n_frames,n_visits,mjd_first_neo,mjd_last_neo,w1_first,w1_last,dw1_neowise,w1_slope_2yr,w1_amp_visits,w1_flux_last_mjy,w2_last
J000719.90+253128.6,284,22,56656.92807421,60495.9814994,15.9805,15.578,-0.40249999999999986,-0.0811260162025641,0.6519999999999975,0.18176772777275707,14.506499999999999
J000750.51+005815.2,272,22,56647.534464804994,60483.622978825006,15.028,15.222,0.19399999999999906,0.03173619197856143,0.8989999999999991,0.2522997256440151,14.47
J001103.49+010032.6,62,12,56648.29219055,60282.06457288,16.251,16.0765,-0.17450000000000188,,0.40300000000000047,0.11484623921865014,14.83
J001133.95-000001.1,115,19,56647.863697585,60281.61226825,16.202,15.983,-0.2190000000000012,0.16017663186041126,0.5835000000000008,0.1251747631319904,14.614
J001333.96+014506.8,185,22,56649.181838660006,60484.99708147,15.921,15.795,-0.12599999999999945,-0.11509089899712877,0.5830000000000002,0.14883901191912882,14.803
J002956.65+010537.2,129,20,56652.574764535,60285.972257974994,15.910499999999999,16.1725,0.26200000000000045,0.2002854677134905,0.552999999999999,0.10512760687763495,14.86
J003242.74+003110.9,255,22,56652.87114411,60491.19614277,14.319,15.1,0.7809999999999988,0.2233445131464845,0.8549999999999986,0.28230383521422825,14.073
J003841.53+000226.7,236,21,56653.95810258,60492.761506785,15.107,15.206,0.0990000000000002,-0.07070697720060591,0.6875,0.2560452823000242,14.512
J003849.27-011722.4,261,22,56653.49669275,60492.15486934,14.67,14.879999999999999,0.20999999999999908,0.09510528861834835,0.40199999999999925,0.3457138497179949,14.198
J004459.09-010629.3,278,22,56654.81438804,60493.783838865,14.078,14.5475,0.46950000000000003,-0.1392984514704604,0.7059999999999995,0.4695877707433631,13.962
J004616.68+000249.1,259,22,56655.473363035,60494.51825968,14.84,14.697,-0.14300000000000068,0.028962012282379896,0.4469999999999992,0.4091822426103514,13.9
J011536.11+003352.4,243,22,56661.60068468,60501.03069913,14.562,14.511,-0.051000000000000156,0.06383178992142274,0.6965000000000003,0.485642603036635,13.679
J011851.07-010417.3,54,9,57388.080708409994,60501.190635635,15.3655,15.308499999999999,-0.05700000000000216,0.0019790358257001637,0.3149999999999995,0.23297900075966355,14.274000000000001
J011943.50-010858.5,257,22,56661.89687328,60501.446011865,14.867,14.996500000000001,0.12950000000000017,0.19989004254663986,0.5660000000000007,0.31053944912171383,14.0225
J012025.45+142727.9,287,22,56670.10228937,60507.186806635,14.695,14.868,0.17300000000000004,-0.022154784607342222,0.25450000000000017,0.3495560138625822,14.373000000000001
J012150.93+145344.0,232,22,56670.46469377,60507.60148265,15.568,15.98,0.4120000000000008,-0.36947952705512327,0.6610000000000014,0.12552111206269265,14.651
J012256.19-000252.6,250,22,56663.34655453,60502.530675755,14.7865,14.41,-0.37650000000000006,-0.03994385260542981,0.6285000000000007,0.5329871987011684,13.7165
J012416.34+004052.2,223,22,56663.873734534995,60503.20091822,15.5475,15.882,0.33450000000000024,-0.26574988576727604,0.5459999999999994,0.1373778699245812,14.72
J012452.64+000958.9,209,22,56664.76306425,60503.00952954,15.16,15.165,0.004999999999999005,-0.2975254546858911,0.5605000000000011,0.2658990454467803,14.3045
J012524.66+001935.9,20,2,56663.57722762,58109.57704194,16.258499999999998,16.098,-0.16049999999999898,,0.16049999999999898,0.11259439670582057,14.86
J012716.17-003557.7,262,22,56665.02646321,60503.26496913,14.4235,14.636,0.21249999999999858,0.04256113893810133,0.3780000000000001,0.4328294255541153,14.085
J012839.76+003342.5,208,21,56665.520789995004,60298.144065355,15.895499999999998,15.952,0.05650000000000155,0.027779296310453942,0.38700000000000045,0.12880027143369274,14.904
J012946.72+150457.3,249,21,56672.14460306,60509.35599346,13.913,14.2485,0.3354999999999997,0.024715697849203955,0.7200000000000006,0.6184673512401055,13.474
J012953.16-003104.3,212,22,56664.36761554,60503.58407763,16.02,15.940999999999999,-0.07900000000000063,-0.20616210333688822,0.4624999999999986,0.13011182792384152,14.543
J013309.79-000107.7,129,20,56667.628936794994,60300.9839591,16.101,15.8595,-0.2414999999999985,-0.09207872143245885,0.6309999999999985,0.14025449159366257,14.7355
J013944.05-004251.5,278,22,56668.979294250006,60506.00924997,15.188500000000001,15.214500000000001,0.0259999999999998,-0.0018960496872238062,0.24099999999999966,0.25404858379358003,14.519
J014022.54+002629.7,25,1,56855.57605216,56855.57605216,16.1665,16.1665,0.0,,0.0,0.1057101717062689,14.687999999999999
J014128.85+003712.2,167,21,56669.901795369995,60507.189226055,15.83,15.714,-0.11599999999999966,-0.1947641695839125,0.45899999999999963,0.1603676548311845,14.754
J014209.02-005050.0,308,22,56669.4733662,60506.551709499996,13.851,13.875,0.023999999999999133,0.07793275798724673,0.3200000000000003,0.8724022525435976,13.484
J015105.80-003426.4,259,22,56671.482762989996,60508.593431375004,15.036999999999999,15.182,0.14500000000000135,0.014755555134735547,0.8895000000000017,0.2617681346587537,14.299
J015108.82+003517.2,229,21,56671.84529472,60509.039814115,15.477,15.7055,0.22850000000000037,0.0268828585222968,0.5329999999999995,0.16162806672603477,14.498000000000001
J015717.74+004108.4,251,22,56673.22882388,60510.47459167,14.6075,14.634,0.026500000000000412,0.002639859105938625,0.3440000000000012,0.43362746161330173,13.726
J015854.50+001307.3,240,22,56673.393408455,60510.665980095,15.5495,15.380500000000001,-0.1689999999999987,-0.2229685995547982,0.6110000000000007,0.21803026279846796,14.688
J015957.64+003310.5,260,22,56673.75574281,60511.04862983,15.086,15.2335,0.14749999999999908,-0.027161875554523207,0.30600000000000094,0.2496414970289466,14.494
J020428.59-031013.7,271,22,56673.49152249,60510.73041297,14.469,14.532,0.06300000000000061,-0.026421634201845075,0.5225000000000009,0.47633969939526855,13.548
J020649.48-041452.7,259,22,56673.62305652,60511.0176231,14.186,14.3045,0.11850000000000094,-0.054699742257412844,0.42400000000000126,0.5873767855831105,13.9
J020719.49-033600.7,238,22,56674.01844135,60511.43204403,15.682,15.619499999999999,-0.06250000000000178,-0.010299257613595911,0.4244999999999983,0.1749511406124605,14.4895
J021122.60-021129.8,265,22,56675.33626341,60512.739101865,14.706,14.875,0.16900000000000048,0.12869104198764098,0.4064999999999994,0.34730959234462966,14.1035
J022105.64-044101.5,303,22,56676.71915523,60514.078567315,13.793,13.698,-0.09499999999999886,-0.01666558928890471,0.3130000000000006,1.0268731024644746,13.2085
J022907.77+003755.0,154,21,56680.04694556999,60517.61518785,15.292,15.336,0.04400000000000048,0.07932264844950547,0.3000000000000007,0.22715211154642312,14.659
J023112.11-002056.3,272,22,56680.21140273,60520.482580325,14.915,14.773,-0.14199999999999946,0.12431748985174426,0.3600000000000012,0.38151953337786315,13.743
J023128.98+011250.2,258,22,56680.77162678,60518.762182795,15.3675,15.632000000000001,0.26450000000000173,0.027375420704668106,0.4734999999999996,0.17294849146620878,14.928
J023427.80+010921.9,239,22,56681.39742985,60521.883805360005,15.6035,15.586,-0.01750000000000007,-0.03545596445976399,0.29850000000000065,0.18043333577856313,14.879
J023904.10-004410.8,224,22,56681.85813969,60522.266391594996,15.489,15.506,0.01699999999999946,0.05072786012013211,0.38899999999999935,0.19423020934481472,14.591000000000001
J023958.89-000901.2,153,21,56682.1218569,60522.71213785,15.396,15.6755,0.27949999999999875,0.09091317979575804,0.6289999999999996,0.1661562868290371,14.5885
J024508.68+003710.7,258,21,56683.50525799,60317.021429535,14.501,14.616,0.11500000000000021,-0.022241585946949152,0.4239999999999995,0.4408763253658323,14.211
J024637.95-004105.4,186,21,56683.472086405,60317.0531367,15.521,15.666,0.14499999999999957,0.1547398354813492,0.3714999999999993,0.16761650399286282,14.9575
J024712.91-011106.2,239,21,56683.50487594,60316.92414322,15.745,15.572,-0.17300000000000004,0.03935147508450745,0.5380000000000003,0.1827749939735788,14.689499999999999
J025515.09+003740.5,142,21,56685.71221796,60319.31186002,15.8165,16.091,0.2745000000000015,-0.010615885217025,0.5359999999999996,0.1133226647442967,14.9825
