name,ra,dec,poolid,has_sv
P1,239.63538,56.398955,1,False
P15298,120.58832,14.096235,15298,False
P15299,120.5859,14.01982,15299,False
P15300,120.67488,14.529992,15300,False
P15301,120.7784,19.998107,15301,False
P15303,120.75508,52.512805,15303,False
P15304,120.78907,55.605789,15304,False
P15305,120.72656,52.093164,15305,False
P15307,120.71215,22.353311,15307,False
P15316,120.71515,29.480876,15316,False
P15320,120.5777,30.772981,15320,False
P15322,120.58753,35.53861,15322,False
P15323,120.6119,38.108111,15323,False
P15327,120.633,38.260705,15327,False
P15328,120.81226,36.521274,15328,False
P15329,120.78427,36.519514,15329,False
P15330,120.63088,40.503726,15330,False
P15331,120.62088,40.435202,15331,False
P15333,120.64957,47.859456,15333,False
P15336,120.69592,22.039792,15336,False
P15289,120.60141,46.716901,15289,False
P15343,125.06179,45.233053,15343,False
P15288,120.81532,48.600853,15288,False
P15285,120.72045,31.70725,15285,False
P15227,120.42567,51.673161,15227,False
P15229,120.32454,48.454886,15229,False
P15230,120.37323,46.43968,15230,False
P15232,120.5126,43.994517,15232,False
P15233,120.36259,44.018151,15233,False
P15236,120.38981,14.245227,15236,False
P15238,120.40444,13.672997,15238,False
P15244,120.3027,19.262451,15244,False
P15245,120.53732,54.704037,15245,False
P15247,120.46253,21.024482,15247,False
P15252,120.39629,27.037289,15252,False
P15254,120.40989,29.753696,15254,False
P15266,120.30328,40.616439,15266,False
P15270,120.38319,47.604457,15270,False
P15273,120.51647,19.32179,15273,False
P15276,120.52229,9.5874701,15276,False
P15277,120.38155,14.677265,15277,False
P15282,120.78604,53.001332,15282,False
P15283,120.82552,50.611215,15283,False
P15287,120.56311,31.523473,15287,False
P15225,120.30011,51.470021,15225,False
P15344,125.12055,44.269967,15344,False
P15347,125.21033,47.346549,15347,False
P15414,124.64255,51.312442,15414,False
P15415,124.54505,50.543894,15415,False
P15416,124.55166,50.767228,15416,False
P15417,124.46351,46.961887,15417,False
P15418,124.43631,48.091906,15418,False
P15419,124.44906,9.0105475,15419,False
P15425,124.59226,23.535244,15425,False
P15434,125.18729,18.065782,15434,False
P15438,125.11098,21.870211,15438,False
P15440,125.20844,24.652528,15440,False
P15442,125.10897,25.733983,15442,False
P15448,123.54781,54.310609,15448,False
P15452,123.32854,50.21106,15452,False
P15462,123.47568,16.18837,15462,False
P15466,123.34412,17.277402,15466,False
P15468,123.33948,21.619279,15468,False
P15474,123.47242,53.020427,15474,False
P15480,123.47385,26.215692,15480,False
P15484,123.37687,32.764531,15484,False
P15412,124.55928,44.679045,15412,False
P15345,124.95532,49.902994,15345,False
P15407,124.48002,31.474271,15407,False
P15403,124.65267,24.577403,15403,False
P15349,125.06606,8.4368613,15349,False
P15354,125.1973,58.479246,15354,False
P15356,124.99856,55.354468,15356,False
P15359,125.13261,26.27098,15359,False
P15360,124.97818,28.82134,15360,False
P15370,125.03254,37.477689,15370,False
P15371,125.05527,40.923181,15371,False
P15372,125.14335,48.865702,15372,False
P15375,124.97466,48.349864,15375,False
P15376,125.17431,21.852268,15376,False
P15377,124.95685,84.083286,15377,False
P15383,124.4968,40.167909,15383,False
P15384,124.51545,43.745053,15384,False
P15386,124.67618,9.2527764,15386,False
P15393,124.6679,21.035711,15393,False
P15396,124.50082,19.30281,15396,False
P15397,124.58182,23.216499,15397,False
P15399,124.43496,57.410908,15399,False
P15400,124.59628,52.789734,15400,False
P15404,124.66758,24.444496,15404,False
P15223,120.42394,53.038407,15223,False
P15222,120.30619,14.193203,15222,False
P15219,120.27397,49.637967,15219,False
P15039,119.19705,8.941831,15039,False
P15041,119.0221,14.457125,15041,False
P15047,118.94453,16.938443,15047,False
P15053,113.68571,47.395082,15053,False
P15055,116.98191,46.52261,15055,False
P15056,119.17171,22.111434,15056,False
P15058,119.03159,23.490487,15058,False
P15061,116.9877,23.00486,15061,False
P15062,118.93626,25.922556,15062,False
P15073,116.99258,26.346094,15073,False
P15079,116.84164,25.412895,15079,False
P15081,113.50107,28.085273,15081,False
P15082,113.47462,27.159651,15082,False
P15083,113.36921,27.147617,15083,False
P15086,116.84539,30.388539,15086,False
P15090,119.03037,30.770749,15090,False
P15091,119.08366,30.759843,15091,False
P15092,118.95651,32.284476,15092,False
P15094,113.44683,24.832178,15094,False
P15035,116.96489,32.014482,15035,False
P15098,113.21366,24.115853,15098,False
P15029,113.558,32.289665,15029,False
P15025,119.54132,0.35361266,15025,False
P14964,116.83268,18.373811,14964,False
P14967,116.99017,29.684181,14967,False
P14968,119.17958,31.046888,14968,False
P14969,119.057,39.253743,14969,False
P14970,118.98031,45.828998,14970,False
P14971,119.14842,46.557079,14971,False
P14972,118.93199,42.196125,14972,False
P14976,113.20692,33.355408,14976,False
P14978,117.13853,23.391823,14978,False
P14979,119.63487,28.902116,14979,False
P14982,119.6416,27.197608,14982,False
P14993,113.86524,27.576841,14993,False
P14994,117.2932,30.508471,14994,False
P14995,113.83831,26.795766,14995,False
P15001,113.78666,29.756297,15001,False
P15003,117.17342,34.737571,15003,False
P15006,113.89681,28.763677,15006,False
P15013,117.27606,35.692698,15013,False
P15016,117.17848,42.734617,15016,False
P15027,119.79352,11.865774,15027,False
P15104,119.04804,38.028134,15104,False
P15107,119.02178,38.280921,15107,False
P15108,113.61777,30.930395,15108,False
P15154,117.75779,33.946509,15154,False
P15155,116.49719,33.226144,15155,False
P15158,116.61088,40.264938,15158,False
P15159,118.00707,10.519646,15159,False
P15160,117.83306,16.890726,15160,False
P15161,117.75315,15.164996,15161,False
P15164,117.7278,50.395138,15164,False
P15165,116.76846,48.642597,15165,False
P15168,117.86722,48.041234,15168,False
P15170,116.62342,46.462473,15170,False
P15177,117.81692,21.630783,15177,False
P15182,117.94882,24.897993,15182,False
P15184,117.74039,27.785285,15184,False
P15188,117.79803,27.610713,15188,False
P15204,117.86239,34.789878,15204,False
P15205,116.67749,36.004917,15205,False
P15206,116.63244,35.756587,15206,False
P15208,117.73858,35.51044,15208,False
P15214,117.75334,39.390958,15214,False
P15153,116.66135,32.668132,15153,False
P15150,116.58777,33.844672,15150,False
P15147,117.86438,41.128357,15147,False
P15146,117.7788,43.321853,15146,False
P15111,119.13842,44.39085,15111,False
P15112,113.20975,39.165438,15112,False
P15113,113.33684,39.084782,15113,False
P15114,118.93047,45.393646,15114,False
P15115,116.99859,43.303216,15115,False
P15116,116.99594,43.301515,15116,False
P15118,113.66015,36.945483,15118,False
P15125,119.13179,12.498178,15125,False
P15127,117.76592,40.443532,15127,False
P15491,123.51341,43.613072,15491,False
P15128,116.6999,51.614269,15128,False
P15130,116.65381,49.503202,15130,False
P15131,117.95192,50.286636,15131,False
P15132,116.55242,46.960861,15132,False
P15133,116.77954,46.852568,15133,False
P15137,116.66453,44.673134,15137,False
P15141,117.74928,35.334784,15141,False
P15142,116.63673,43.002817,15142,False
P15143,116.65221,43.035195,15143,False
P15145,117.78576,43.886591,15145,False
P15129,118.00222,51.250765,15129,False
P15496,123.5756,6.9291639,15496,False
P15498,123.39826,28.150516,15498,False
P15500,123.15762,43.943078,15500,False
P15817,120.92379,38.35153,15817,False
P15818,121.01101,37.05688,15818,False
P15820,120.90591,36.734618,15820,False
P15821,120.87968,40.565542,15821,False
P15822,120.9186,39.988983,15822,False
P15824,120.86415,40.01328,15824,False
P15825,120.90551,39.44254,15825,False
P15827,121.10113,44.289662,15827,False
P15828,120.99679,43.549556,15828,False
P15833,124.8728,52.395995,15833,False
P15838,124.92008,44.613759,15838,False
P15839,124.85448,48.357384,15839,False
P15840,124.81788,48.295973,15840,False
P15841,124.84148,35.285175,15841,False
P15843,124.90286,20.713448,15843,False
P15844,124.8146,9.5379053,15844,False
P15846,124.73841,11.209006,15846,False
P15847,124.7612,12.73904,15847,False
P15850,124.86495,16.59864,15850,False
P15811,122.86126,45.581404,15811,False
P15852,124.80788,17.904888,15852,False
P15809,122.90514,48.526058,15809,False
P15804,122.81962,32.159838,15804,False
P15745,126.74403,19.15598,15745,False
P15750,126.66576,59.950679,15750,False
P15752,126.74461,59.506271,15752,False
P15754,122.47187,54.771493,15754,False
P15755,126.58296,57.301808,15755,False
P15756,126.7758,55.2382,15756,False
P15757,126.56861,54.776671,15757,False
P15761,123.0517,55.642534,15761,False
P15762,122.96527,53.835378,15762,False
P15769,122.9656,44.031168,15769,False
P15770,122.9029,47.97853,15770,False
P15777,122.82828,41.189326,15777,False
P15778,122.9447,7.4771678,15778,False
P15779,122.93533,12.329111,15779,False
P15782,122.94071,16.026741,15782,False
P15784,123.02248,16.13107,15784,False
P15787,122.79289,17.662168,15787,False
P15792,123.01391,57.232426,15792,False
