name,poolid,ra,dec,z,psfmag_r,mjd,clagn_score,zeltyn_density_ratio,in_region_zeltyn,in_region_clagn
P17373,17373,128.97063,21.824735,0.6179925,18.21895,58086,0.18,6.34,True,False
P20673,20673,145.63204,23.603734,0.7943642,18.5948,58132,0.32,5.6,True,False
P4086,4086,247.89499,32.838835,0.6901965,17.99416,52520,0.16,6.72,True,False
P19438,19438,139.69133,6.0405799,0.7939651,17.48388,52707,0.12,7.46,True,False
P19431,19431,136.61221,35.464913,0.4889719,18.77476,52703,0.18,7.09,True,False
P4107,4107,252.28994,36.223857,0.03097322,16.54575,52409,0.3,0.75,False,True
P19274,19274,137.03739,18.28461,0.5939008,18.92839,57814,0.1,6.72,True,False
P19257,19257,136.9387,53.405965,0.7118932,17.44354,57039,0.18,7.09,True,False
P19194,19194,139.67433,19.344853,0.7187702,17.74544,57807,0.14,7.46,True,False
P19171,19171,135.17542,25.049457,0.6747511,18.85069,58085,0.32,4.85,False,True
P19059,19059,140.48277,27.534545,0.6796416,18.84708,58130,0.14,7.84,True,False
P19053,19053,142.13361,21.118252,0.1670845,18.91849,53708,0.3,1.49,False,True
P4285,4285,256.50584,35.34475,0.5356052,18.88113,52427,0.38,2.99,False,True
P19048,19048,142.25986,18.305354,0.7022404,18.98719,57801,0.16,8.21,True,False
P19030,19030,136.56033,49.918381,0.2418195,18.90973,52254,0.32,2.61,False,True
P18990,18990,140.23603,50.059394,0.7031927,18.89892,52247,0.32,5.6,True,False
P4344,4344,259.66134,31.699352,0.4503335,18.93935,54592,0.46,2.99,False,True
P18917,18917,137.97871,15.399516,0.4111026,18.96897,57806,0.36,4.1,False,True
P18882,18882,140.10354,34.389217,0.7854397,17.89494,56358,0.16,8.58,True,False
P18853,18853,135.68143,54.550684,0.5942166,18.79694,51908,0.18,7.09,True,False
P18795,18795,137.49701,10.595436,0.7100865,18.11258,53050,0.1,6.72,True,False
P18790,18790,135.65409,35.506491,0.2467206,18.90859,52703,0.34,4.85,False,True
P18772,18772,135.6153,34.063579,0.7414058,18.9712,52989,0.34,4.1,False,True
P18769,18769,135.66534,24.232129,0.3250185,18.84697,53401,0.12,7.46,True,False
P18695,18695,142.46814,3.0547852,0.6758891,18.87425,52264,0.14,6.72,True,False
P4538,4538,258.35969,29.556643,0.5263551,18.99367,52410,0.3,5.22,True,False
P4549,4549,256.0749,35.041781,0.6676138,18.99243,52435,0.16,6.72,True,False
P18655,18655,135.31541,35.683208,0.7319547,18.3095,58157,0.16,8.58,True,False
P4569,4569,257.21739,36.038942,0.702352,18.07571,54590,0.1,7.46,True,False
P18632,18632,135.32699,22.241685,0.6106502,18.68826,58083,0.12,6.34,True,False
P4581,4581,257.01756,38.05701,0.3115318,18.21804,58283,0.14,7.09,True,False
P19488,19488,137.25982,13.505405,0.0499157,17.66064,53826,0.48,1.12,False,True
P19491,19491,141.90329,15.639771,0.5553244,18.25298,57783,0.48,1.49,False,True
P4017,4017,253.04929,33.605338,0.4792902,18.84687,52791,0.12,7.09,True,False
P20067,20067,136.93122,1.557755,0.1642499,18.77791,51924,0.4,1.12,False,True
P20636,20636,144.88701,25.399035,0.3975503,17.87432,58086,0.12,6.72,True,False
P20632,20632,144.9157,19.765484,0.4664435,18.54202,57814,0.16,6.34,True,False
P3380,3380,247.96942,25.308398,0.2762423,18.98446,53226,0.5,1.49,False,True
P20522,20522,144.30955,42.90135,0.7335038,17.82843,52670,0.12,6.72,True,False
P20478,20478,144.08962,39.358878,0.2101244,18.16083,52725,0.34,4.85,False,True
