umap_x,umap_y,label
-5.375896,5.0481567,1
-8.3001795,5.1554985,192
-6.8982873,6.7672596,1
0.7447617,10.657971,1
-7.609112,10.391482,2
0.99278945,8.884923,32
3.7062461,11.2563715,2
-6.6461964,8.901491,1344
6.1580486,11.265187,4
-6.6002,10.174112,1
-6.056329,7.561433,8
-3.8441582,7.270246,1344
-6.085828,6.307813,832
3.8900456,14.732246,2
-10.33996,5.046463,1
-9.276966,6.4783335,1
-5.0060673,3.398774,1
-5.244909,2.1388168,16
0.66611165,13.741162,192
7.9721212,13.085848,4
-3.7712083,7.5726967,16
-7.5373898,2.2654748,832
-6.2550397,10.402911,192
1.0977714,9.969858,1
-7.281292,6.2886543,1
7.2734213,16.076702,4
0.85538733,11.299699,1
-7.042349,3.3897088,1
-4.9784756,5.9625382,1
9.318878,16.02949,2048
0.77210206,10.229248,1
-6.099532,6.457707,1
-6.9428997,1.9818358,1
-11.125497,5.839538,8
0.04034253,13.11087,2
-3.0964272,2.7724018,16
1.3451926,11.131088,2
2.9235597,13.919091,2
-4.059801,7.666055,4
-0.7424352,11.882049,1
-10.318016,7.7770104,66
-1.9670337,7.357555,1
-6.031563,11.315388,1
-6.7744427,4.6747856,1
-5.104113,2.6585667,192
-4.500453,2.762229,1
-9.936733,3.7631772,192
-4.393981,8.193711,4
2.727595,11.732954,1
0.0695615,11.464429,2
1.1403322,11.770577,1
-5.012506,7.605675,2
-4.670588,5.962061,1
-9.578744,5.509326,1
-2.0212328,6.869421,1
-9.247417,6.152013,1
-6.5013576,1.9119633,1
-6.9587665,11.405627,32
4.1319656,14.922346,2
-9.884279,6.610279,832
0.45854712,9.213977,1
8.831495,18.933321,4
-0.46007714,11.86264,2
-1.2602414,8.340764,2
7.9459853,13.298909,8
-7.0827637,10.151909,1
-5.623594,4.634842,1
-0.16497724,8.195482,2
3.1502767,10.978511,2048
-0.8661881,8.128779,1
-2.5130136,4.694932,192
4.699923,14.81298,1
-3.1594832,8.269474,1
7.376164,19.896933,1
0.6311864,9.390753,96
-5.25394,8.761742,192
2.5479817,11.127867,2
-7.608004,2.9064956,1
-2.6406775,11.765446,1
-10.163964,6.731707,1
-1.7668632,6.7341857,2
-7.147815,4.1222367,1
3.6716638,8.038076,2
-2.8920403,11.230196,16
-5.8207164,4.9706984,2
-5.100683,10.900999,1
-5.125775,6.0491366,192
-6.3504424,5.537772,1
-9.727923,7.1782427,1344
-8.264852,6.8312926,1
-9.787378,5.60959,1
-9.410525,3.474256,832
-3.0523553,5.999845,1
-3.1144729,3.0073755,1
-6.705728,5.287658,65
-5.013897,8.363173,8
1.3702779,7.0271883,864
-5.153674,9.2061,1
2.0377514,11.410062,8
-7.3500996,10.283249,832
-2.2081678,7.450594,832
-3.744817,11.690471,1344
2.489733,12.327478,96
0.023562808,9.151798,4
-3.53614,5.5627484,1
4.9775467,14.253445,1
-5.4330816,9.533485,1
-4.3155594,4.6870794,1
7.099748,11.995342,4
3.9350126,14.2759075,192
-3.0893688,6.967815,1
-1.1654223,9.606489,1
-7.885372,6.6860886,8
8.513417,17.84523,2048
0.8012348,9.419566,16
-4.9888616,8.606249,1
8.935294,15.497574,2048
-3.7199984,4.9728165,1
0.040985934,9.012459,2
-6.5007553,10.164198,66
-5.3957734,6.352722,1
-1.4929247,7.1085563,8
-10.357544,6.0146737,1
-6.27465,3.071117,2
-8.1951,5.7060986,1
6.086523,12.423073,2
6.506858,15.434501,192
-4.6668134,3.2234237,1
-8.647648,4.2028704,1
-8.347776,4.3596287,1
-3.952283,4.8712893,96
-5.0291696,2.896338,832
-7.4013033,9.234952,1
-0.7475459,9.95035,16
-11.0239525,6.601412,1
-9.409942,6.642216,1
0.46871537,8.759195,8
-5.635417,7.213731,1
-7.3092966,4.173026,1
-4.0948462,7.439615,1
-3.7165158,4.1270223,1
-4.558073,6.5653806,1
-0.057996403,9.538414,2
3.1836555,14.628076,1
-0.105828345,8.866024,2
-7.14251,2.0539887,80
-1.7782236,8.393466,1
-8.5835085,9.589536,832
-8.359927,9.890924,1
-9.95886,6.037066,1
-9.734345,6.2157555,1
-5.8048987,7.6716866,1
-7.4383817,6.569552,1
-7.2774076,6.134381,1
-3.4755502,9.341598,1
-6.145723,2.5630684,1
-4.221437,7.674604,1
-8.050535,3.3450747,1
-8.583428,7.2728157,2
-6.4531765,2.597712,17
-3.9145536,7.9986715,1
-3.593022,5.140386,1
-6.6162467,8.971269,192
1.6176761,12.971107,2
-6.460594,3.3913128,832
5.1822877,12.526372,1
-6.4741054,8.904951,1
-6.2990017,7.361722,1
-9.037567,4.594023,1
3.8305335,8.747528,2
-5.881778,3.3438082,4
1.4443296,9.64742,832
-7.111223,8.837419,1
-4.3201385,11.925514,2
8.445587,13.735047,4
0.017292166,11.216442,16
-1.2694799,7.7249684,1
-6.555504,7.917282,2
-5.768392,8.769781,832
-6.4663153,5.8231983,832
-5.9291277,7.660755,1
-10.807081,7.2422996,2
6.728472,15.055977,2
-8.356887,9.539201,832
-8.679997,8.413398,832
1.8771025,8.4483795,2
8.876681,14.757525,4
3.054571,14.768424,2
1.5092235,14.220294,2
-4.050823,8.047923,192
5.733489,12.608431,192
5.825426,12.707419,2
-6.2184954,8.666569,1
1.6987541,13.352178,2
-2.4003155,11.68882,32
-11.342909,5.884378,1
-9.157995,6.7243657,1
-3.991664,6.2046895,1
-3.6880896,4.263825,2
-7.2740765,10.819579,1
5.8789635,14.883294,2
-5.135068,3.1355393,1
-7.183827,9.607164,2
3.1261435,11.966645,32
-5.968954,6.5125904,1
-9.231372,6.3902426,192
-6.5719466,7.825097,1
-4.9766264,5.0723853,1
8.871831,13.429239,1
9.235902,15.148559,192
-1.2516968,7.6635337,2
9.320726,17.922974,2048
-5.902592,6.1292977,2
-4.665941,8.480342,1344
-5.6520667,7.501641,16
-8.190952,8.001895,192
-6.388449,10.964848,2
-9.166842,5.1802907,1
7.9799747,14.388213,2048
8.85125,18.962677,4
