night,kind,name,ra,dec,slew_deg,start_ut,start_local,end_local,minutes,airmass,moonsep,plan,label,tier,priority,z,r_mag,origin
sep23,standard,BD+28 4211,327.79592579819,28.863991007629995,,2026-09-24 03:05,20:05,20:15,10,1.16,42.0,CALSPEC bd_28d4211 · sdO2VIIIHe5 V=10.6 · 2 x 30-120 s,start of night,,,,10.579999923706056,
sep23,primary,P3178,250.88297,30.809879,65.3,2026-09-24 03:15,20:15,20:35,15,1.25,107.0,2 x 4 min,,K,0.864,0.1840353,17.96067,04
sep23,primary,P4107,252.28994,36.223857,5.5,2026-09-24 03:35,20:35,20:50,12,1.28,104.0,2 x 4 min,,B,0.3,0.03097322,15.8605,04
sep23,primary,P2039,241.80798,48.557286,14.5,2026-09-24 03:50,20:50,21:05,12,1.48,108.0,2 x 4 min,,D1,0.755,0.1255785,17.60884,04
sep23,primary,P533,237.67193,41.656976,7.5,2026-09-24 04:05,21:05,21:20,12,1.71,114.0,2 x 4 min,,D1,0.559,0.1414292,18.12376,04
sep23,primary,P3569,253.33418,20.643054,24.8,2026-09-24 04:20,21:20,21:35,13,1.63,106.0,2 x 4 min,,D2,0.629,0.4834566,18.02185,04
sep23,primary,P4592,257.24638,21.885585,3.9,2026-09-24 04:35,21:35,21:50,12,1.61,102.0,2 x 4 min,,D2,0.642,0.07189731,16.27969,04
sep23,primary,G5632915812723742720,260.84699,26.847684,5.9,2026-09-24 04:50,21:50,22:05,12,1.54,98.0,2 x 4 min,,D2,0.7,0.1042739,17.83795,04
sep23,primary,P4869,262.71968,60.421331,33.6,2026-09-24 05:05,22:05,22:20,13,1.46,94.0,2 x 4 min,,B,0.24,0.7295793,17.80593,04
sep23,primary,P4793,255.25954,34.066831,26.8,2026-09-24 05:20,22:20,22:35,13,1.87,102.0,2 x 4 min,,D1,0.505,0.09434592,17.63719,04
sep23,primary,P4675,258.70212,33.460635,2.9,2026-09-24 05:35,22:35,22:50,12,1.89,100.0,2 x 4 min,,D1,0.506,0.1853971,17.68487,04
sep23,primary,P5609,328.5561,27.780912,59.3,2026-09-24 05:50,22:50,23:05,14,1.01,41.0,2 x 4 min,,D2,0.605,0.2158226,17.80222,04
sep23,primary,P5125,318.14533,-0.990799,30.5,2026-09-24 06:05,23:05,23:20,13,1.28,42.0,2 x 4 min,,D2,0.662,0.2351038,17.47954,04
sep23,primary,P4901,314.59226,-6.8345513,6.8,2026-09-24 06:20,23:20,23:35,12,1.47,46.0,2 x 4 min,,D1,0.267,0.0737937,18.05438,04
sep23,primary,P5293,322.56468,11.336005,19.8,2026-09-24 06:35,23:35,23:50,13,1.15,39.0,2 x 4 min,,D1,0.152,0.1225919,17.86382,04
sep23,filler,P13653,42.51267,1.158512,79.9,2026-09-24 06:50,23:50,00:15,23,1.99,42.0,2 x 8 min,,K,0.7,0.1938604,18.46221,schedule-fill
sep23,gap,,,,,2026-09-24 07:15,00:15,00:20,5,,,,,,,,,
sep23,gap,,,,,2026-09-24 07:20,00:20,00:25,5,,,,,,,,,
sep23,standard,BD+17 4708,332.88073201368917,18.09282721765222,70.3,2026-09-24 07:25,00:25,00:35,10,1.12,32.0,CALSPEC bd_17d4708 · sdF8 V=9.5 · 2 x 30-120 s,end of night,,,,9.460000038146973,
