idx,name,ra,dec,n_spec,n_sdss,n_desi,mjd_first,mjd_last,years_since_last_spec,baseline_yr,surveys,mjd_list,class_list,subclass_list,class_change_flag,broadline_change_flag,last_class,last_subclass,z_spec_median,r_nmgy_last_sdssv,mjd_last_sdssv
0,P17373,128.97063,21.824735,4,4,0,53349.0,58135.0,8.62947171343103,13.103353867214237,eboss|sdss,53349|53360|58086|58135,QSO|QSO|?|?,BROADLINE|BROADLINE||,False,False,?,,0.6177576,,
1,P20673,145.63204,23.603734,2,2,0,53735.0,58132.0,8.637685265792427,12.038329911019849,eboss|sdss,53735|58132,QSO|?,BROADLINE|,False,False,?,,0.7945599,,
2,P4086,247.89499,32.838835,2,1,1,52520.0,59690.46942135,4.3708285338280275,19.631675349349752,main|sdss,52520|59690,QSO|QSO,BROADLINE|,False,True,QSO,,0.6904930308513895,,
3,P19438,139.69133,6.0405799,2,1,1,52707.0,59527.49455702,4.817029394416657,18.67349639156742,main|sdss,52707|59527,QSO|QSO,BROADLINE|,False,True,QSO,,0.7946572348459233,,
4,P19431,136.61221,35.464913,1,1,0,52703.0,52703.0,23.501477189132604,0.0,sdss,52703,QSO,BROADLINE,False,False,QSO,BROADLINE,0.4889719,,
5,P4107,252.28994,36.223857,10,10,0,-999.0,56027.0,14.4008611727055,156.1286789869952,APOGEE-2&MaNGA|apogee-marvels|sdss,-999|-999|52409|55964|55968|55991|55998|56022|56025|56027,?|QSO|QSO|?|?|?|?|?|?|?,|STARBURST BROADLINE|STARBURST BROADLINE|||||||,False,False,?,,0.03097322,,
6,P19274,137.03739,18.28461,5,5,0,53687.0,60018.0,3.474098681261284,17.333333333333332,BHM|eboss|sdss,53687|53700|57814|60018|60018,?|?|?|?|?,||||,False,False,?,,,,
7,P19257,136.9387,53.405965,3,3,0,51999.0,57039.0,11.630156176127814,13.79876796714579,boss|sdss,51999|56334|57039,QSO|QSO|QSO,BROADLINE|BROADLINE|BROADLINE,False,False,QSO,BROADLINE,0.7118932,,
8,P19194,139.67433,19.344853,3,3,0,53699.0,57817.0,9.500108263739039,11.274469541409994,eboss|sdss,53699|57807|57817,QSO|?|?,BROADLINE||,False,False,?,,0.7183673,,
9,P19171,135.17542,25.049457,2,2,0,53381.0,58085.0,8.766364252787636,12.878850102669405,eboss|sdss,53381|58085,QSO|?,BROADLINE|,False,False,?,,0.6751648,,
10,P19059,140.48277,27.534545,2,2,0,53388.0,58130.0,8.643160967366692,12.982888432580424,eboss|sdss,53388|58130,QSO|?,|,False,False,?,,0.6786119,,
11,P19053,142.13361,21.118252,1,1,0,53708.0,53708.0,20.749937148064845,0.0,sdss,53708,QSO,BROADLINE,False,False,QSO,BROADLINE,0.1670845,,
12,P4285,256.50584,35.34475,2,1,1,52427.0,59356.42871398,5.285382147435138,18.971741858945926,main|sdss,52427|59356,QSO|QSO,BROADLINE|,False,True,QSO,,0.5358106966908645,,
13,P19048,142.25986,18.305354,2,2,0,53728.0,57801.0,9.543913876333152,11.151266255989048,eboss|sdss,53728|57801,QSO|?,BROADLINE|,False,False,?,,0.7015889,,
14,P19030,136.56033,49.918381,1,1,0,52254.0,52254.0,24.73077219255492,0.0,sdss,52254,QSO,STARBURST BROADLINE,False,False,QSO,STARBURST BROADLINE,0.2418195,,
15,P18990,140.23603,50.059394,1,1,0,52247.0,52247.0,24.749937148064845,0.0,sdss,52247,QSO,BROADLINE,False,False,QSO,BROADLINE,0.7031927,,
16,P4344,259.66134,31.699352,1,1,0,54592.0,54592.0,18.329677052240065,0.0,sdss,54592,QSO,BROADLINE,False,False,QSO,BROADLINE,0.4503335,,
17,P18917,137.97871,15.399516,3,2,1,54056.0,59520.84363815,4.835238617880039,14.961926456262832,eboss|main|sdss,54056|57806|59521,QSO|?|QSO,BROADLINE||,False,True,QSO,,0.41128645677032605,,
18,P18882,140.10354,34.389217,3,2,1,52993.0,59631.758644635,4.53156988007031,18.175930580793985,boss|main|sdss,52993|56358|59632,QSO|QSO|QSO,BROADLINE|BROADLINE|,False,True,QSO,,0.7854397,,
19,P18853,135.68143,54.550684,1,1,0,51908.0,51908.0,25.678068564902624,0.0,sdss,51908,QSO,BROADLINE,False,False,QSO,BROADLINE,0.5942166,,
20,P18795,137.49701,10.595436,7,6,1,53050.0,59912.0,3.7643108646972867,18.78713210130048,BHM|main|sdss,53050|59522|59646|59646|59911|59912|59912,?|QSO|?|?|?|?|?,||||||,False,False,?,,0.7106425077388269,,
21,P18790,135.65409,35.506491,1,1,0,52703.0,52703.0,23.501477189132604,0.0,sdss,52703,QSO,BROADLINE,False,False,QSO,BROADLINE,0.2467206,,
22,P18772,135.6153,34.063579,1,1,0,52989.0,52989.0,22.718451864012824,0.0,sdss,52989,QSO,BROADLINE,False,False,QSO,BROADLINE,0.7414058,,
23,P18769,135.66534,24.232129,1,1,0,53401.0,53401.0,21.590457339714398,0.0,sdss,53401,QSO,STARBURST BROADLINE,False,False,QSO,STARBURST BROADLINE,0.3250185,,
24,P18695,142.46814,3.0547852,11,10,1,52264.0,59937.0,3.695864595018984,21.00752908966461,BHM|main|sdss,52264|59280|59280|59318|59318|59339|59340|59340|59607|59937|59937,?|QSO|QSO|?|?|?|?|?|QSO|?|?,|BROADLINE|BROADLINE||||||||,False,True,?,,0.6791686,19.14858,59280.0
25,P4538,258.35969,29.556643,2,1,1,52410.0,59377.36218203,5.228069435457032,19.07559803430528,main|sdss,52410|59377,QSO|QSO,BROADLINE|,False,True,QSO,,0.5267559018265604,,
26,P4549,256.0749,35.041781,3,2,1,52428.0,59710.45082888,4.316122421494004,19.93826373409993,main|sdss,52428|52435|59710,QSO|QSO|QSO,BROADLINE|BROADLINE|,False,True,QSO,,0.6676414,,
27,P18655,135.31541,35.683208,2,2,0,52703.0,58157.0,8.569238996114125,14.932238193018481,eboss|sdss,52703|58157,GALAXY|?,|,False,False,?,,0.0,,
28,P4569,257.21739,36.038942,2,1,1,54590.0,59710.45082997,4.316122418509736,14.019030335304594,main|sdss,54590|59710,QSO|QSO,BROADLINE|,False,True,QSO,,0.7020698274710095,,
29,P18632,135.32699,22.241685,2,2,0,53683.0,58083.0,8.7718399543619,12.046543463381246,eboss|sdss,53683|58083,QSO|?,BROADLINE|,False,False,?,,0.6101756,,
30,P4581,257.01756,38.05701,3,2,1,54590.0,59377.37509243,5.228034088708247,13.107118665106082,eboss|main|sdss,54590|58283|59377,QSO|?|QSO,STARBURST BROADLINE||,False,True,QSO,,0.31170175629698327,,
31,P19488,137.25982,13.505405,1,1,0,53826.0,53826.0,20.426870755183256,0.0,sdss,53826,QSO,BROADLINE,False,False,QSO,BROADLINE,0.0499157,,
32,P19491,141.90329,15.639771,3,2,1,54068.0,59586.34428102,4.655907631240751,15.108403233456535,eboss|main|sdss,54068|57783|59586,QSO|?|QSO,BROADLINE||,False,True,QSO,,0.5553530167696485,,
33,P4017,253.04929,33.605338,16,13,3,52791.0,59700.9698187,4.342080012678113,18.91846630718687,BHM|main|sdss|sv3,52791|59311|59314|59315|59315|59320|59339|59339|59345|59347|59347|59352|59352|59375|59375|59701,?|QSO|?|QSO|QSO|QSO|?|?|?|?|?|?|?|?|?|QSO,|||BROADLINE|BROADLINE|||||||||||,False,True,QSO,,0.4792944793962636,35.39666,59315.0
34,P20067,136.93122,1.557755,6,6,0,51924.0,59663.0,4.44603571069318,21.188227241615333,BHM|eboss|sdss,51924|58928|59615|59615|59663|59663,?|?|?|?|?|?,|||||,False,False,?,,,,
35,P20636,144.88701,25.399035,2,2,0,53738.0,58086.0,8.763626402000504,11.904175222450377,eboss|sdss,53738|58086,QSO|?,BROADLINE|,False,False,?,,0.3972184,,
36,P20632,144.9157,19.765484,2,2,0,53762.0,57814.0,9.508321816100436,11.093771389459274,eboss|sdss,53762|57814,QSO|?,BROADLINE|,False,False,?,,0.4661371,,
37,P3380,247.96942,25.308398,2,1,1,53226.0,59661.50241173,4.450135883917004,17.61944534354551,main|sdss,53226|59662,QSO|GALAXY,BROADLINE|,True,True,GALAXY,,0.27624945559782577,,
38,P20522,144.30955,42.90135,3,3,0,52670.0,60031.0,3.4385066210285666,20.1533196440794,BHM|sdss,52670|60031|60031,?|?|?,||,False,False,?,,,,
39,P20478,144.08962,39.358878,2,1,1,52725.0,59587.340541,4.653180020070325,18.788064451745374,main|sdss,52725|59587,QSO|QSO,STARBURST BROADLINE|,False,True,QSO,,0.21016959745339675,,
40,P20469,144.17562,34.281049,1,1,0,52992.0,52992.0,22.710238311651427,0.0,sdss,52992,QSO,BROADLINE,False,False,QSO,BROADLINE,0.7622296,,
41,P3427,248.84957,30.949305,2,1,1,53463.0,59690.46942136,4.370828533800637,17.04988205711157,main|sdss,53463|59690,QSO|QSO,BROADLINE|,False,True,QSO,,0.6995488677341448,,
42,P20371,141.35487,20.360844,2,2,0,53708.0,57809.0,9.522011070036095,11.227926078028748,eboss|sdss,53708|57809,QSO|?,BROADLINE|,False,False,?,,0.4588036,,
