idx,name,ra,dec,n_spec,n_sdss,n_desi,mjd_first,mjd_last,years_since_last_spec,baseline_yr,surveys,mjd_list,class_list,subclass_list,class_change_flag,broadline_change_flag,last_class,last_subclass,z_spec_median,r_nmgy_last_sdssv,mjd_last_sdssv
0,P3178,250.88297,30.809879,2,1,1,52793.0,59386.27511551,5.230341585314072,18.051403464777543,main|sdss,52793|59386,QSO|QSO,BROADLINE|,False,True,QSO,,0.18413110540842242,,
1,P4107,252.28994,36.223857,10,10,0,-999.0,56027.0,14.4275356045064,156.1286789869952,APOGEE-2&MaNGA|apogee-marvels|sdss,-999|-999|52409|55964|55968|55991|55998|56022|56025|56027,QSO|?|QSO|?|?|?|?|?|?|?,STARBURST BROADLINE||STARBURST BROADLINE|||||||,False,False,?,,0.03097322,,
2,P2039,241.80798,48.557286,1,1,0,52054.0,52054.0,25.30501678178224,0.0,sdss,52054,QSO,BROADLINE,False,False,QSO,BROADLINE,0.1255785,,
3,P3569,253.33418,20.643054,1,1,0,53169.0,53169.0,22.252313154129947,0.0,sdss,53169,QSO,BROADLINE,False,False,QSO,BROADLINE,0.4834566,,
4,P4592,257.24638,21.885585,1,1,0,53177.0,53177.0,22.23041034783289,0.0,sdss,53177,QSO,STARBURST BROADLINE,False,False,QSO,STARBURST BROADLINE,0.07189731,,
5,G5632915812723742720,260.84699,26.847684,1,1,0,55715.0,55715.0,15.281745050091615,0.0,boss,55715,GALAXY,AGN,False,False,GALAXY,AGN,0.1042739,,
6,P2177,246.08622,51.77766,1,1,0,56460.0,56460.0,13.2420462136782,0.0,boss,56460,QSO,BROADLINE,False,False,QSO,BROADLINE,0.2839231,,
7,P4869,262.71968,60.421331,1,1,0,51792.0,51792.0,26.02233368801085,0.0,sdss,51792,QSO,BROADLINE,False,False,QSO,BROADLINE,0.7295793,,
8,P2258,243.64108,54.680615,2,1,1,56809.0,59321.46172224,5.407790985095045,6.878745303874052,boss|sv3,56809|59321,QSO|QSO,AGN BROADLINE|,False,True,QSO,,0.23306433988396347,,
9,P4675,258.70212,33.460635,3,1,2,54591.0,59709.45738081,4.345516765875317,14.01357256895278,main|sdss,54591|59707|59709,QSO|QSO|QSO,BROADLINE||,False,True,QSO,,0.1853971,,
10,P4745,255.15215,46.926006,2,1,1,56098.0,59354.42720505,5.317536412035489,8.915611786584533,boss|main,56098|59354,QSO|QSO,BROADLINE|,False,True,QSO,,0.26652588662156174,,
11,P5125,318.14533,-0.990799,6,6,0,52443.0,59372.0,5.269424721549521,18.97056810403833,BHM|eboss|sdss,52443|57923|58038|59371|59372|59372,?|?|?|?|?|?,|||||,False,False,?,,,,
12,P4901,314.59226,-6.8345513,0,0,0,,,,,,,,,False,False,,,,,
13,P5293,322.56468,11.336005,2,1,1,52466.0,59479.30474509,4.975640340741862,19.20138191674195,main|sdss,52466|59479,QSO|QSO,STARBURST BROADLINE|,False,True,QSO,,0.1227555026915782,,
