idx,name,ra,dec,n_spec,n_sdss,n_desi,mjd_first,mjd_last,years_since_last_spec,baseline_yr,surveys,mjd_list,class_list,subclass_list,class_change_flag,broadline_change_flag,last_class,last_subclass,z_spec_median,r_nmgy_last_sdssv,mjd_last_sdssv
0,J000719.90+253128.6,1.8329166666666663,25.52461111111111,10,10,0,56543.0,59902.0,3.791276955415424,9.196440793976729,BHM|boss,56543|59165|59165|59190|59191|59191|59217|59217|59902|59902,?|QSO|QSO|?|QSO|QSO|QSO|QSO|?|?,|BROADLINE|BROADLINE||BROADLINE|BROADLINE|BROADLINE|BROADLINE||,False,False,?,,0.5595609,7.07655,59217.0
1,J000750.51+005815.2,1.960458333333333,0.9708888888888888,11,11,0,52903.0,59879.0,3.8542475235194624,19.09924709103354,BHM|boss|sdss,52903|55478|59201|59202|59202|59846|59847|59847|59874|59879|59879,?|?|?|QSO|QSO|?|?|?|?|?|?,|||BROADLINE|BROADLINE||||||,False,False,?,,0.3451495,7.291245,59202.0
2,J001103.49+010032.6,2.7645416666666662,1.0090555555555556,4,4,0,55478.0,59202.0,5.7077725064078955,10.195756331279945,BHM|boss,55478|59201|59202|59202,?|?|QSO|QSO,||STARFORMING|STARFORMING,False,False,QSO,STARFORMING,0.4861505,2.487632,59202.0
3,J001133.95-000001.1,2.891458333333333,-0.0003055555555555,14,13,1,52518.0,59879.0,3.8542475235194624,20.1533196440794,BHM|boss|eboss|main|sdss,52518|55478|56984|58067|59201|59202|59202|59494|59846|59847|59847|59874|59879|59879,?|?|?|?|?|QSO|QSO|QSO|?|?|?|?|?|?,|||||STARBURST BROADLINE|STARBURST BROADLINE|||||||,False,True,?,,0.4470609,2.550363,59202.0
4,J001333.96+014506.8,3.3914999999999997,1.7518888888888888,11,10,1,55511.0,59879.0,3.8542475235194624,11.958932238193018,BHM|boss|main,55511|59201|59202|59202|59490|59846|59847|59847|59874|59879|59879,?|?|QSO|QSO|QSO|?|?|?|?|?|?,||BROADLINE|BROADLINE|||||||,False,True,?,,0.8825039,5.896133,59202.0
5,J002956.65+010537.2,7.486041666666666,1.0936666666666666,9,9,0,55447.0,59958.0,3.6379573113360264,12.350444900752908,BHM|boss,55447|59167|59167|59193|59193|59898|59898|59958|59958,?|QSO|QSO|QSO|QSO|?|?|?|?,|BROADLINE|BROADLINE|BROADLINE|BROADLINE||||,False,False,?,,0.37268945,3.555449,59193.0
6,J003242.74+003110.9,8.178083333333332,0.5196944444444445,11,10,1,51782.0,59958.0,3.6379573113360264,22.38466803559206,BHM|eboss|main|sdss,51782|58051|59167|59167|59193|59193|59493|59898|59898|59958|59958,?|?|QSO|QSO|QSO|QSO|QSO|?|?|?|?,||BROADLINE|BROADLINE|BROADLINE|BROADLINE|||||,False,True,?,,0.3611211,15.81683,59193.0
7,J003841.53+000226.7,9.673041666666665,0.04075,14,13,1,52261.0,59901.0,3.794014806202556,20.917180013689254,BHM|boss|eboss|main|sdss,52261|55182|58051|59168|59169|59187|59187|59571|59828|59828|59898|59899|59901|59901,?|?|?|?|?|QSO|QSO|QSO|?|?|?|?|?|?,|||||||||||||,False,False,?,,0.6501016,6.605347,59187.0
8,J003849.27-011722.4,9.705291666666664,-1.2895555555555551,11,11,0,55827.0,59901.0,3.794014806202556,11.154004106776181,BHM|boss,55827|59168|59169|59187|59187|59828|59828|59898|59899|59901|59901,?|?|?|QSO|QSO|?|?|?|?|?|?,|||BROADLINE|BROADLINE||||||,False,False,?,,0.4998494,4.774824,59187.0
9,J004459.09-010629.3,11.24620833333333,-1.108138888888889,13,12,1,52531.0,59901.0,3.794014806202556,20.177960301163587,BHM|boss|main|sdss,52531|55186|59168|59169|59187|59187|59486|59828|59828|59898|59899|59901|59901,?|?|?|?|QSO|QSO|QSO|?|?|?|?|?|?,||||STARBURST BROADLINE|STARBURST BROADLINE|||||||,False,True,?,,0.2281005,18.62712,59187.0
10,J004616.68+000249.1,11.5695,0.0469722222222222,14,13,1,52199.0,59901.0,3.794014806202556,21.086926762491444,BHM|boss|eboss|main|sdss,52199|55201|58096|59168|59169|59187|59187|59489|59828|59828|59898|59899|59901|59901,?|?|?|?|?|QSO|QSO|QSO|?|?|?|?|?|?,|||||BROADLINE|BROADLINE|||||||,False,True,?,,0.453058,9.641126,59187.0
11,J011536.11+003352.4,18.90045833333333,0.5645555555555556,10,9,1,52202.0,59496.33353424,4.901931208009532,19.970796808323072,BHM|boss|main|sdss,52202|55481|59163|59164|59164|59192|59192|59218|59218|59496,?|?|?|GALAXY|GALAXY|QSO|QSO|QSO|QSO|QSO,|||||BROADLINE|BROADLINE|BROADLINE|BROADLINE|,True,True,QSO,,0.3641132,12.44568,59218.0
12,J011851.07-010417.3,19.712791666666664,-1.0714722222222222,8,8,0,52202.0,59218.0,5.6639668938137815,19.208761122518823,BHM|sdss,52202|59163|59164|59164|59192|59192|59218|59218,?|?|GALAXY|GALAXY|GALAXY|GALAXY|GALAXY|GALAXY,|||||||,False,False,GALAXY,,0.5731421,2.862298,59218.0
13,J011943.50-010858.5,19.931249999999995,-1.1495833333333334,11,9,2,52202.0,59497.34683052,4.89915695399174,19.973571062340863,BHM|eboss|main|sdss,52202|58072|59163|59164|59164|59192|59192|59218|59218|59495|59497,?|?|?|QSO|QSO|QSO|QSO|QSO|QSO|QSO|QSO,|||STARBURST BROADLINE|STARBURST BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE||,False,True,QSO,,0.49764155,12.78094,59218.0
14,J012025.45+142727.9,20.106041666666663,14.45775,7,6,1,56211.0,59503.31481761,4.88281749583979,9.01386671488022,BHM|boss|main,56211|59198|59199|59199|59219|59219|59503,?|?|GALAXY|GALAXY|GALAXY|GALAXY|GALAXY,||STARFORMING|STARFORMING|BROADLINE|BROADLINE|,False,True,GALAXY,,0.2637578,11.53658,59219.0
15,J012150.93+145344.0,20.462208333333333,14.895555555555555,7,6,1,55830.0,59549.19746966,4.757197640808988,10.182607719808352,BHM|boss|main,55830|59198|59199|59199|59219|59219|59549,?|?|QSO|QSO|QSO|QSO|QSO,||BROADLINE|BROADLINE|BROADLINE|BROADLINE|,False,True,QSO,,0.5933432,7.451324,59219.0
16,J012256.19-000252.6,20.734124999999995,-0.0479444444444444,11,10,1,51817.0,59593.09317609,4.637017746407899,21.289782822970565,BHM|eboss|main|sdss,51817|52209|58113|59163|59164|59164|59192|59192|59218|59218|59593,?|?|?|?|QSO|QSO|QSO|QSO|QSO|QSO|QSO,||||BROADLINE|BROADLINE|BROADLINE|BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|,False,True,QSO,,0.3405918,29.2935,59218.0
17,J012416.34+004052.2,21.06808333333333,0.6811666666666666,7,6,1,52614.0,59489.36460237,4.9210111036152915,18.823722388418886,BHM|boss|main|sdss,52614|55484|59203|59203|59222|59222|59489,?|?|QSO|QSO|QSO|QSO|QSO,||BROADLINE|BROADLINE|BROADLINE|BROADLINE|,False,True,QSO,,0.594429,4.235784,59222.0
18,J012452.64+000958.9,21.21933333333333,0.1663611111111111,6,6,0,52209.0,59222.0,5.653015490665253,19.200547570157426,BHM|boss|sdss,52209|55501|59203|59203|59222|59222,?|?|QSO|QSO|QSO|QSO,||BROADLINE|BROADLINE|BROADLINE|BROADLINE,False,False,QSO,BROADLINE,0.26740585,15.8561,59222.0
19,J012524.66+001935.9,21.35275,0.3266388888888888,6,5,1,56989.0,59489.858768545,4.919658150364099,6.846978147967136,BHM|eboss|main,56989|59203|59203|59222|59222|59490,?|QSO|QSO|QSO|QSO|QSO,|||||,False,False,QSO,,1.663207,0.159474,59222.0
20,J012716.17-003557.7,21.817374999999995,-0.5993611111111111,7,5,2,57373.0,59593.0931761,4.637017746380509,6.078283849691999,BHM|eboss|main,57373|59203|59203|59222|59222|59490|59593,?|QSO|QSO|QSO|QSO|GALAXY|QSO,|AGN BROADLINE|AGN BROADLINE|AGN BROADLINE|AGN BROADLINE||,True,True,QSO,,0.3712969,8.112288,59222.0
21,J012839.76+003342.5,22.165666666666667,0.5618055555555556,6,5,1,55501.0,59485.36234644,4.93196868316354,10.908589586420263,BHM|boss|main,55501|59203|59203|59222|59222|59485,?|GALAXY|GALAXY|GALAXY|GALAXY|GALAXY,|||||,False,False,GALAXY,,0.4350339,3.575388,59222.0
22,J012946.72+150457.3,22.444666666666663,15.082583333333334,8,8,0,51884.0,59219.0,5.661229043026649,20.082135523613964,BHM|eboss|sdss,51884|51898|58515|59198|59199|59199|59219|59219,?|?|?|?|QSO|QSO|QSO|QSO,||||BROADLINE|BROADLINE|BROADLINE|BROADLINE,False,False,QSO,BROADLINE,0.36507330000000004,20.99555,59219.0
