name,ra,dec,V,sptype,otype,calspec
GD 50,57.20910821845,-0.97563616324,14.062999725341797,DA1.2,WD*,gd50
HZ 4,58.84161729748,9.78837083572,14.505999565124512,DA3.4,WD*,hz4
HZ 14,70.25724932485,10.99444480098,13.859999656677246,DA1.8,WD*,hz14
G191-B2B,76.37757540733,52.83108869489,11.6899995803833,DA.8,WD*,g191b2b
GD 71,88.11508274659,15.88700802429,13.031999588012695,DA1.5,WD*,gd71
BD+75 325,122.70620958488,74.96609221491,9.5,sdO5,HS*,bd_75d325
Feige 34,159.90306618296,43.1025590598,11.140000343322754,sdOp,HS*,feige34
HD 93521,162.0979641588,37.57030092567,7.03000020980835,O9.5IIInn,*,hd93521
HZ 21,183.48443397748,32.94204405817,14.687999725341797,DO1,WD*,hz21
GD 153,194.25967704565,22.031287438399996,13.348999977111816,DA1.2,WD*,gd153
HZ 43,199.09105517071663,29.098725329688055,12.65999984741211,DAwk,WD*,hz43
HZ 44,200.89692893566996,36.13320670564,11.649999618530272,sdBN0VIIHe28,HS*,hz44
GRW +70 5824,204.7103253777683,70.2854557382039,12.600000381469728,DA2.4,WD*,grw_70d5824
BD+26 2606,222.2598305615533,25.702553433020555,9.729999542236328,A5,SB*,bd26d2606
P177D,239.80654166666665,47.61163888888889,13.47,G0V,*,p177d
P330E,247.89087499999997,30.14622222222222,13.01,G2V,*,p330e
LDS 749B,323.06763626692333,0.2539997966616667,14.673999786376951,DB4,WD*,lds749b
BD+28 4211,327.79592579819,28.863991007629995,10.579999923706056,sdO2VIIIHe5,HS*,bd_28d4211
BD+17 4708,332.88073201368917,18.09282721765222,9.460000038146973,sdF8,SB*,bd_17d4708
Feige 110,349.99333201843996,-5.16560309524,11.5,sdO8VIIIHe5,HS*,feige110
