rank,night,stratum,tier,arm,name,ra,dec,z,r_now,r_mag,t_exp_min,exp_plan,yield_per_hour,prio_per_hour,priority_night,priority,score,trend,source_catalog,notes,years_since_last_spec,P_hb_dim,P_cont_dim,P_hb_bright,P_cont_bright,P_hb,lit_corner,dir,d_opt,dw1_neowise,dcolor,ampW1,LOGLEDD_RATIO,known_type,mjd_last_sdssv,why,why_night,hrs_oct26,minX_oct26,moonsep_oct26,rank04,origin,sched_start
1,oct26,D2,D2,quasar,P2177,246.08622,51.77766,0.2839231,18.4294,18.4294,10.0,2 x 5 min,,3.036,0.759,0.759,0.7594562818818407,brightening,DR16_QSO,DR16 quasar,13.234770704996578,0.01219391997029,0.0090130890862332,0.7594562818818407,0.4034407938787865,0.1266666666666666,True,0.1,-0.8714397355563008,-0.2759999999999998,0.0449999999999999,0.6740892,-2.164900482062457,,,"P(broad Hbeta rose > 2x) = 0.76, P(continuum brightened) = 0.40; optical brighter by 0.87 mag since the 6313-56460-277 spectrum (ZTF vs synthetic); W1 brightened 0.28 mag 2014-24; W1 amplitude 0.67 mag; log Edd -2.16; manifold prior P_hb 0.13 (literature corner), direction turn-on-like",,1.0,1.61,109.0,0,pick-other-night,19:34
2,oct26,D1,D1,quasar,P2258,243.64108,54.680615,0.2330399,18.44831,18.44831,10.0,2 x 5 min,,2.588,0.647,0.647,0.646964654108144,fading,DR16_QSO,DR16 quasar,12.279260780287474,0.646964654108144,0.1035352032437135,0.0022239992097985,0.0036430618759748,0.0666666666666666,False,-0.0399999999999999,0.3005940928573185,0.5609999999999999,-0.0739999999999998,0.43800357,,,,"P(broad Hbeta fell > 2x) = 0.65, P(continuum dimmed) = 0.10; optical fainter by 0.30 mag since the 7565-56809-107 spectrum (ZTF vs synthetic); W1 faded 0.56 mag 2014-24; W1 amplitude 0.44 mag; manifold prior P_hb 0.07, direction turn-off-like",,1.0,1.65,107.0,0,pick-other-night,19:54
3,oct26,D1,D1,quasar,P4745,255.15215,46.926006,0.2668625,18.12125,18.12125,8.0,2 x 4 min,,2.178,0.472,0.472,0.4716854848824144,fading,DR16_QSO,DR16 quasar,14.2258726899384,0.4716854848824144,0.414621405165781,0.0061674666547743,0.0052526863572314,0.1533333333333333,False,0.02,0.2688925369245183,0.5709999999999997,0.0530000000000008,0.6244428,-1.9223308416393508,,,"P(broad Hbeta fell > 2x) = 0.47, P(continuum dimmed) = 0.41; optical fainter by 0.27 mag since the 6025-56098-621 spectrum (ZTF vs synthetic); W1 faded 0.57 mag 2014-24; W1 amplitude 0.62 mag; log Edd -1.92; manifold prior P_hb 0.15, direction neutral",,1.5,1.45,109.0,0,pick-other-night,20:09
4,oct26,D2,D2,quasar,P5572,325.65905,3.8115075,0.1300005,17.63974,17.63974,8.0,2 x 4 min,4.569,4.569,0.99,0.99,0.9900225907331544,brightening,DR16_QSO,DR16 quasar,7.9370294318959616,0.0013297809903026,0.0014218777166241,0.9900225907331544,0.5037664425027526,0.1933333333333333,True,0.1,-1.511424660324158,-0.1549999999999993,0.0594999999999998,0.34879678,-2.4034498745827833,,,"P(broad Hbeta rose > 2x) = 0.99, P(continuum brightened) = 0.50; optical brighter by 1.51 mag since the 11324-58395-602 spectrum (ZTF vs synthetic); W1 brightened 0.15 mag 2014-24; log Edd -2.40; manifold prior P_hb 0.19 (literature corner), direction turn-on-like","P(broad Hbeta rose > 2x) = 0.99, P(continuum brightened) = 0.50; optical brighter by 1.51 mag since the 11324-58395-602 spectrum (ZTF vs synthetic); W1 brightened 0.15 mag 2014-24; log Edd -2.40; manifold prior P_hb 0.19 (literature corner), direction turn-on-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 4.569",4.5,1.15,65.0,5,04,20:24
5,oct26,D2,D2,quasar,P5318,324.73911,1.1186132,0.2761437,18.13342,18.13342,8.0,2 x 4 min,3.092,3.092,0.67,0.67,0.6698710883871918,brightening,DR16_QSO,DR16 quasar,24.164271047227928,0.0237120335513463,0.0028092931751707,0.6698710883871918,0.0976216699985525,0.0466666666666666,False,0.0,-0.8372983898634221,0.0380000000000002,0.0309999999999988,0.27472675,,,,"P(broad Hbeta rose > 2x) = 0.67, P(continuum brightened) = 0.10; optical brighter by 0.84 mag since the 989-52468-606 spectrum (ZTF vs synthetic); manifold prior P_hb 0.05, direction neutral","P(broad Hbeta rose > 2x) = 0.67, P(continuum brightened) = 0.10; optical brighter by 0.84 mag since the 989-52468-606 spectrum (ZTF vs synthetic); manifold prior P_hb 0.05, direction neutral; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 3.092",4.333333333333333,1.18,67.0,0,04,20:44
6,oct26,D2,D2,galaxy,G4931652796468713472,337.35076,-1.921245,0.1344262,17.68031,17.68031,8.0,2 x 4 min,,2.714,0.588,0.84,0.84,brightening,SDSS_GALAXY,turn-on arm: SDSS narrow-line AGN galaxy,,,,,,,,,-0.4727293172391764,-0.4075000000000006,0.1294999999999984,,,,,"TURN-ON candidate (galaxy parent, AGN BROADLINE, z=0.134): W1 brightened 0.41 mag and W2 0.54 mag 2014-24 (15/20 sigma); ZTF g brighter than the archival spectrum by 0.47 mag (host-offset corrected), ZTF amplitude 0.94; W1-W2 reddened by +0.13 (nucleus emerging); score 0.84 = literature success rate of this trigger set",,5.0,1.22,55.0,0,pick-other-night,20:59
7,oct26,K,K,quasar,P5182,315.50178,0.083856136,0.3293784,18.68427,18.68427,16.0,2 x 8 min,,2.723,0.953,0.953,0.9530000000000012,fading,DR16_QSO,DR16 quasar,24.265571526351813,0.0639431617364743,0.0263313187120508,0.0053775133674823,0.0172670743137251,0.0533333333333333,False,-0.06,0.2663436751436023,-0.4530000000000012,0.2955000000000005,0.68991125,-1.4949842848225217,turn-off / dimming; turn-off,,"KNOWN changer (turn-off / dimming; turn-off) with recent photometric motion; optical fainter by 0.27 mag since the 985-52431-352 spectrum (ZTF vs synthetic); W1 brightened 0.45 mag 2014-24; W1-W2 redder by 0.30; W1 amplitude 0.69 mag; log Edd -1.49; manifold prior P_hb 0.05, direction turn-off-like",,3.6666666666666665,1.19,76.0,0,schedule-fill,21:14
8,oct26,D1,D1,quasar,P5546,327.68016,-0.88962796,0.2021984,18.56254,18.56254,12.0,2 x 6 min,1.958,1.958,0.555,0.555,0.554640557700766,fading,DR16_QSO,DR16 quasar,25.232032854209447,0.554640557700766,0.0652776942657704,0.0033575590988295,0.0067913836382715,0.1266666666666666,False,0.0,0.2050247368257025,0.4459999999999997,-0.1319999999999996,0.5522555,,,,"P(broad Hbeta fell > 2x) = 0.55, P(continuum dimmed) = 0.07; optical fainter by 0.21 mag since the 371-52078-136 spectrum (ZTF vs synthetic); W1 faded 0.45 mag 2014-24; W1-W2 bluer by 0.13; W1 amplitude 0.55 mag; manifold prior P_hb 0.13, direction neutral","P(broad Hbeta fell > 2x) = 0.55, P(continuum dimmed) = 0.07; optical fainter by 0.21 mag since the 371-52078-136 spectrum (ZTF vs synthetic); W1 faded 0.45 mag 2014-24; W1-W2 bluer by 0.13; W1 amplitude 0.55 mag; manifold prior P_hb 0.13, direction neutral; oct26: x1.0 moon, 12 min + 5 overhead -> yield/h 1.958",4.5,1.21,64.0,37,04,21:39
9,oct26,D2,D2,galaxy,G1104553204319807488,309.86734,-0.56963127,0.0807229,18.21627,18.21627,8.0,2 x 4 min,,2.077,0.45,0.45,0.45,brightening (IR),SDSS_GALAXY,turn-on arm: SDSS narrow-line AGN galaxy,,,,,,,,,-0.0481891717216544,-0.2169999999999987,0.0830000000000019,,,,,"TURN-ON candidate (galaxy parent, AGN, z=0.081): W1 brightened 0.22 mag and W2 0.30 mag 2014-24 (8/11 sigma); optical change -0.05 mag; score 0.45 = literature success rate of this trigger set",,3.3333333333333335,1.21,82.0,0,schedule-fill,21:59
10,oct26,D2,D2,quasar,P5309,324.86957,-3.1792192,0.7466064,18.19006,18.19006,16.0,2 x 8 min,,2.194,0.768,0.768,0.7678730417300978,brightening,DR16_QSO,DR16 quasar,15.173169062286105,0.0006436517694644,0.0020165565284212,0.7678730417300978,0.2239046674606783,0.06,False,0.0,-1.111495004946592,-0.3839999999999985,-0.0219999999999984,0.19747967,-1.4367444415114292,,,"P(broad Hbeta rose > 2x) = 0.77, P(continuum brightened) = 0.22; optical brighter by 1.11 mag since the 4385-55752-52 spectrum (ZTF vs synthetic); W1 brightened 0.38 mag 2014-24; log Edd -1.44; manifold prior P_hb 0.06, direction neutral",,4.166666666666667,1.24,68.0,0,schedule-fill,22:14
