rank,night,stratum,tier,arm,name,ra,dec,z,r_now,r_mag,t_exp_min,exp_plan,yield_per_hour,prio_per_hour,priority_night,priority,score,trend,source_catalog,notes,years_since_last_spec,P_hb_dim,P_cont_dim,P_hb_bright,P_cont_bright,P_hb,lit_corner,dir,d_opt,dw1_neowise,dcolor,ampW1,LOGLEDD_RATIO,known_type,mjd_last_sdssv,why,why_night,hrs_sep23,minX_sep23,moonsep_sep23,rank04,origin,sched_start
1,sep23,K,K,quasar,P3178,250.88297,30.809879,0.1840353,17.96067,17.96067,8.0,2 x 4 min,3.988,3.988,0.864,0.864,0.8640000000000008,fading,DR16_QSO,DR16 quasar,23.274469541409992,0.3465997178309941,0.3458990884734812,0.0002029390604075,0.0002667675292447,0.2066666666666666,True,-0.26,0.620160797700894,0.3640000000000007,-0.2950000000000017,0.95715344,-2.2769729968530115,turn-off,,"KNOWN changer (turn-off) with recent photometric motion; optical fainter by 0.62 mag since the 1342-52793-321 spectrum (ZTF vs synthetic); W1 faded 0.36 mag 2014-24; W1-W2 bluer by 0.30; W1 amplitude 0.96 mag; log Edd -2.28; manifold prior P_hb 0.21 (literature corner), direction turn-off-like","KNOWN changer (turn-off) with recent photometric motion; optical fainter by 0.62 mag since the 1342-52793-321 spectrum (ZTF vs synthetic); W1 faded 0.36 mag 2014-24; W1-W2 bluer by 0.30; W1 amplitude 0.96 mag; log Edd -2.28; manifold prior P_hb 0.21 (literature corner), direction turn-off-like; sep23: x1.0 moon, 8 min + 5 overhead -> yield/h 3.988",2.1666666666666665,1.22,107.0,1,04,20:15
2,sep23,B,B,quasar,P4107,252.28994,36.223857,0.03097322,15.8605,15.8605,8.0,2 x 4 min,1.385,1.385,0.3,0.3,0.3,brightening,DR16_QSO,DR16 quasar,24.32580424366872,0.0584928199674479,0.0017838002962432,0.037949572295205,0.0249146753974439,0.1533333333333333,True,-0.0199999999999999,-0.2845138204456452,0.0265000000000004,-0.0174999999999982,0.18561958,,,,"BLIND manifold stratum (W1 manifold, Hemmati+2026): literature-CLAGN region, 30% of the 50 nearest training objects are literature CLAGNs, archival SDSS spectrum as baseline, no photometric trigger; optical brighter by 0.28 mag since the 819-52409-472 spectrum (ZTF vs synthetic); manifold prior P_hb 0.15 (literature corner), direction neutral","BLIND manifold stratum (W1 manifold, Hemmati+2026): literature-CLAGN region, 30% of the 50 nearest training objects are literature CLAGNs, archival SDSS spectrum as baseline, no photometric trigger; optical brighter by 0.28 mag since the 819-52409-472 spectrum (ZTF vs synthetic); manifold prior P_hb 0.15 (literature corner), direction neutral; sep23: x1.0 moon, 8 min + 5 overhead -> yield/h 1.385",2.3333333333333335,1.19,104.0,19,04,20:35
3,sep23,D1,D1,quasar,P2039,241.80798,48.557286,0.1255785,17.60884,17.60884,8.0,2 x 4 min,3.486,3.486,0.755,0.755,0.7552096186908857,fading,DR16_QSO,DR16 quasar,25.297741273100616,0.7552096186908857,0.3564466236255245,6.491452721069725e-05,9.407151626480498e-05,0.2333333333333333,False,0.06,0.5319699273774283,1.331999999999999,-0.2650000000000005,1.3294375,,,,"P(broad Hbeta fell > 2x) = 0.76, P(continuum dimmed) = 0.36; optical fainter by 0.53 mag since the 622-52054-241 spectrum (ZTF vs synthetic); W1 faded 1.33 mag 2014-24; W1-W2 bluer by 0.27; W1 amplitude 1.33 mag; manifold prior P_hb 0.23, direction turn-on-like","P(broad Hbeta fell > 2x) = 0.76, P(continuum dimmed) = 0.36; optical fainter by 0.53 mag since the 622-52054-241 spectrum (ZTF vs synthetic); W1 faded 1.33 mag 2014-24; W1-W2 bluer by 0.27; W1 amplitude 1.33 mag; manifold prior P_hb 0.23, direction turn-on-like; sep23: x1.0 moon, 8 min + 5 overhead -> yield/h 3.486",2.1666666666666665,1.31,108.0,2,04,20:50
4,sep23,D1,D1,quasar,P533,237.67193,41.656976,0.1414292,18.12376,18.12376,8.0,2 x 4 min,2.579,2.579,0.559,0.559,0.5588258936787841,fading,DR16_QSO,DR16 quasar,24.164271047227928,0.5588258936787841,0.0651344428137818,0.0003819762838611,0.0012153155061602,0.1933333333333333,False,-0.0399999999999999,0.545138589036041,0.3559999999999998,-0.089500000000001,0.74970603,,,,"P(broad Hbeta fell > 2x) = 0.56, P(continuum dimmed) = 0.07; optical fainter by 0.55 mag since the 1053-52468-593 spectrum (ZTF vs synthetic); W1 faded 0.36 mag 2014-24; W1-W2 bluer by 0.09; W1 amplitude 0.75 mag; manifold prior P_hb 0.19, direction turn-off-like","P(broad Hbeta fell > 2x) = 0.56, P(continuum dimmed) = 0.07; optical fainter by 0.55 mag since the 1053-52468-593 spectrum (ZTF vs synthetic); W1 faded 0.36 mag 2014-24; W1-W2 bluer by 0.09; W1 amplitude 0.75 mag; manifold prior P_hb 0.19, direction turn-off-like; sep23: x1.0 moon, 8 min + 5 overhead -> yield/h 2.579",1.6666666666666667,1.37,114.0,10,04,21:05
5,sep23,D2,D2,quasar,P3569,253.33418,20.643054,0.4834566,18.02185,18.02185,8.0,2 x 4 min,2.905,2.905,0.629,0.629,0.6293843780297012,brightening,DR16_QSO,DR16 quasar,22.245037645448324,0.0046802575519812,0.0052993888099333,0.6293843780297012,0.3351857827234584,0.04,True,0.06,-0.9031948220449716,-0.2919999999999998,0.1004999999999984,0.54432267,-1.6887301252413778,,,"P(broad Hbeta rose > 2x) = 0.63, P(continuum brightened) = 0.34; optical brighter by 0.90 mag since the 1568-53169-451 spectrum (ZTF vs synthetic); W1 brightened 0.29 mag 2014-24; W1-W2 redder by 0.10; W1 amplitude 0.54 mag; log Edd -1.69; manifold prior P_hb 0.04 (literature corner), direction turn-on-like","P(broad Hbeta rose > 2x) = 0.63, P(continuum brightened) = 0.34; optical brighter by 0.90 mag since the 1568-53169-451 spectrum (ZTF vs synthetic); W1 brightened 0.29 mag 2014-24; W1-W2 redder by 0.10; W1 amplitude 0.54 mag; log Edd -1.69; manifold prior P_hb 0.04 (literature corner), direction turn-on-like; sep23: x1.0 moon, 8 min + 5 overhead -> yield/h 2.905",2.0,1.25,106.0,7,04,21:20
6,sep23,D2,D2,quasar,P4592,257.24638,21.885585,0.07189731,16.27969,16.27969,8.0,2 x 4 min,2.963,2.963,0.642,0.642,0.641911902971295,brightening,DR16_QSO,DR16 quasar,22.223134839151268,0.0215674709440646,0.0008689450835612,0.641911902971295,0.2199553660646602,0.04,False,0.04,-0.7938714308383652,-0.3704999999999998,0.084500000000002,0.6325001,,,,"P(broad Hbeta rose > 2x) = 0.64, P(continuum brightened) = 0.22; optical brighter by 0.79 mag since the 1689-53177-148 spectrum (ZTF vs synthetic); W1 brightened 0.37 mag 2014-24; W1-W2 redder by 0.08; W1 amplitude 0.63 mag; manifold prior P_hb 0.04, direction turn-on-like","P(broad Hbeta rose > 2x) = 0.64, P(continuum brightened) = 0.22; optical brighter by 0.79 mag since the 1689-53177-148 spectrum (ZTF vs synthetic); W1 brightened 0.37 mag 2014-24; W1-W2 redder by 0.08; W1 amplitude 0.63 mag; manifold prior P_hb 0.04, direction turn-on-like; sep23: x1.0 moon, 8 min + 5 overhead -> yield/h 2.963",2.3333333333333335,1.19,102.0,6,04,21:35
7,sep23,D2,D2,galaxy,G5632915812723742720,260.84699,26.847684,0.1042739,17.83795,17.83795,8.0,2 x 4 min,3.231,3.231,0.7,0.7,0.7,brightening,SDSS_GALAXY,turn-on arm: SDSS narrow-line AGN galaxy,,,,,,,,,-0.3510379653758892,-0.666500000000001,0.0614999999999987,,,,,"TURN-ON candidate (galaxy parent, AGN, z=0.104): W1 brightened 0.67 mag and W2 0.73 mag 2014-24 (40/44 sigma); ZTF g brighter than the archival spectrum by 0.35 mag (host-offset corrected), ZTF amplitude 0.84; score 0.70 = literature success rate of this trigger set","TURN-ON candidate (galaxy parent, AGN, z=0.104): W1 brightened 0.67 mag and W2 0.73 mag 2014-24 (40/44 sigma); ZTF g brighter than the archival spectrum by 0.35 mag (host-offset corrected), ZTF amplitude 0.84; score 0.70 = literature success rate of this trigger set; sep23: x1.0 moon, 8 min + 5 overhead -> yield/h 3.231",2.6666666666666665,1.13,98.0,3,04,21:50
8,sep23,B,B,quasar,P4869,262.71968,60.421331,0.7295793,17.80593,17.80593,8.0,2 x 4 min,,1.108,0.24,0.24,0.24,flat/unknown,DR16_QSO,DR16 quasar,26.015058179329227,0.0144327255802189,0.0371988025448202,0.0011963877715019,0.0035238336604598,0.1066666666666666,True,-0.08,0.1617044981848305,-0.0794999999999994,-0.0349999999999983,0.38832486,-0.617828147323543,,,"BLIND manifold stratum (W1 manifold, Hemmati+2026): literature-CLAGN region, 24% of the 50 nearest training objects are literature CLAGNs, archival SDSS spectrum as baseline, no photometric trigger; optical fainter by 0.16 mag since the 354-51792-113 spectrum (ZTF vs synthetic); log Edd -0.62; manifold prior P_hb 0.11 (literature corner), direction turn-off-like",,3.8333333333333335,1.2,94.0,0,pick-other-night,22:05
9,sep23,D1,D1,quasar,P4793,255.25954,34.066831,0.09434592,17.63719,17.63719,8.0,2 x 4 min,2.331,2.331,0.505,0.505,0.5051204181454522,fading (IR),DR16_QSO,DR16 quasar,24.254620123203285,0.5051204181454522,0.0824940847465199,0.0039514475322905,0.0037043580851597,0.2133333333333333,False,0.12,0.1577364667116327,0.6274999999999995,0.0470000000000006,1.2064761,,,,"P(broad Hbeta fell > 2x) = 0.51, P(continuum dimmed) = 0.08; optical fainter by 0.16 mag since the 972-52435-520 spectrum (ZTF vs synthetic); W1 faded 0.63 mag 2014-24; W1 amplitude 1.21 mag; manifold prior P_hb 0.21, direction turn-on-like","P(broad Hbeta fell > 2x) = 0.51, P(continuum dimmed) = 0.08; optical fainter by 0.16 mag since the 972-52435-520 spectrum (ZTF vs synthetic); W1 faded 0.63 mag 2014-24; W1 amplitude 1.21 mag; manifold prior P_hb 0.21, direction turn-on-like; sep23: x1.0 moon, 8 min + 5 overhead -> yield/h 2.331",2.5,1.16,102.0,13,04,22:20
10,sep23,D1,D1,quasar,P4675,258.70212,33.460635,0.1853971,17.68487,17.68487,8.0,2 x 4 min,2.333,2.333,0.506,0.506,0.5055863090944641,fading,DR16_QSO,DR16 quasar,18.351813826146476,0.5055863090944641,0.3977534457083158,5.3863972400776785e-05,0.0001666360444994,0.1933333333333333,True,-0.24,1.0002443870041589,0.3450000000000006,-0.0069999999999996,0.47952834,-1.2512266129757492,,,"P(broad Hbeta fell > 2x) = 0.51, P(continuum dimmed) = 0.40; optical fainter by 1.00 mag since the 2973-54591-190 spectrum (ZTF vs synthetic); W1 faded 0.35 mag 2014-24; W1 amplitude 0.48 mag; log Edd -1.25; manifold prior P_hb 0.19 (literature corner), direction turn-off-like","P(broad Hbeta fell > 2x) = 0.51, P(continuum dimmed) = 0.40; optical fainter by 1.00 mag since the 2973-54591-190 spectrum (ZTF vs synthetic); W1 faded 0.35 mag 2014-24; W1 amplitude 0.48 mag; log Edd -1.25; manifold prior P_hb 0.19 (literature corner), direction turn-off-like; sep23: x1.0 moon, 8 min + 5 overhead -> yield/h 2.333",2.8333333333333335,1.13,100.0,12,04,22:35
