Name,Class,z
J000719.90+253128.6,EVQ,0.559321
J000750.51+005815.2,CL-AGN,0.345113
J001103.49+010032.6,CL-AGN,0.485892
J001133.95-000001.1,EVQ,0.44707
J001333.96+014506.8,CL-AGN,0.881555
J002956.65+010537.2,EVQ,0.373015
J003242.74+003110.9,EVQ,0.360592
J003841.53+000226.7,CL-AGN,0.649649
J003849.27-011722.4,EVQ,0.500226
J004459.09-010629.3,CL-AGN,0.228215
J004616.68+000249.1,CL-AGN,0.4531
J011536.11+003352.4,CL-AGN,0.364029
J011851.07-010417.3,CL-AGN,0.573171
J011943.50-010858.5,EVQ,0.497391
J012025.45+142727.9,CL-AGN,0.263752
J012150.93+145344.0,EVQ,0.593289
J012256.19-000252.6,CL-AGN,0.340502
J012416.34+004052.2,CL-AGN,0.594002
J012452.64+000958.9,EVQ,0.267199
J012524.66+001935.9,CL-AGN,1.662356
J012716.17-003557.7,EVQ,0.371335
J012839.76+003342.5,CL-AGN,0.434354
J012946.72+150457.3,CL-AGN,0.364851
J012953.16-003104.3,EVQ,0.487809
J013309.79-000107.7,CL-AGN,0.393807
J013944.05-004251.5,CL-AGN,0.471326
J014022.54+002629.7,EVQ,1.857251
J014128.85+003712.2,CL-AGN,0.814749
J014209.02-005050.0,CL-AGN,0.132549
J015105.80-003426.4,EVQ,0.335108
J015108.82+003517.2,CL-AGN,0.875433
J015717.74+004108.4,EVQ,0.389593
J015854.50+001307.3,CL-AGN,0.145004
J015957.64+003310.5,CL-AGN,0.31205
J020428.59-031013.7,EVQ,0.359745
J020649.48-041452.7,CL-AGN,0.138743
J020719.49-033600.7,EVQ,0.560031
J021122.60-021129.8,EVQ,0.210883
J022105.64-044101.5,CL-AGN RM,0.198636
J022907.77+003755.0,EVQ,0.458884
J023029.63+004305.0,EVQ,2.586888
J023112.11-002056.3,EVQ,0.643731
J023128.98+011250.2,EVQ,0.600864
J023427.80+010921.9,CL-AGN,0.739439
J023904.10-004410.8,CL-AGN,0.567837
J023958.89-000901.2,CL-AGN,0.394828
J024508.68+003710.7,CL-AGN,0.29935
J024510.20-000628.1,EVQ,2.132256
J024637.95-004105.4,EVQ,0.85716
J024712.91-011106.2,EVQ,0.486331
J025515.09+003740.5,CL-AGN,1.012572
J073716.39+380202.4,EVQ,0.550421
J073916.52+315814.3,CL-AGN,0.727763
J074147.21+303243.1,EVQ,0.697918
J074314.98+383829.8,EVQ,0.352608
J074511.98+380911.3,EVQ,0.23648
J075225.29+284728.5,CL-AGN,0.772837
J075827.30+342457.5,EVQ,0.562246
J075934.95+322143.3,CL-AGN,0.26888
J080020.23+315414.2,EVQ,1.659855
J080133.29+341737.6,CL-AGN,0.337982
J080709.93+205901.8,EVQ,0.314605
J080711.72+194439.7,CL-AGN,0.347745
J080717.58+251758.7,CL-AGN,0.383252
J080803.27+325145.6,CL-AGN,0.631568
J080832.67+260130.3,EVQ,0.459197
J080838.73+273252.4,CL-AGN,0.47762
J081009.62+211625.8,CL-AGN,0.769466
J081051.52+325251.9,EVQ,0.705579
J081116.71+320935.4,EVQ,0.15368
J081127.88+222045.3,EVQ,0.312202
