name,class_zeltyn,z,ra,dec
J000719.90+253128.6,EVQ,0.559321,1.8329166666666663,25.52461111111111
J000750.51+005815.2,CL-AGN,0.345113,1.960458333333333,0.9708888888888889
J001103.49+010032.6,CL-AGN,0.485892,2.7645416666666662,1.0090555555555556
J001133.95-000001.1,EVQ,0.44707,2.8914583333333326,-0.0003055555555555556
J001333.96+014506.8,CL-AGN,0.881555,3.3914999999999997,1.7518888888888888
J002956.65+010537.2,EVQ,0.373015,7.486041666666666,1.0936666666666666
J003242.74+003110.9,EVQ,0.360592,8.178083333333332,0.5196944444444445
J003841.53+000226.7,CL-AGN,0.649649,9.673041666666665,0.04075
J003849.27-011722.4,EVQ,0.500226,9.705291666666664,-1.2895555555555553
J004459.09-010629.3,CL-AGN,0.228215,11.24620833333333,-1.108138888888889
J004616.68+000249.1,CL-AGN,0.4531,11.5695,0.04697222222222222
J011536.11+003352.4,CL-AGN,0.364029,18.90045833333333,0.5645555555555556
J011851.07-010417.3,CL-AGN,0.573171,19.712791666666664,-1.0714722222222222
J011943.50-010858.5,EVQ,0.497391,19.931249999999995,-1.1495833333333334
J012025.45+142727.9,CL-AGN,0.263752,20.106041666666663,14.457749999999999
J012150.93+145344.0,EVQ,0.593289,20.462208333333333,14.895555555555555
J012256.19-000252.6,CL-AGN,0.340502,20.734124999999995,-0.04794444444444444
J012416.34+004052.2,CL-AGN,0.594002,21.06808333333333,0.6811666666666666
J012452.64+000958.9,EVQ,0.267199,21.21933333333333,0.1663611111111111
J012524.66+001935.9,CL-AGN,1.662356,21.35275,0.32663888888888887
J012716.17-003557.7,EVQ,0.371335,21.817374999999995,-0.5993611111111111
J012839.76+003342.5,CL-AGN,0.434354,22.165666666666667,0.5618055555555556
J012946.72+150457.3,CL-AGN,0.364851,22.444666666666663,15.082583333333334
J012953.16-003104.3,EVQ,0.487809,22.4715,-0.5178611111111112
J013309.79-000107.7,CL-AGN,0.393807,23.290791666666664,-0.018805555555555555
J013944.05-004251.5,CL-AGN,0.471326,24.933541666666663,-0.7143055555555555
J014022.54+002629.7,EVQ,1.857251,25.09391666666666,0.4415833333333333
J014128.85+003712.2,CL-AGN,0.814749,25.37020833333333,0.6200555555555556
J014209.02-005050.0,CL-AGN,0.132549,25.53758333333333,-0.8472222222222222
J015105.80-003426.4,EVQ,0.335108,27.774166666666662,-0.574
J015108.82+003517.2,CL-AGN,0.875433,27.786749999999998,0.5881111111111111
J015717.74+004108.4,EVQ,0.389593,29.323916666666666,0.6856666666666666
J015854.50+001307.3,CL-AGN,0.145004,29.72708333333333,0.21869444444444444
J015957.64+003310.5,CL-AGN,0.31205,29.990166666666667,0.5529166666666667
J020428.59-031013.7,EVQ,0.359745,31.119124999999997,-3.170472222222222
J020649.48-041452.7,CL-AGN,0.138743,31.70616666666666,-4.247972222222223
J020719.49-033600.7,EVQ,0.560031,31.831208333333333,-3.6001944444444445
J021122.60-021129.8,EVQ,0.210883,32.84416666666666,-2.191611111111111
J022105.64-044101.5,CL-AGN RM,0.198636,35.2735,-4.68375
J022907.77+003755.0,EVQ,0.458884,37.282375,0.6319444444444444
J023029.63+004305.0,EVQ,2.586888,37.623458333333325,0.7180555555555556
J023112.11-002056.3,EVQ,0.643731,37.80045833333333,-0.3489722222222222
J023128.98+011250.2,EVQ,0.600864,37.870749999999994,1.2139444444444445
J023427.80+010921.9,CL-AGN,0.739439,38.61583333333333,1.1560833333333334
J023904.10-004410.8,CL-AGN,0.567837,39.767083333333325,-0.7363333333333333
J023958.89-000901.2,CL-AGN,0.394828,39.995374999999996,-0.15033333333333332
J024508.68+003710.7,CL-AGN,0.29935,41.28616666666666,0.619638888888889
J024510.20-000628.1,EVQ,2.132256,41.2925,-0.10780555555555556
J024637.95-004105.4,EVQ,0.85716,41.65812499999999,-0.6848333333333333
J024712.91-011106.2,EVQ,0.486331,41.80379166666666,-1.1850555555555555
J025515.09+003740.5,CL-AGN,1.012572,43.812875,0.6279166666666667
J073716.39+380202.4,EVQ,0.550421,114.31829166666665,38.034
J073916.52+315814.3,CL-AGN,0.727763,114.81883333333332,31.97063888888889
J074147.21+303243.1,EVQ,0.697918,115.44670833333333,30.545305555555558
J074314.98+383829.8,EVQ,0.352608,115.81241666666666,38.64161111111111
J074511.98+380911.3,EVQ,0.23648,116.29991666666665,38.15313888888889
J075225.29+284728.5,CL-AGN,0.772837,118.10537499999998,28.79125
J075827.30+342457.5,EVQ,0.562246,119.61375,34.41597222222222
J075934.95+322143.3,CL-AGN,0.26888,119.89562499999998,32.362027777777776
J080020.23+315414.2,EVQ,1.659855,120.08429166666666,31.90394444444444
J080133.29+341737.6,CL-AGN,0.337982,120.38870833333334,34.29377777777778
J080709.93+205901.8,EVQ,0.314605,121.79137499999997,20.983833333333333
J080711.72+194439.7,CL-AGN,0.347745,121.7988333333333,19.74436111111111
J080717.58+251758.7,CL-AGN,0.383252,121.82325,25.29963888888889
J080803.27+325145.6,CL-AGN,0.631568,122.01362499999998,32.86266666666667
J080832.67+260130.3,EVQ,0.459197,122.13612499999996,26.02508333333333
J080838.73+273252.4,CL-AGN,0.47762,122.16137499999998,27.54788888888889
J081009.62+211625.8,CL-AGN,0.769466,122.5400833333333,21.273833333333332
J081051.52+325251.9,EVQ,0.705579,122.71466666666663,32.881083333333336
