name,ra,dec,mjd
P10808,17.036265,-1.719137,58072
P8337,359.93833,-0.849319,55477
P15938,122.48421,25.859105,58438
P8346,359.28698,0.117304,56959
P8394,358.93965,0.82309,57713
P15951,122.45331,38.324451,55528
P13099,32.382574,-2.1531782,56209
P8435,359.8777,1.3329374,56959
P10793,19.303411,-0.97151699,57363
P8477,1.79172399999999,0.89140898,58041
P16397,126.93375,7.980702,55895
P8480,5.899789,0.207769,58048
P8482,5.79609249999999,0.58819633,55480
P13113,32.456971,-3.0288076,56958
P10773,21.310056,-3.9667399,57333
P8514,5.68456950000001,-1.7641506,56955
P8521,5.76312999999999,1.259342,55528
P8524,3.23857900000002,1.257592,58041
P8529,3.01158299999997,0.70079202,58041
P16364,126.24679,28.268814,58157
P19260,139.25995,-0.73820976,55535
P13108,32.585128,-3.7072626,57336
P10809,16.601425,-2.7239352,57309
P16404,126.38242,34.96441,57749
P18181,133.85231,31.364498,58140
P8000,358.51203,0.32559199,57684
P8001,358.42386,0.30045198,57684
P8003,358.35033,0.066175002,55471
P8004,358.21325,-0.27001399,57684
P8007,358.3401,-0.477954,57688
P8040,358.67309,-0.080187008,57684
P8042,358.78304,1.351667,57684
P13062,31.681921,-2.24877,58082
P13071,31.70615,-4.2479731,56660
P8046,358.73789,0.70553399,57682
P10874,21.305082,-3.419154,57688
P10870,19.291972,-1.410642,58072
P8163,353.58213,-1.473585,57656
P10840,19.04125,-0.300298,55484
P10839,19.115866,-0.21785399,58072
P8203,354.56844,0.84162498,58044
P8205,354.78667,-0.11050798,57742
P8214,354.85497,-1.4142354,57742
P8242,355.4617,-0.7247485,55449
P8246,355.43963,-0.777922,57686
P8247,355.42293,-0.635176,57742
P13124,32.1992,-3.28563,57723
P13125,32.257079,-3.6484446,57336
P8574,4.29818599999999,-0.412675,58048
P8576,0.536805000000015,-0.29518799,58018
P8759,5.88474400000001,-1.245607,56955
P8773,1.89181860000002,-1.5597176,55539
P8774,5.72971260000003,-2.7385277,57362
P8775,5.728047,-2.842403,58042
P8776,5.68716799999999,-3.058511,57743
P8784,3.23166609999998,1.7974832,56988
P8787,7.3014872,2.4304319,57011
P8788,7.27836600000001,2.014415,57011
P8789,3.14884430000001,2.0573321,56988
P13752,44.079288,-0.75037399,56984
P8818,2.51234899999997,-1.018682,58039
P8820,2.36868099999998,1.616534,58041
P8823,6.35008599999998,-1.3962681,56955
P8829,2.43944900000002,0.226964,58067
P8831,2.54180300000002,0.85740102,58041
P13742,44.195705,1.230354,58056
P10671,20.212263,-0.30916499,57727
P10638,15.979179,-2.63122,58074
P8854,6.53411499999999,-2.027526,56955
P10636,20.34398,-1.6666145,55532
P8879,4.74898710000002,6.325545,58396
P8748,5.90578909999999,2.4938891,56989
P25343,158.81439,37.351912,57459
P13770,40.138877,2.2747974,57282
P8717,5.63864699999999,-0.58012899,56955
P8577,0.65104611999999,-0.45687449,55477
P13127,32.651611,-3.234926,57742
P15986,122.15963,34.103755,57814
P13139,37.347653,-0.013303,56267
P8614,4.70951989999998,1.3640995,56989
P10738,15.081512,-2.229995,57307
P8652,4.95668610000001,5.1134678,58396
P10735,16.876187,-1.3402124,55811
P8663,0.049838990000012,0.040364981,58018
P8664,0.29666192000002,-0.33653911,55477
P8665,0.0684660169999916,-0.309277,58018
P8666,0.288035019999995,-0.68935298,58018
P10715,20.758433,-2.7334335,57333
P13797,39.854357,-0.434379,56599
P13794,39.827944,-1.255856,57749
P13792,40.157841,0.18860263,55455
P13790,39.74688,1.955096,58073
P13789,39.845615,2.4204044,57279
P10710,16.715952,-3.3710853,57309
P13150,30.884255,-1.257183,58069
P8715,5.54147699999999,0.274811,58048
P10702,20.78767,0.55151399,58113
P8882,0.858079350000025,27.314947,56544
P13048,36.753232,-4.33907,58043
P19378,138.77799,44.575513,56369
P7179,347.41837,-0.80569526,55478
P12947,34.748957,-4.0436582,56605
P10258,9.2273826,24.077263,56248
P7204,345.05442,19.96518,56945
P11147,21.786167,-1.927254,57727
P7214,345.16482,19.33442,56945
P12954,34.794125,-5.8541516,56662
P7239,350.91215,23.53219,56535
P7242,350.62627,24.131471,57329
P15747,122.28453,20.405679,58523
P7243,350.77068,23.454314,57329
P15774,122.78156,34.494693,57814
P12957,34.900619,-3.8005765,56605
P7281,351.32118,24.636842,57329
P7304,347.63442,-1.020878,55478
P11130,21.992238,1.9792582,57006
P12960,35.103282,-5.0421764,56217
P7349,346.5591,-1.006792,57684
P11115,20.003174,-1.364292,56898
P12963,34.847081,-4.86354,58047
P7266,346.85974,4.1072074,58425
P7175,347.44229,0.013581997,57684
P12941,34.305759,-0.757489,58076
P17947,131.06472,18.940344,57806
P6922,346.23358,0.12011099,57684
P6923,346.34898,-0.37389599,57711
P17904,132.6809,51.35353,55913
P12922,34.229138,-2.8016373,57331
P6962,349.88252,24.347083,57328
P6976,346.35293,0.606905,57711
P7003,349.97719,25.046491,57333
P7004,350.00359,24.58643,57328
P12933,34.23278,-0.87471298,55479
P7044,349.6111,-1.4930142,58013
P17923,131.18258,51.074038,57013
P7082,349.29914,-0.60102,57715
P7091,349.42751,0.093087013,58013
P19622,135.0928,50.527254,56745
P7126,348.21204,0.28862402,57712
P7129,347.88013,-0.478506,57712
P7132,347.97044,-0.22641999,57712
P7133,346.72495,-0.26823102,58022
P7134,346.77207,0.798359,57712
P7137,346.48122,0.99619,57711
P17938,134.68305,18.791844,57805
P11093,15.543801,-1.94168,57307
P12964,34.912857,-5.1927078,56662
P12965,34.891963,-5.3495042,56217
P7386,346.96626,-0.504529,57684
P22396,150.41321,21.156967,56029
P7693,356.62559,1.174998,57684
P13022,33.496171,-2.898005,57336
P7773,354.21121,0.67846812,55449
P7774,354.11158,-0.13433301,57656
P10982,20.05058,0.450906,58101
P19403,140.61055,16.45538,57785
P7810,356.16679,-0.542136,57686
P7811,356.16248,-0.434655,57686
P7815,356.2518,-0.99335199,55451
P7841,357.38654,-0.612732,57688
P7844,357.47748,-1.165239,57686
P7845,357.36029,0.64060869,55471
P7846,357.16692,1.13153,58081
P18110,134.57213,32.533971,58155
P7881,355.7182,-0.654238,57686
P13023,33.445751,-2.9419688,57336
P13024,33.648732,-3.1442964,56986
P13025,33.497148,-4.6625509,56662
P16449,127.23711,25.955934,58430
P19387,138.5719,50.5742,56991
P7661,355.08261,-0.98565,57656
P18146,130.62717,49.967327,57038
P7659,355.07856,-1.174243,57656
P22397,150.42167,20.250782,57817
P12968,35.129561,-2.664662,58070
P23302,152.18376,21.102901,57815
P7434,347.14148,5.3582748,55882
P7446,347.30706,5.0125589,58436
P7448,347.2615,4.6135971,58436
P7456,348.35203,3.5949435,58425
P7457,351.67744,23.740057,57329
P12995,33.479768,-5.855919,56662
P13000,33.417288,-5.030321,56662
P18067,131.84814,20.404947,58127
P13004,33.423148,-3.20162,57742
P13005,33.407891,-4.4707672,56662
P11029,21.219325,0.166373,55501
P13006,33.374555,-5.3608758,55924
P13009,33.235656,-2.0864093,56986
P19443,142.31913,4.9610818,55924
P7580,349.10582,-0.373741,57715
P7622,350.1462,23.487648,57328
P21695,149.91352,48.077482,56686
P7638,349.14584,-0.47827,58013
P13021,33.578131,-1.6608082,56986
P7655,355.04358,0.17356972,55449
P6921,346.18442,-0.13749101,57711
P13723,40.920752,-0.433687,58073
P8912,1.148976,-1.221845,57713
P9897,10.080127,26.268375,57329
P13479,44.908979,0.70454202,58056
P9902,10.049498,25.30234,57329
P10400,9.58555009999998,-2.127902,57012
P13254,31.77384,-2.5712063,56958
P13263,32.137574,-3.2719495,57336
P13274,31.804251,-4.1103104,57336
P13466,38.946849,-1.15928,56599
P13462,38.662678,1.127872,58073
P9884,13.554889,-0.194023,58097
P9931,7.97067199999998,0.745082,58069
P9944,13.896105,1.6764592,57281
P9948,14.020018,0.857374,58100
P10364,13.259105,-0.016536999,58097
P9951,10.217278,0.015927,57016
P9952,10.133764,-0.23078,57006
P13458,39.078378,2.080597,57282
P13455,38.711775,-2.28662,57011
P9990,10.401976,-3.9436396,56574
P13452,38.975963,-1.492665,57030
P9932,7.98928549999999,0.31055933,55447
P9881,10.028566,-4.5561288,56574
P9880,10.065073,-4.3794487,56574
P10414,13.296615,1.8085013,57278
P18403,133.79331,31.675866,58140
P9712,11.577481,-0.73611,58077
P18455,133.3644,50.493953,57013
P13512,38.5087,1.287213,58073
P9750,11.646032,-3.378818,57333
P13510,38.500739,-2.631478,55540
P9768,7.96441399999998,1.091108,58076
P16136,124.31593,36.167279,55236
P13498,38.397373,-1.129084,56274
P9796,8.07125810000002,4.2843639,57401
P16162,126.16249,40.952157,57361
P9836,14.372579,1.243178,58097
P9838,14.221074,1.1040255,55481
P9843,14.324539,0.54527302,58100
P10417,9.72922219999998,25.902648,57357
P10416,9.72490149999999,1.5120299,57260
P9853,9.48860839999998,26.358788,57357
P13487,44.90612,0.62677599,56984
P13486,44.397223,-0.275389,58056
P18766,135.65411,18.018913,57805
P13485,44.793284,-0.377719,56984
P9994,10.456764,24.51403,57339
P9999,10.461059,0.12447601,55184
P10002,10.556105,0.988254,58080
P13297,31.315935,-2.235515,56958
P13382,32.844158,-2.1915998,56986
P22077,149.63934,47.648591,56686
P13376,32.912636,-4.435199,56662
P13373,32.8765,-4.2308264,57336
P13372,32.934779,-3.5556767,57336
P10157,10.074642,-1.6708966,57012
P10158,9.9492697,-2.2013889,57012
P16261,127.37748,27.472984,57801
P10165,10.07838,26.438493,57329
P13365,32.794013,-1.5806837,56979
P18615,142.43091,0.69092593,56749
P18612,135.29325,51.278438,55946
P13356,33.162354,-2.853891,58070
P10287,8.797844,-0.82166499,55184
P18579,137.7735,45.285778,55984
P16256,124.22035,24.270162,58433
P16235,122.08957,26.317939,58438
P10279,8.80607850000001,24.538443,57357
P10240,9.1321969,1.9244646,57260
P10242,9.0517792,3.2499197,55508
P16254,127.40607,25.94324,58430
P13383,32.840727,-2.0726424,56958
P9691,11.334072,-3.8119195,57333
P10312,10.400513,-1.3685118,57012
P10093,9.29584399999999,0.357731,55184
P10004,14.839043,0.68577899,58097
P10006,10.61448,0.237872,55201
P18709,139.99002,51.10267,57073
P13298,31.119115,-3.1704647,56958
P16283,124.26281,37.981656,55269
P16207,122.20032,22.125011,58523
P10031,12.838593,0.756003,58096
P10032,13.023213,0.593934,58096
P10049,9.15549340000001,26.331388,57357
P10050,9.03728210000003,26.2947,57357
P13416,41.864699,-0.178169,56572
P18693,135.40833,53.347562,56739
P10064,9.00235500000002,-2.276906,58081
P10347,13.135139,0.85640302,58101
P16266,127.39117,28.196742,57801
P13400,33.056996,-3.1954633,57336
P10337,14.825965,0.42215601,58097
P13398,32.783913,-2.6073682,56958
P10084,9.27155699999997,1.944131,58076
P10089,9.34789599999999,0.136823,57006
P10092,9.332694,1.187396,58080
P16228,126.95028,27.354561,57801
P13721,40.947273,-0.89857693,55247
P9685,11.435759,-3.619997,57333
P13209,33.848013,-2.3388118,56986
P9128,6.28936770000001,2.2130135,56989
P9164,2.24660399999999,1.230887,58041
P9168,6.21061800000001,-1.483076,56955
P19095,135.14222,17.218533,58488
P9183,2.14466099999999,0.532279,58018
P9184,2.24692599999997,25.884791,57367
P9185,5.95904300000001,1.135987,58069
P9187,2.00027899999998,-0.0059380058,58039
P9188,2.02250400000003,-0.16716202,58039
P9126,2.53573399999999,3.472766,58072
P13668,42.702773,0.035409001,58073
P9219,6.58696300000003,1.255022,58069
P9223,2.69779399999999,0.31675702,58041
P18300,132.56101,32.08371,58137
P19073,138.18346,46.043497,56782
P9246,6.713258,-1.9898831,57003
P23546,154.80317,14.454754,57864
P13646,37.739132,-1.009365,56577
P13644,37.687218,1.2127818,55179
P25295,158.43284,38.025057,55597
P9208,6.80249600000002,0.866636,58069
P13679,39.146618,0.90348566,55234
P10622,20.192118,15.71099,58507
P13688,39.513871,2.6196853,57282
P13717,40.834904,-0.307064,56572
P13714,41.037763,2.2666962,55503
P13712,41.155394,3.1547182,55501
P13711,40.889248,1.360258,58073
P13710,41.172593,1.2429246,56572
P8996,4.16725179999997,6.4150532,58429
P13709,40.70768,2.6201229,57279
P13708,41.168978,2.638633,58055
P13707,41.036831,3.034332,58098
P9038,5.3573523,-2.5946104,56955
P13698,41.057664,0.3093063,56572
P13694,39.251271,-1.025168,57727
P9047,5.35942610000001,4.1850936,55827
P13691,39.54195,1.571956,57715
P9060,5.58544890000002,6.3630345,58396
P9066,5.42090899999999,0.64491698,56989
P9067,5.44318900000002,0.65000199,58070
P13690,39.632984,3.159346,57672
P13689,39.258077,2.146767,58073
P9077,3.36380200000002,0.87557,58067
P9078,3.44384400000001,0.56747199,58041
P9286,1.23716639999998,27.424482,56544
P22264,150.95575,20.028189,57817
P10587,20.064597,-1.3228989,55532
P9348,2.78265169999997,27.452373,57654
P13569,38.020458,-1.086542,56605
P13568,38.04927,0.1340035,56274
P9566,11.244496,0.722183,55201
P13564,37.988418,-2.585515,58043
P10511,20.51244,-0.74735301,55484
P13559,37.915514,-2.070179,58072
P10510,20.40345,-0.302997,57363
P13206,33.889534,-2.128065,56986
P13550,40.361316,-0.75730499,56572
P10503,20.527803,-0.51217229,55484
P9627,8.26993399999998,25.351609,57357
P9628,8.10363519999999,25.327084,57357
P13547,40.423034,0.071276298,56572
P13546,40.519868,0.1374047,56572
P9636,8.34030230000002,-2.8045496,57003
P9646,8.13433900000001,2.00642,57011
P9652,8.178088,0.519708,58051
P18386,133.683,18.198896,58138
P10499,16.242384,-2.124261,58072
P13535,40.326964,-1.6248323,55531
P10494,16.308798,-1.039731,58074
P13205,34.025352,-5.2896306,56662
P18845,135.53046,3.8407878,55277
P22258,150.95126,19.350306,57808
P9536,10.910585,-0.97074199,55201
P13630,37.800458,-0.348969,56544
P9393,6.079566,-1.638201,56955
P9394,2.18591750000002,-1.4563751,56975
P9395,2.01737120000001,-1.4880598,55539
P13618,41.505242,-0.993693,57743
P9397,5.97254720000001,-2.8658892,57362
P9398,6.25175200000001,-3.2107061,57362
P13617,41.716304,-0.99193801,57041
