name,cached,n_ztf_g,n_ztf_r,mjd_first_ztf,mjd_last_ztf,r_first,r_last,g_last,dr_last_minus_first,r_at_ref,dr_since_ref,slope_r_2yr,r_amp
P10808,False,431,497,58289.4652546,60969.3297801,18.3836517,18.3656883,19.5405617,-0.01796340000000285,,,0.02493498612926531,0.33361202000000034
P8337,False,128,194,58274.4822801,60969.3170602,17.899929,17.262973799999997,17.576149,-0.6369552000000027,,,0.13656159939165277,0.8697370999999983
P15938,False,337,1352,58206.1675231,60969.5179167,19.00228405,19.1854134,19.6422081,0.18312935000000152,19.0023556,0.18305780000000027,-0.09816191405746327,0.6103838649999993
P8346,False,393,377,58274.4822801,60969.3170602,19.12275505,19.2730885,19.3614273,0.15033345000000153,,,-0.024880921700424115,0.40849996000000033
P8394,False,103,503,58274.4822801,60965.352338,18.18582725,18.5150967,18.21761705,0.32926945000000174,,,0.1809055739257894,0.537328389999999
P15951,False,798,1164,58204.2495833,60948.4958102,19.471674,19.481143,19.64019775,0.009468999999999284,,,-0.011294822699562251,0.3441013149999961
P13099,False,514,522,58301.4813542,60969.3330671,18.2845135,18.0177803,18.04068185,-0.2667332000000009,,,-0.07065449245318077,0.3703080099999987
P8435,False,523,585,58270.465544,60969.3179977,18.7930069,19.1213665,19.5676479,0.32835959999999886,,,0.07989595626019527,0.44968451999999814
P10793,False,799,811,58289.4652546,60969.3316551,18.681837100000003,18.807497,18.7945633,0.12565989999999871,,,0.02419543940981126,0.38588809999999896
P8477,False,978,1135,58273.4803125,60969.3179977,17.110527,17.087724700000003,17.5013666,-0.02280229999999861,,,-0.10930240220255891,0.33709349999999816
P16397,False,209,484,58206.1680556,60968.5051968,19.7349281,20.08309075,20.0792332,0.348162649999999,,,0.3995910505740431,1.2517862449999981
P8480,False,383,74,58286.4437847,60969.3165856,19.2031212,19.0286083,19.1990595,-0.17451289999999986,,,0.016884378338285207,0.3173512350000003
P8482,False,483,550,58283.4805787,60969.3165856,18.7116623,18.6676512,18.7969685,-0.04401109999999875,,,0.0567191575563712,0.6042322300000009
P13113,False,484,462,58312.443125,60969.3330671,19.6959839,18.97875785,18.8423071,-0.7172260500000007,,,-0.11689630646924543,0.8748978699999981
P10773,False,413,370,58301.4421644,60951.4356713,18.6480064,18.0070496,18.011020700000003,-0.6409568000000014,,,0.08770433934735176,0.909902129999999
P8514,False,506,561,58283.4805787,60969.3165856,17.8753185,18.315801649999997,18.3296394,0.4404831499999986,,,0.013396128565745246,0.5647792999999979
P8521,False,465,521,58273.4803125,60969.3175347,18.3772783,18.4957561,18.4607849,0.11847780000000085,,,0.004128580051091051,0.560190200000001
P8524,False,365,353,58270.4660069,60951.3720602,18.961358099999998,19.9200659,19.9781246,0.9587078000000027,,,0.1521632853965875,1.041853279999998
P8529,False,420,396,58274.4822801,60969.3170602,19.102428449999998,19.2566261,19.2276611,0.1541976500000004,,,-0.13560015838074907,0.7083197000000006
P16364,False,459,778,58206.2148032,60968.4830208,18.9941597,19.01559255,18.9742222,0.02143285000000006,18.9980288,0.017563750000000766,-0.027734010739993657,0.3342491549999984
P19260,False,12,62,58430.5504051,60953.5272917,17.0841599,17.2410088,17.16180895,0.15684889999999996,,,0.27458715512117476,0.32701495999999963
P13108,False,477,450,58301.4813542,60969.3330671,18.61683275,18.529289249999998,18.9533958,-0.08754350000000244,,,0.03304244518055189,0.4336546400000003
P10809,False,128,127,58335.4789815,60358.1240509,17.971769350000002,18.0686493,18.775347699999998,0.09687994999999816,,,-0.09816565028859349,0.2349296900000013
P16404,False,485,812,58206.1886343,60969.5174537,17.3494978,17.1303902,17.2066021,-0.21910760000000096,,,-0.11287805149164215,0.2275217000000005
