name,n_ztf_g,n_ztf_r,mjd_first_ztf,mjd_last_ztf,r_first,r_last,g_last,dr_last_minus_first,r_at_ref,dr_since_ref,slope_r_2yr,r_amp
P17497,385,640,58206.2153588,60969.5220023,17.6582336,17.7102566,18.1651897,0.05202300000000193,,,0.051333482417097835,0.5117235750000013
P18234,415,643,58206.2153588,60969.5220023,17.40122795,17.5136566,18.4680195,0.1124286500000018,,,-0.0019541215971386697,1.5660274600000008
P18591,638,1249,58202.2595255,60968.4689931,17.9610519,17.4893188,17.4835453,-0.47173310000000157,,,0.17585170712683476,0.7051582200000013
P14768,431,1282,58206.1675231,60948.4986458,18.1496372,18.3117561,18.40592575,0.1621188999999994,,,0.051659464572633644,0.2356671499999976
P18655,556,1041,58202.2630671,60968.4839583,18.2404327,18.0610895,18.17825985,-0.17934319999999815,18.2242203,-0.16313079999999758,-0.11986104466787291,0.2615222999999993
P14703,434,1314,58206.1675231,60948.4986458,17.6295109,17.5270777,18.1868744,-0.10243320000000011,,,0.04402606186097081,0.15901417999999978
P18795,221,840,58206.2162731,60968.5253588,18.30753515,18.2859077,18.38362885,-0.021627450000000437,,,-0.04429203008455303,0.24779361000000222
P18882,118,343,58202.2575231,60821.2227083,18.21351625,18.25416755,18.3104324,0.04065129999999684,,,-0.07465347800729255,0.22579939000000238
P19194,341,911,58202.2644676,60968.5075579,18.1781158,17.8844042,17.93441675,-0.29371160000000174,,,-0.09225466530171908,0.5067119499999997
P19257,603,1281,58202.2595255,60968.4689931,18.3418274,18.20007515,18.12344935,-0.1417522499999997,,,0.03424390372229776,0.5393390999999994
P14650,619,1544,58204.2060069,60968.4877199,18.3231564,18.144824,18.20325855,-0.17833239999999861,,,-0.16111783241385863,0.4683853899999981
P19438,316,798,58202.2649537,60968.5208796,18.0205021,17.6815872,17.729678149999998,-0.33891490000000246,,,0.09220035496903332,0.4623149700000013
P19488,307,960,58206.2162731,60968.5253588,17.411828,17.3343525,18.2018719,-0.07747549999999848,,,0.02125218836513617,1.4879869850000027
P19491,317,676,58202.2747106,60955.5284028,19.4055786,19.4699278,19.4880028,0.06434920000000233,,,0.04822201579882918,0.5610336750000009
P14487,85,172,58217.1574074,60934.5170833,17.7944336,17.5624771,17.5424328,-0.23195650000000256,,,-0.011031992326233265,0.30077493499999974
P19713,537,1037,58202.2630671,60968.4839583,17.9705477,18.0049982,18.63663765,0.034450499999998385,,,0.019595173730794512,0.28739433999999875
P14236,651,1044,58204.1675116,60968.4656134,18.3676758,18.2764149,18.8861685,-0.09126090000000175,,,-0.02784874811938551,0.23320883499999923
P19773,246,870,58206.2543519,60948.5232755,19.1218109,19.2451153,20.3899727,0.12330439999999854,,,0.03928227371608402,0.3372258549999998
