name,RA,DECL,slitwidth,exptime,nexp,binspect,binspat,slitangle,airmass_max,mag,magsystem,magfilter,channel,wrange,Note,Comment
BD+284211,21:51:11.0,+28:51:50,SET 3.0,SET 60,2,3,2,PA,2.0,10.58,Vega,V,R,6000:7000,std start of night 19:24,"spectrophotometric standard, CALSPEC bd_28d4211 · sdO2VIIIHe5 V=10.6 · 2 x 30-120 s; wide slit, keep counts < 50k and > 1k; same binning as science"
P2207,16:00:25.5,+47:50:42,SET 1.3,SET 240,2,3,2,PA,2.0,17.78,AB,r,I,8392:8472,T1 #1 19:34 p2.6,"primary; T1; z=0.735; r=17.8; line Hb at 8433 A (I); trend brightening; last spectrum 5.2 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 813-52354-339"
P3765,16:32:08.1,+45:52:18,SET 1.3,SET 240,2,3,2,PA,2.0,17.16,AB,r,R,6904:6984,T4 #2 19:49 p1.0,"primary; T4; z=0.058; r=17.2; line Ha at 6945 A (R); trend flat/unknown; last spectrum 25.0 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 627-52144-261; minor neighbour within 8"" (< 15% of the W1 flux)"
P5554,21:51:47.6,-08:09:22,SET 1.3,SET 240,2,3,2,PA,2.0,17.67,AB,r,R,7315:7395,T1 #3 20:04 p4.5,"primary; T1; z=0.121; r=17.7; line Ha at 7356 A (R); trend fading; last spectrum 4.8 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 644-52173-157; also in the CLAGN region of the ZTF+W1 manifold"
P4675,17:14:48.5,+33:27:38,SET 1.3,SET 240,2,3,2,PA,2.0,17.93,AB,r,I,7739:7819,T1 #4 20:19 p2.5,"primary; T1; z=0.185; r=17.9; line Ha at 7780 A (I); trend fading; last spectrum 4.3 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 2973-54591-190; minor neighbour within 8"" (< 15% of the W1 flux)"
P4311,17:21:09.5,+35:42:16,SET 1.3,SET 300,2,3,2,PA,2.0,18.45,AB,r,I,8382:8462,T1 #5 20:34 p2.8,"primary; T1; z=0.283; r=18.5; line Ha at 8423 A (I); trend mixed (IR vs optical); last spectrum 15.2 yr ago; exposure model 10 min; DR16 QSO, SDSS spectrum 4994-55739-945"
P4125,16:57:37.3,+60:49:39,SET 1.3,SET 330,2,3,2,PA,2.0,18.48,AB,r,I,8579:8659,T1 #6 20:49 p2.1,"primary; T1; z=0.313; r=18.5; line Ha at 8619 A (I); trend flat/unknown; last spectrum 3.4 yr ago; exposure model 11 min; DR16 QSO, SDSS spectrum 351-51695-291"
P5291,21:30:04.8,-01:02:44,SET 1.3,SET 240,2,3,2,PA,2.0,17.7,AB,r,I,8247:8327,T4 #7 21:09 p1.0,"primary; T4; z=0.705; r=17.7; line Hb at 8287 A (I); trend flat/unknown; last spectrum 3.9 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 9222-57680-78"
P4935,20:37:30.4,-05:30:13,SET 1.3,SET 240,2,3,2,PA,2.0,17.31,AB,r,I,10052:10132,T1 #8 21:24 p1.7,"primary; T1; z=0.538; r=17.3; line Ha at 10093 A (I); trend flat/unknown; last spectrum 3.9 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 634-52164-430"
P5061,21:18:43.2,-06:36:18,SET 1.3,SET 240,2,3,2,PA,2.0,18.0,AB,r,I,8676:8756,T1 #9 21:39 p2.0,"primary; T1; z=0.328; r=18.0; line Ha at 8716 A (I); trend fading; last spectrum 25.0 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 639-52146-467"
P5125,21:12:34.9,-00:59:27,SET 1.3,SET 240,2,3,2,PA,2.0,17.48,AB,r,I,8065:8145,T1 #10 21:54 p1.9,"primary; T1; z=0.235; r=17.5; line Ha at 8106 A (I); trend brightening; last spectrum 5.2 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 9139-58038-319"
P5635,21:55:01.7,-08:10:47,SET 1.3,SET 300,2,3,2,PA,2.0,18.47,AB,r,I,8277:8357,T1 #11 22:09 p2.4,"primary; T1; z=0.267; r=18.5; line Ha at 8318 A (I); trend brightening; last spectrum 24.9 yr ago; exposure model 10 min; DR16 QSO, SDSS spectrum 716-52203-224"
P5270,21:25:01.2,-08:13:29,SET 1.3,SET 240,2,3,2,PA,2.0,17.08,AB,r,I,7848:7928,T1 #12 22:24 p1.7,"primary; T1; z=0.623; r=17.1; line Hb at 7888 A (I); trend flat/unknown; last spectrum 24.9 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 640-52200-130"
P5224,21:29:37.0,-07:24:32,SET 1.3,SET 240,2,3,2,PA,2.0,18.01,AB,r,I,9354:9434,T1 #13 22:39 p1.7,"primary; T1; z=0.431; r=18.0; line Ha at 9394 A (I); trend flat/unknown; last spectrum 4.8 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 640-52200-72"
P5656,21:57:47.5,+02:47:25,SET 1.3,SET 330,2,3,2,PA,2.0,18.01,AB,r,I,8246:8326,T1 #14 22:54 p2.8,"primary; T1; z=0.705; r=18.0; line Hb at 8286 A (I); trend flat/unknown; last spectrum 7.8 yr ago; exposure model 11 min; DR16 QSO, SDSS spectrum 11329-58426-81; also in the CLAGN region of the ZTF+W1 manifold"
P5561,21:43:14.0,+00:47:15,SET 1.3,SET 240,2,3,2,PA,2.0,18.01,AB,r,I,9763:9843,T1 #15 23:14 p1.6,"primary; T1; z=0.494; r=18.0; line Ha at 9804 A (I); trend flat/unknown; last spectrum 4.9 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 9164-58045-418"
P6526,22:35:33.1,-08:13:22,SET 1.3,SET 240,2,3,2,PA,2.0,17.88,AB,r,I,9517:9597,T1 #16 23:29 p1.8,"primary; T1; z=0.456; r=17.9; line Ha at 9558 A (I); trend fading; last spectrum 24.8 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 722-52224-332"
P6903,22:40:13.4,-08:36:29,SET 1.3,SET 360,2,3,2,PA,2.0,17.8,AB,r,R,7643:7723,T1 #17 23:44 p2.3,"primary; T1; z=0.581; r=17.8; line Hb at 7683 A (R); trend fading; last spectrum 24.8 yr ago; exposure model 12 min; DR16 QSO, SDSS spectrum 722-52224-512"
P6213,22:12:15.3,+18:14:48,SET 1.3,SET 240,2,3,2,PA,2.0,17.93,AB,r,R,7054:7134,T1 #18 00:04 p1.3,"primary; T1; z=0.081; r=17.9; line Ha at 7095 A (R); trend fading; last spectrum 11.9 yr ago; exposure model 8 min; DR16 QSO, SDSS spectrum 7574-56945-209"
