name,RA,DECL,slitwidth,exptime,nexp,binspect,binspat,slitangle,airmass_max,mag,magsystem,magfilter,channel,wrange,Note,Comment
BD+284211,21:51:11.0,+28:51:50,SET 3.0,SET 60,2,3,2,PA,2.0,10.58,Vega,V,R,6000:7000,std start of night 19:24,"spectrophotometric standard, CALSPEC bd_28d4211 · sdO2VIIIHe5 V=10.6 · 2 x 30-120 s; wide slit, keep counts < 50k and > 1k; same binning as science"
P4793,17:01:02.3,+34:04:01,SET 1.3,SNR 7,2,3,2,PA,2.0,17.64,AB,r,R,7142:7222,D1 #1 19:34 p0.5,"primary; D1; z=0.094; r=17.6; line Ha at 7182 A (R); trend fading (IR); last spectrum 24.3 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.51, P(continuum dimmed) = 0.08; optical fainter by 0.16 mag since the 972-52435-520 spectrum (ZTF vs synthetic); W1 faded 0.63 mag 2014-24; W1 amplitude 1.21 mag; manifold prior P_hb 0.21, direction turn-on-like"
P3098,16:11:42.0,+49:58:48,SET 1.3,SNR 7,2,3,2,PA,2.0,17.53,AB,r,R,7286:7366,D1 #2 19:49 p0.4,"primary; D1; z=0.116; r=17.5; line Ha at 7326 A (R); trend flat/unknown; last spectrum 25.3 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.44, P(continuum dimmed) = 0.02; optical fainter by 0.19 mag since the 623-52051-224 spectrum (ZTF vs synthetic); manifold prior P_hb 0.07, direction turn-off-like"
P4178,16:51:27.9,+40:43:41,SET 1.3,SNR 7,2,3,2,PA,2.0,18.31,AB,r,G,5646:5726,D1 #3 20:04 p0.4,"primary; D1; z=0.170; r=18.3; line Hb at 5687 A (G); trend fading (IR); last spectrum 25.2 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.43, P(continuum dimmed) = 0.04; optical fainter by 0.15 mag since the 631-52079-241 spectrum (ZTF vs synthetic); W1 faded 0.26 mag 2014-24; manifold prior P_hb 0.16, direction neutral"
P5572,21:42:38.2,+03:48:41,SET 1.3,SNR 7,2,3,2,PA,2.0,17.64,AB,r,R,7376:7456,D2 #4 20:19 p1.0,"primary; D2; z=0.130; r=17.6; line Ha at 7416 A (R); trend brightening; last spectrum 7.9 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta rose > 2x) = 0.99, P(continuum brightened) = 0.50; optical brighter by 1.51 mag since the 11324-58395-602 spectrum (ZTF vs synthetic); W1 brightened 0.15 mag 2014-24; log Edd -2.40; manifold prior P_hb 0.19 (literature corner), direction turn-on-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 4.569"
P5609,21:54:13.5,+27:46:51,SET 1.3,SNR 7,2,3,2,PA,2.0,17.8,AB,r,R,5870:5950,D2 #5 20:34 p0.9,"primary; D2; z=0.216; r=17.8; line Hb at 5910 A (R); trend brightening; last spectrum 14.2 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta rose > 2x) = 0.86, P(continuum brightened) = 0.57; optical brighter by 0.98 mag since the 5964-56098-192 spectrum (ZTF vs synthetic); W1 brightened 0.57 mag 2014-24; W1 amplitude 0.75 mag; log Edd -1.77; manifold prior P_hb 0.15, direction turn-on-like"
P5318,21:38:57.4,+01:07:07,SET 1.3,SNR 7,2,3,2,PA,2.0,18.13,AB,r,R,6163:6243,D2 #6 20:49 p0.7,"primary; D2; z=0.276; r=18.1; line Hb at 6203 A (R); trend brightening; last spectrum 24.2 yr ago; exposure model 8 min; DR16 quasar; WHY: P(broad Hbeta rose > 2x) = 0.67, P(continuum brightened) = 0.10; optical brighter by 0.84 mag since the 989-52468-606 spectrum (ZTF vs synthetic); manifold prior P_hb 0.05, direction neutral; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 3.092"
G4931652796468713472,22:29:24.2,-01:55:16,SET 1.3,SNR 7,2,3,2,PA,2.0,17.68,AB,r,R,7405:7485,D2 #7 21:04 p0.6,"primary; D2; z=0.134; r=17.7; line Ha at 7445 A (R); trend brightening; last spectrum nan yr ago; exposure model 8 min; turn-on arm: SDSS narrow-line AGN galaxy; WHY: TURN-ON candidate (galaxy parent, AGN BROADLINE, z=0.134): W1 brightened 0.41 mag and W2 0.54 mag 2014-24 (15/20 sigma); ZTF g brighter than the archival spectrum by 0.47 mag (host-offset corrected), ZTF amplitude 0.94; W1-W2 reddened by +0.13 (nucleus emerging); score 0.84 = literature success rate of this trigger set"
P5182,21:02:00.4,+00:05:02,SET 1.3,SNR 7,2,3,2,PA,2.0,18.68,AB,r,R,6422:6502,K #8 21:19 p1.0,"primary; K; z=0.329; r=18.7; line Hb at 6462 A (R); trend fading; last spectrum 24.3 yr ago; exposure model 16 min; DR16 quasar; WHY: KNOWN changer (turn-off / dimming; turn-off) with recent photometric motion; optical fainter by 0.27 mag since the 985-52431-352 spectrum (ZTF vs synthetic); W1 brightened 0.45 mag 2014-24; W1-W2 redder by 0.30; W1 amplitude 0.69 mag; log Edd -1.49; manifold prior P_hb 0.05, direction turn-off-like"
P5546,21:50:43.2,-00:53:23,SET 1.3,SNR 7,2,3,2,PA,2.0,18.56,AB,r,R,5803:5883,D1 #9 21:44 p0.6,"primary; D1; z=0.202; r=18.6; line Hb at 5844 A (R); trend fading; last spectrum 25.2 yr ago; exposure model 12 min; DR16 quasar; WHY: P(broad Hbeta fell > 2x) = 0.55, P(continuum dimmed) = 0.07; optical fainter by 0.21 mag since the 371-52078-136 spectrum (ZTF vs synthetic); W1 faded 0.45 mag 2014-24; W1-W2 bluer by 0.13; W1 amplitude 0.55 mag; manifold prior P_hb 0.13, direction neutral; oct26: x1.0 moon, 12 min + 5 overhead -> yield/h 1.958"
G1104553204319807488,20:39:28.2,-00:34:11,SET 1.3,SNR 7,2,3,2,PA,2.0,18.22,AB,r,R,7052:7132,D2 #10 22:04 p0.5,"primary; D2; z=0.081; r=18.2; line Ha at 7093 A (R); trend brightening (IR); last spectrum nan yr ago; exposure model 8 min; turn-on arm: SDSS narrow-line AGN galaxy; WHY: TURN-ON candidate (galaxy parent, AGN, z=0.081): W1 brightened 0.22 mag and W2 0.30 mag 2014-24 (8/11 sigma); optical change -0.05 mag; score 0.45 = literature success rate of this trigger set"
P5309,21:39:28.7,-03:10:45,SET 1.3,SNR 7,2,3,2,PA,2.0,18.19,AB,r,G,4847:4927,D2 #11 22:19 p0.8,"primary; D2; z=0.747; r=18.2; line MgII at 4887 A (G); trend brightening; last spectrum 15.2 yr ago; exposure model 16 min; DR16 quasar; WHY: P(broad Hbeta rose > 2x) = 0.77, P(continuum brightened) = 0.22; optical brighter by 1.11 mag since the 4385-55752-52 spectrum (ZTF vs synthetic); W1 brightened 0.38 mag 2014-24; log Edd -1.44; manifold prior P_hb 0.06, direction neutral"
