# name                   RA(J2000)     Dec(J2000)    z      r    tier  exposure    status  comment
P4793                  17:01:02.29  +34:04:00.6  0.094  17.6 D1   2 x 4 min   primary fading (IR), last spec 24.3 yr ago; DR16 quasar | WHY: nan
P3098                  16:11:41.95  +49:58:48.0  0.116  17.5 D1   2 x 4 min   primary flat/unknown, last spec 25.3 yr ago; DR16 quasar | WHY: nan
P4178                  16:51:27.90  +40:43:40.7  0.170  18.3 D1   2 x 4 min   primary fading (IR), last spec 25.2 yr ago; DR16 quasar | WHY: nan
P5572                  21:42:38.17  +03:48:41.4  0.130  17.6 D2   2 x 4 min   primary brightening, last spec 7.9 yr ago; DR16 quasar | WHY: P(broad Hbeta rose > 2x) = 0.99, P(continuum brightened) = 0.50; optical brighter by 1.51 mag since the 11324-58395-602 spectrum (ZTF vs synthetic); W1 brightened 0.15 mag 2014-24; log Edd -2.40; manifold prior P_hb 0.19 (literature corner), direction turn-on-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 4.569
P5609                  21:54:13.46  +27:46:51.3  0.216  17.8 D2   2 x 4 min   primary brightening, last spec 14.2 yr ago; DR16 quasar | WHY: nan
P5318                  21:38:57.39  +01:07:07.0  0.276  18.1 D2   2 x 4 min   primary brightening, last spec 24.2 yr ago; DR16 quasar | WHY: P(broad Hbeta rose > 2x) = 0.67, P(continuum brightened) = 0.10; optical brighter by 0.84 mag since the 989-52468-606 spectrum (ZTF vs synthetic); manifold prior P_hb 0.05, direction neutral; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 3.092
G4931652796468713472   22:29:24.18  -01:55:16.5  0.134  17.7 D2   2 x 4 min   primary brightening, last spec nan yr ago; turn-on arm: SDSS narrow-line AGN galaxy | WHY: nan
P5182                  21:02:00.43  +00:05:01.9  0.329  18.7 K    2 x 8 min   primary fading, last spec 24.3 yr ago; DR16 quasar | WHY: nan
P5546                  21:50:43.24  -00:53:22.7  0.202  18.6 D1   2 x 6 min   primary fading, last spec 25.2 yr ago; DR16 quasar | WHY: P(broad Hbeta fell > 2x) = 0.55, P(continuum dimmed) = 0.07; optical fainter by 0.21 mag since the 371-52078-136 spectrum (ZTF vs synthetic); W1 faded 0.45 mag 2014-24; W1-W2 bluer by 0.13; W1 amplitude 0.55 mag; manifold prior P_hb 0.13, direction neutral; oct26: x1.0 moon, 12 min + 5 overhead -> yield/h 1.958
G1104553204319807488   20:39:28.16  -00:34:10.7  0.081  18.2 D2   2 x 4 min   primary brightening (IR), last spec nan yr ago; turn-on arm: SDSS narrow-line AGN galaxy | WHY: nan
P5309                  21:39:28.70  -03:10:45.2  0.747  18.2 D2   2 x 8 min   primary brightening, last spec 15.2 yr ago; DR16 quasar | WHY: nan
P5407                  21:48:43.56  +00:10:54.6  0.672  17.8 D2   2 x 4 min   primary brightening, last spec 9.0 yr ago; DR16 quasar | WHY: nan
P5666                  21:58:25.88  -00:18:04.8  0.373  17.6 D2   2 x 4 min   primary brightening, last spec 8.9 yr ago; DR16 quasar | WHY: nan
G813042431686633472    22:40:16.97  -08:30:25.9  0.079  17.6 D2   2 x 4 min   primary brightening (IR), last spec nan yr ago; turn-on arm: SDSS narrow-line AGN galaxy | WHY: nan
G5656716943262242816   22:25:59.67  +20:19:44.8  0.155  17.9 D2   2 x 4 min   primary brightening, last spec nan yr ago; turn-on arm: SDSS narrow-line AGN galaxy | WHY: nan
G4985532720090470400   22:25:48.91  +05:18:01.3  0.088  17.8 D2   2 x 4 min   primary brightening, last spec nan yr ago; turn-on arm: SDSS narrow-line AGN galaxy | WHY: nan
P6173                  22:27:08.31  +13:36:14.1  0.497  18.2 D1   2 x 6 min   primary fading, last spec 2.8 yr ago; DR16 quasar | WHY: nan
P7184                  23:23:28.00  +00:20:32.9  0.120  17.6 D1   2 x 4 min   primary fading, last spec 25.9 yr ago; DR16 quasar | WHY: nan
P6378                  22:35:17.40  +12:16:46.3  0.088  17.8 D1   2 x 4 min   primary flat/unknown, last spec 24.0 yr ago; DR16 quasar | WHY: nan
P6523                  22:37:16.91  +14:24:32.8  0.186  18.3 D1   2 x 6 min   primary flat/unknown, last spec 24.0 yr ago; DR16 quasar | WHY: nan
P6984                  23:04:28.81  +14:52:56.0  0.219  18.6 D1   3 x 7 min   primary fading, last spec 24.7 yr ago; DR16 quasar | WHY: nan
P16663                 08:23:23.89  +42:20:48.3  0.151  17.9 K    2 x 4 min   primary brightening, last spec 18.5 yr ago; DR16 quasar | WHY: KNOWN changer (nan) with recent photometric motion; optical brighter by 0.45 mag since the 761-54524-434 spectrum (ZTF vs synthetic); W1 brightened 0.59 mag 2014-24; W1-W2 redder by 0.26; W1 amplitude 0.80 mag; manifold prior P_hb 0.16, direction turn-on-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 4.615
