name,set,z,desig,w1_mJy,w1_err,w2_mJy,w2_err,w3_mJy,w3_err,w4_mJy,w4_err,w3snr,w4snr,ext
P2190,observed18,0.739785,J160101.84+365619.6,0.54,0.027,0.84,0.027,1.48,0.069,2.79,0.233,15.8,4.7,0
P1887,observed18,0.7285304,J161910.54+351600.5,0.93,0.024,1.38,0.025,4.12,0.040,11.07,0.142,27.1,7.7,0
P2921,observed18,0.5146181,J161112.62+460455.1,1.01,0.024,1.66,0.022,3.55,0.035,6.26,0.104,31.3,10.5,0
P1963,observed18,0.5334293,J162001.80+293526.8,0.53,0.026,0.84,0.027,1.85,0.091,5.57,0.168,11.9,6.5,0
P1823,observed18,0.6204823,J162039.13+430814.6,0.9,0.024,1.5,0.023,2.65,0.038,3.69,0.148,28.4,7.3,0
P7281,observed18,0.1873381,J232517.08+243812.5,1.03,0.025,1.37,0.026,4.16,0.051,11.64,0.094,21.5,11.6,0
P7847,observed18,0.2794114,J234955.70+302940.1,2.76,0.023,4.03,0.022,9.22,0.036,27.57,0.072,30.4,15.1,0
P8544,observed18,0.7358,J001156.71+190759.2,0.35,0.033,0.65,0.036,1.55,0.171,6.8,0.260,6.3,4.2,0
P7837,observed18,0.1631054,J234433.08+260038.8,1.3,0.026,1.9,0.024,6.54,0.031,18.05,0.077,35.1,14.1,0
P8548,observed18,0.0580817,J001223.96+193454.2,1.09,0.026,1.11,0.029,1.91,0.098,3.29,0.438,11.1,2.5,0
P9599,observed18,0.4280129,J004404.87+013342.8,3.7,0.024,5.7,0.021,13.78,0.027,39.41,0.059,40.9,18.3,0
P11113,observed18,0.2271015,J011216.59+341853.9,1.69,0.023,2.45,0.023,6.95,0.027,17.88,0.065,40.2,16.7,0
P9227,observed18,0.3767145,J002736.28+320853.5,2.85,0.023,4.72,0.022,10.02,0.025,17.39,0.068,42.7,15.9,0
P11530,observed18,0.1116921,J012558.06+151813.6,2.29,0.023,2.91,0.022,4.8,0.038,7.96,0.155,28.4,7.0,0
P9506,observed18,0.2315291,J003352.69+202104.2,2.2,0.024,3.11,0.022,7.63,0.033,14.4,0.093,32.6,11.7,0
P9584,observed18,0.178817,J004459.12+192141.3,4.28,0.023,6.62,0.021,31.33,0.019,91.45,0.031,58.1,34.5,0
P10381,observed18,0.1485672,J005346.15+223222.4,5.29,0.024,7.53,0.020,13.57,0.022,19.3,0.051,48.8,21.1,0
P9694,observed18,0.2377224,J004607.97+090720.9,6.26,0.023,8.99,0.021,23.52,0.019,74.81,0.034,57.0,32.4,0
P24541,anchor17,0.2147729,J104705.16+544405.9,0.56,0.027,0.81,0.028,2.25,0.065,8.83,0.125,16.7,8.7,0
P16663,anchor17,0.1514835,J082323.89+422048.2,0.73,0.027,0.66,0.032,1.41,0.101,4.82,0.252,10.7,4.3,0
J092158.92+034235.7,anchor17,0.323627,J092158.91+034235.7,0.69,0.027,0.93,0.028,1.57,0.102,5.33,0.189,10.7,5.7,0
P21240,anchor17,0.1598634,J093017.71+470721.0,2.13,0.022,2.5,0.022,4.18,0.040,8.91,0.139,27.4,7.8,0
J085337.26+014303.6,anchor17,0.058189,J085337.25+014303.7,2.76,0.023,1.8,0.024,6.35,0.041,6.58,0.235,26.8,4.6,4
P7580,anchor17,0.297421,J231625.39-002225.5,0.79,0.028,0.9,0.029,1.7,0.105,2.67,0.455,10.3,2.4,0
P22740,anchor17,0.3905129,J100256.22+475027.8,0.72,0.027,1.11,0.026,2.56,0.055,11.42,0.106,19.7,10.3,0
P14937,anchor17,0.2795614,J074819.04+335311.0,0.69,0.027,0.88,0.033,1.39,0.124,2.74,0.423,8.7,2.6,0
P6399,anchor17,0.05809304,J224113.54-012108.9,1.65,0.025,1.26,0.026,0.83,0.242,3.87,null,4.5,1.2,1
P20040,anchor17,0.1216571,J090315.10+010623.1,1.01,0.025,0.97,0.027,2.15,0.078,4.94,0.294,14.0,3.7,0
P14388,anchor17,0.2688801,J075934.94+322143.2,1.33,0.025,1.5,0.026,2.8,0.065,6.64,0.178,16.8,6.1,0
P20769,anchor17,0.04683929,J094838.38+403043.8,5.93,0.025,5.04,0.023,18.7,0.023,42.81,0.061,46.3,17.7,5
P18057,anchor17,0.2798637,J083646.86+151259.0,0.82,0.028,0.83,0.034,1.76,0.133,6.77,0.235,8.2,4.6,0
P19923,anchor17,0.1625743,J090826.73+002137.3,1.42,0.024,1.41,0.025,1.7,0.118,4.43,0.275,9.2,3.9,0
P2759,anchor17,0.2602845,J162829.17+432948.5,0.66,0.025,0.81,0.027,1.7,0.068,4.53,0.206,16.0,5.3,0
P22470,anchor17,0.2041101,J102152.34+464515.6,1.29,0.023,1.41,0.024,2.91,0.059,6.44,0.156,18.5,7.0,0
J084528.72-002723.3,anchor17,0.154388,J084528.72-002723.1,1.51,0.025,1.39,0.026,1.47,0.121,3.31,null,9.0,1.2,0
