name,ra_01,dec_01,ra,dec,dist_x,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags
P1823,245.16306,43.137382,245.1631145,43.1374841,0.394459,56696.24338707,14.412,0.063,13.06,0.073,0,0000
P1823,245.16306,43.137382,245.1630134,43.1373978,0.134986,56696.24351439,14.345,0.068,13.089,0.077,0,0000
P1823,245.16306,43.137382,245.162994,43.1374065,0.194525,56696.37518194,14.154,0.051,12.876,0.058,10,0000
P1823,245.16306,43.137382,245.1629889,43.1373652,0.196326,56696.50697678,14.165,0.056,12.959,0.062,10,0000
P1823,245.16306,43.137382,245.1629346,43.1373626,0.336745,56696.57281053,14.71,0.077,13.286,0.09,0,0000
P1823,245.16306,43.137382,245.1631979,43.1373609,0.370139,56696.63864434,14.188,0.077,12.817,0.059,10,0000
P1823,245.16306,43.137382,245.163088,43.1374274,0.179229,56696.70460542,14.217,0.056,12.879,0.057,5,0000
P1823,245.16306,43.137382,245.1630422,43.1374159,0.130692,56696.77043917,14.178,0.066,12.789,0.084,10,0000
P1823,245.16306,43.137382,245.1631282,43.137423,0.232129,56696.83627297,14.143,0.057,12.911,0.064,10,0000
P1823,245.16306,43.137382,245.16295,43.1374217,0.322379,56696.90210674,14.213,0.065,12.863,0.061,10,0000
P1823,245.16306,43.137382,245.1631258,43.1373636,0.185113,56696.90223405,14.31,0.066,12.92,0.056,10,0000
P1823,245.16306,43.137382,245.1630329,43.1374114,0.127555,56696.96806786,14.175,0.058,13.071,0.086,10,0000
P1823,245.16306,43.137382,245.1629853,43.1373948,0.201573,56697.03390156,14.205,0.057,12.901,0.069,10,0000
P1823,245.16306,43.137382,245.1630699,43.1373986,0.065174,56697.09973532,14.154,0.054,12.857,0.062,10,0000
P1823,245.16306,43.137382,245.1630764,43.1373472,0.132481,56697.16569639,14.179,0.054,12.839,0.059,10,0000
P1823,245.16306,43.137382,245.1630739,43.1373817,0.036531,56697.23153015,14.186,0.053,12.838,0.07,10,0000
