name,main_name,ra_deg,dec_deg,z,origin,status,umap_x,umap_y,w3_mjy,w4_mjy,w3snr,w4snr,wise_ccf,wise_ext,spherex_supplied,reference,spectral_history_note,f25,f50,f75,nearest_parent_distance,passes_manifold,component,id,role,cl_neighbor_fraction,si18_observed_um
P1823,J162039.13+430814.6,245.16306,43.137382,0.6204823,NGPS,no match in checked catalogs,10.700154,4.2341604,2.65,3.69,28.4,7.3,,0,True,September 2026 NGPS; spectral-state audit pending,High continuum state with broadly similar recent line profiles. Important time-domain target; neither a secure record luminosity nor a demonstrated turn-on.,0.4,0.38,0.37333333333333335,0.30864130594463557,True,5,S01,variable candidate,0.38,29.168681399999997
P7281,J232517.08+243812.6,351.32118,24.636842,0.1873381,NGPS,no match in checked catalogs,14.844505,3.5631292,4.16,11.64,21.5,11.6,,0,False,September 2026 NGPS; spectral-state audit pending,No obvious new broad-line state transition in the initial comparison; extends the baseline.,0.28,0.32,0.26666666666666666,0.20514055839107,True,5,S02,variable candidate,0.32,21.3720858
P7837,J234433.09+260038.9,356.13787,26.010795,0.1631054,NGPS,no match in checked catalogs,12.530143,3.387253,6.54,18.05,35.1,14.1,,0,False,September 2026 NGPS; spectral-state audit pending,No obvious new broad-line state transition in the initial comparison; extends the baseline.,0.28,0.3,0.32,0.14511185915010427,True,5,S03,variable candidate,0.3,20.9358972
P8548,J001223.96+193454.2,3.099826,19.581729,0.0580817,NGPS,no match in checked catalogs,16.356323,3.0214553,1.91,3.29,11.1,2.5,,0,False,September 2026 NGPS; spectral-state audit pending,No obvious new broad-line state transition in the initial comparison; extends the baseline.,0.24,0.2,0.18666666666666668,0.04122012660873362,True,5,S04,variable candidate,0.2,19.0454706
P11113,J011216.59+341854.0,18.069126,34.315011,0.2271015,NGPS,no match in checked catalogs,15.195792,3.2314513,6.95,17.88,40.2,16.7,,0,False,September 2026 NGPS; spectral-state audit pending,No obvious new broad-line state transition in the initial comparison; extends the baseline.,0.32,0.24,0.25333333333333335,0.15765419663431096,True,5,S05,variable candidate,0.24,22.087827
P11530,J012558.06+151813.7,21.49192,15.303813,0.1116921,NGPS,no match in checked catalogs,15.452505,4.27523,4.8,7.96,28.4,7.0,,0,False,September 2026 NGPS; spectral-state audit pending,Strong long-term spectral/color change versus 2019; NGPS resembles the redder 2023-2025 state. Test intrinsic fading against host/aperture effects; no confirmed turn-off.,0.24,0.26,0.21333333333333335,0.11320386840121568,True,5,S06,variable candidate,0.26,20.010457799999998
P10381,J005346.16+223222.4,13.442318,22.539551,0.1485672,NGPS,literature match; confirmation needs audit,12.627486,3.4420285,13.57,19.3,48.8,21.1,,0,False,September 2026 NGPS; spectral-state audit pending,Broad Hbeta remains present. Hbeta-wing/[OIII] proxy is within about 3-5% of 2014 and 1-3% of 2024 across continuum choices. Possible recovery after published fading; fit the 2018 spectrum before claiming recurrence.,0.32,0.3,0.30666666666666664,0.12145193469126082,True,5,S07,variable candidate,0.3,20.6742096
P22470,SDSSJ102152.33+464515.6,155.46808,46.75435,0.2041101,catalogue,catalog-confirmed CLAGN,12.591836,5.044738,2.907387456358007,6.43816491121587,18.5,7.0,0000,0.0,False,Panda 2024,,0.44,0.44,0.41333333333333333,0.19910421414264373,True,5,S08,literature anchor,0.44,21.6739818
P2759,SDSS J162829.18+432948.6,247.12158,43.496824,0.2602845,catalogue,catalog-confirmed CLAGN,12.943722,3.5144198,1.7009945118231369,4.53275344642878,16.0,5.3,0000,0.0,False,Zeltyn 2024; Guo 2025,turn-off,0.28,0.24,0.29333333333333333,0.14715673192810472,True,5,S09,literature anchor,0.24,22.685121000000002
P16663,SDSSJ082323.88+422048.2,125.84955,42.346741,0.1514835,catalogue,catalog-confirmed CLAGN,15.177112,4.8541503,1.4096227894397428,4.821277141857293,10.7,4.3,0000,0.0,False,Panda 2024,,0.16,0.22,0.2,0.15807882954048613,True,5,S10,literature anchor,0.22,20.726702999999997
P9694,J004607.98+090720.9,11.533236,9.122485,0.2377224,NGPS,no match in checked catalogs,17.335318,0.24299605,23.52,74.81,57.0,32.4,,0,True,September 2026 NGPS; spectral-state audit pending,Strongest clean new broad-profile change in our triage: Hbeta-wing/continuum about 37-38% higher and wing/[OIII] about 32-33% higher than 2021. Broad lines already existed; not a confirmed turn-on.,0.0,0.04,0.06666666666666667,0.1326873474214945,False,0,S11,variable candidate,0.04,22.2790032
P7847,J234955.71+302940.1,357.48212,30.494485,0.2794114,NGPS,no match in checked catalogs,14.315452,-2.6851845,9.22,27.57,30.4,15.1,,0,False,September 2026 NGPS; spectral-state audit pending,No obvious new broad-line state transition in the initial comparison; extends the baseline.,0.2,0.14,0.13333333333333333,0.41038520090677016,False,0,S12,variable candidate,0.14,23.0294052
P9506,J003352.71+202104.1,8.469615,20.351152,0.2315291,NGPS,no match in checked catalogs,16.026028,4.2871003,7.63,14.4,32.6,11.7,,0,False,September 2026 NGPS; spectral-state audit pending,No obvious new broad-line state transition in the initial comparison; extends the baseline.,0.24,0.14,0.16,0.16220324553439205,False,0,S13,variable candidate,0.14,22.167523799999998
P8499,SDSS J002326.09+282112.8,5.85873470000001,28.353559,0.2425975,catalogue,catalog-confirmed CLAGN,17.051329,5.1063967,3.9473252473249847,13.000561101930344,24.0,12.4,0000,0.0,False,Guo 2025,turn-on,0.0,0.02,0.02666666666666667,0.09301758506481396,False,0,S14,literature anchor,0.02,22.366755
P13030,SDSSJ021359.79+004226.8,33.499144,0.70744802,0.1820198,catalogue,catalog-confirmed CLAGN,19.206514,9.458875,7.7607360404362,27.463892897917635,41.1,22.2,0000,0.0,False,Panda 2024; Dong 2025,,0.12,0.1,0.09333333333333334,0.34093610360300824,False,0,S15,literature anchor,0.1,21.276356399999997
P24541,SDSSJ104705.16+544405.8,161.77151,54.734966,0.2147729,catalogue,catalog-confirmed CLAGN,21.26045,8.620107,2.248551880260034,8.83002832649276,16.7,8.7,0000,0.0,False,Panda 2024; Dong 2025,,0.16,0.18,0.14666666666666667,0.13798138165708954,False,0,S16,literature anchor,0.18,21.8659122
P21240,SDSSJ093017.71+470721.0,142.57381,47.122518,0.1598634,catalogue,catalog-confirmed CLAGN,21.95162,6.2738504,4.1831449386467785,8.911731572651687,27.4,7.8,0000,0.0,False,Panda 2024,,0.04,0.06,0.04,0.12238277124889643,False,0,S17,literature anchor,0.06,20.877541199999996
P20040,SDSS J090315.11+010623.1,135.81294,1.106421,0.1216571,catalogue,catalog-confirmed CLAGN,19.119394,8.340072,2.1513095859516698,4.942675477171467,14.0,3.7,0000,0.0,False,Zeltyn 2024,,0.08,0.08,0.06666666666666667,0.020197778714500098,False,0,S18,literature anchor,0.08,20.1898278
