id,target,internal_id,ra_hms,dec_dms,ra,dec,z,r_mag,w3_mjy,w4_mjy,family,reversal,w1_change_start,w1_change_end,w1_amp,tau_dust_yr,dt_rest_yr,dt_over_tau_dust,dt_over_tau_warm,si18_observed_um,transition,reference,ngps,ngps_hours_oct26,ngps_hours_oct27,moon_sep_oct26_deg
F01,J075934.95+322143.3,P14388,07:59:34.95,+32:21:43.3,119.89561,32.362025,0.2689,18.27,2.8,6.6,fade,False,2019.5,2024.5,1.52,0.59,4.7,8.0,0.8,22.8,catalog-confirmed CLAGN,Zeltyn 2024,2026-10-26/27,4.09,4.27,82.0
F02,J003352.71+202104.1,P9506,00:33:52.71,+20:21:04.1,8.469615,20.351152,0.2315,17.69,7.6,14.4,fade,False,2016.5,2024.5,1.57,0.66,6.1,9.2,0.92,22.2,no match in checked catalogs,September 2026 NGPS; spectral-state audit pending,2026-09-23,0.0,0.0,23.0
F03,J105325.40+302419.3,P24976,10:53:25.41,+30:24:19.3,163.35586,30.405374,0.2483,19.15,3.6,10.0,fade,False,2021.5,2024.5,1.73,0.36,4.0,11.0,1.1,22.5,catalog-confirmed CLAGN,Panda 2024,2026-10-26/27,1.19,1.37,117.0
F04,J005346.16+223222.4,P10381,00:53:46.16,+22:32:22.4,13.442318,22.539551,0.1486,17.19,13.6,19.3,fade,False,2014.5,2019.5,1.61,0.53,9.6,18.2,1.82,20.7,literature match; confirmation needs audit,September 2026 NGPS; spectral-state audit pending,2026-09-23,0.0,0.0,19.0
F05,J085359.05+212803.4,CLAGN_0816,08:53:59.06,+21:28:03.4,133.4961,21.4676,0.0842,16.82,5.1,13.6,fade,False,2018.5,2023.5,2.22,0.35,6.5,18.4,1.84,19.5,turn-on,Dong 2025,2026-10-26/27,2.9,2.91,96.0
F06,J012558.06+151813.7,P11530,01:25:58.06,+15:18:13.7,21.49192,15.303813,0.1117,17.48,4.8,8.0,fade,True,2019.5,2021.5,2.18,0.35,6.7,19.5,1.95,20.0,no match in checked catalogs,September 2026 NGPS; spectral-state audit pending,2026-09-23,0.0,0.0,10.0
F07,J234433.09+260038.9,P7837,23:44:33.09,+26:00:38.9,356.13787,26.010795,0.1631,17.91,6.5,18.0,fade,False,2013.5,2020.5,1.46,0.42,9.5,22.7,2.27,20.9,no match in checked catalogs,September 2026 NGPS; spectral-state audit pending,2026-09-23,0.0,0.0,35.0
F08,J104427.75+271806.3,CLAGN_0826,10:44:27.74,+27:18:06.5,161.1156,27.3018,0.0758,16.44,22.5,33.4,fade,False,2016.5,2019.5,1.68,0.37,9.3,24.8,2.48,19.4,turn-off,Dong 2025,2026-10-26/27,1.19,1.37,117.0
F09,NGC2617,CLAGN_0987,08:35:38.78,-04:05:17.5,128.9116,-4.0882,0.0142,13.39,31.1,56.1,fade,False,2015.5,2023.5,1.75,0.28,8.4,29.7,2.97,18.3,turn-on; Type 1.8 -> Type 1,Temple 2023,2026-10-26/27,2.05,2.05,98.0
F10,J085337.26+014303.6,J085337.26+014303.6,08:53:37.26,+01:43:03.6,133.40525,1.717666666666667,0.0582,16.61,6.3,6.6,fade,False,2016.5,2022.5,1.6,0.27,8.0,30.3,3.03,19.0,catalog-confirmed CLAGN,Zeltyn 2024,2026-10-26/27,2.05,2.05,101.0
