name,main_name,ra_deg,dec_deg,z,origin,status,umap_x,umap_y,w3_mjy,w4_mjy,w3snr,w4snr,wise_ccf,wise_ext,spherex_supplied,reference,spectral_history_note
P2190,J160101.84+365619.7,240.25766,36.938805,0.739785,NGPS,no match in checked catalogs,10.112205,-3.0940208,1.48,2.79,15.8,4.7,,0,False,September 2026 NGPS; spectral-state audit pending,"Broad profiles broadly resemble the archive; adds a 2026 epoch, with no obvious new on/off event."
P1887,J161910.55+351600.4,244.79395,35.266781,0.7285304,NGPS,no match in checked catalogs,11.957427,-3.5318222,4.12,11.07,27.1,7.7,,0,False,September 2026 NGPS; spectral-state audit pending,"Broad profiles broadly resemble the archive; adds a 2026 epoch, with no obvious new on/off event."
P2921,J161112.63+460455.1,242.80262,46.081982,0.5146181,NGPS,no match in checked catalogs,7.955656,2.0659463,3.55,6.26,31.3,10.5,,0,False,September 2026 NGPS; spectral-state audit pending,Possible weaker Hbeta and MgII profiles than in 2002; telluric absorption and FeII/continuum choices prevent a secure fading classification.
P1963,J162001.81+293526.9,245.00754,29.590792,0.5334293,NGPS,no match in checked catalogs,14.975642,-2.1681297,1.85,5.57,11.9,6.5,,0,False,September 2026 NGPS; spectral-state audit pending,No obvious broad-line appearance/disappearance in the initial comparison; extends the baseline.
P1823,J162039.13+430814.6,245.16306,43.137382,0.6204823,NGPS,no match in checked catalogs,10.700154,4.2341604,2.65,3.69,28.4,7.3,,0,True,September 2026 NGPS; spectral-state audit pending,High continuum state with broadly similar recent line profiles. Important time-domain target; neither a secure record luminosity nor a demonstrated turn-on.
P7281,J232517.08+243812.6,351.32118,24.636842,0.1873381,NGPS,no match in checked catalogs,14.844505,3.5631292,4.16,11.64,21.5,11.6,,0,False,September 2026 NGPS; spectral-state audit pending,No obvious new broad-line state transition in the initial comparison; extends the baseline.
P7847,J234955.71+302940.1,357.48212,30.494485,0.2794114,NGPS,no match in checked catalogs,14.315452,-2.6851845,9.22,27.57,30.4,15.1,,0,False,September 2026 NGPS; spectral-state audit pending,No obvious new broad-line state transition in the initial comparison; extends the baseline.
P8544,J001156.72+190759.2,2.986341,19.133112,0.7358,NGPS,no match in checked catalogs,10.084763,-3.181191,1.55,6.8,6.3,4.2,,0,False,September 2026 NGPS; spectral-state audit pending,Possible broad-Hbeta weakening versus 2012: wing/continuum proxy lower by about 21-35%; requires spectral decomposition and uncertainty assessment.
P7837,J234433.09+260038.9,356.13787,26.010795,0.1631054,NGPS,no match in checked catalogs,12.530143,3.387253,6.54,18.05,35.1,14.1,,0,False,September 2026 NGPS; spectral-state audit pending,No obvious new broad-line state transition in the initial comparison; extends the baseline.
P8548,J001223.96+193454.2,3.099826,19.581729,0.0580817,NGPS,no match in checked catalogs,16.356323,3.0214553,1.91,3.29,11.1,2.5,,0,False,September 2026 NGPS; spectral-state audit pending,No obvious new broad-line state transition in the initial comparison; extends the baseline.
