wavelength_um,flux_mjy,flux_err_mjy,wavelength_half_width_um,bandpass,ab_mag,ab_mag_err,object_name,ra_deg,dec_deg,spectrum_type,background_mode,aperture_radius_pix,aperture_radius_arcsec,annulus_inner_radius_pix,annulus_outer_radius_pix,flux_raw_mjy,background_median_mjy_per_pix,variance_ap_mjy2,variance_bg_mjy2,covariance_aperture_background_mjy2,variance_measurement_mjy2,variance_calibration_mjy2,variance_total_mjy2,measurement_method,mask_mode,n_aperture_pixels,n_annulus_pixels,image_names,mjds,flag_names,flag_values,aperture_coverage,aperture_centroid_dra_arcsec,aperture_centroid_ddec_arcsec,annulus_centroid_dra_arcsec,annulus_centroid_ddec_arcsec
0.74534,0.21321,0.038655,0.00863,SPHEREx-D1,18.078,0.197,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.1639,0.10051,0.0013897,0.00022579,0.000069707,0.0014760,0.000018184,0.0014942,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,17,174,level2_2026W30_2A_0233_2D1_spx_l2b-v27-2026-224.fits,61245.54427700,,2097152:18,1,1.612,-0.550,0.738,1.092
0.75193,0.23707,0.042220,0.00893,SPHEREx-D1,17.963,0.193,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.2853,0.11074,0.0016627,0.00020193,0.000052284,0.0017600,0.000022480,0.0017825,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,16,170,level2_2025W30_1B_0255_4D1_spx_l2b-v20-2025-262.fits,60878.40911000,SOURCE:10,0:7;2097152:10,1.0000000000000002,0.695,-0.157,1.635,4.074
0.75819,0.23415,0.048062,0.00874,SPHEREx-D1,17.976,0.223,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.5789,0.14233,0.0018864,0.00031592,-0.000042867,0.0022880,0.000021931,0.0023100,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,18,170,level2_2026W05_1A_0594_4D1_spx_l2b-v23-2026-030.fits,61068.75871800,SOURCE:17,0:1;2097152:17,1,0.850,-0.575,0.300,0.197
0.76276,0.18648,0.039747,0.00903,SPHEREx-D1,18.223,0.231,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.1756,0.10463,0.0014464,0.00017828,0.000029419,0.0015659,0.000013910,0.0015798,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,19,169,level2_2026W30_2A_0233_3D1_spx_l2b-v27-2026-224.fits,61245.54576900,,2097152:20,1,0.274,-0.881,2.413,4.532
0.76479,0.16207,0.047938,0.00904,SPHEREx-D1,18.376,0.321,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.5127,0.14283,0.0017323,0.00033270,-0.00011128,0.0022876,0.000010507,0.0022981,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,16,130,level2_2026W04_2A_0190_1D1_spx_l2b-v23-2026-026.fits,61063.45760700,SOURCE:16,2097152:16,1,0.338,-0.746,3.972,6.945
0.76922,0.19977,0.042149,0.00936,SPHEREx-D1,18.149,0.229,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.68,2.00,7.00,1.2465,0.11066,0.0015433,0.00021469,-0.0000012648,0.0017605,0.000015963,0.0017765,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,16,175,level2_2025W30_1B_0448_1D1_spx_l2b-v20-2025-262.fits,60879.49124400,SOURCE:20,2097152:20,1,-0.211,-1.185,3.397,3.180
0.77549,0.28997,0.051086,0.00930,SPHEREx-D1,17.744,0.191,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.6085,0.13949,0.0018756,0.00033598,-0.00018228,0.0025762,0.000033634,0.0026098,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,18,169,level2_2026W05_2A_0272_1D1_spx_l2b-v23-2026-034.fits,61070.79035200,SOURCE:18,2097152:18,1,0.162,-0.180,-0.155,3.165
0.78059,0.31473,0.042638,0.00944,SPHEREx-D1,17.655,0.147,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.3295,0.10727,0.0015405,0.00017789,-0.000030013,0.0017784,0.000039622,0.0018180,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,18,163,level2_2026W30_2A_0233_4D1_spx_l2b-v27-2026-224.fits,61245.54726100,,2097152:18,1,-0.153,-0.209,2.947,-0.807
0.78255,0.31468,0.048499,0.00935,SPHEREx-D1,17.655,0.167,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.6677,0.14309,0.0020660,0.00027096,0.000012176,0.0023126,0.000039609,0.0023522,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,18,151,level2_2026W04_2A_0190_2D1_spx_l2b-v23-2026-026.fits,61063.45909900,SOURCE:19,2097152:19,1,1.109,-0.348,10.136,5.349
0.78759,0.29211,0.041531,0.00970,SPHEREx-D1,17.736,0.154,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.3442,0.11130,0.0016562,0.00018626,0.000075884,0.0016907,0.000034131,0.0017249,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,20,172,level2_2025W30_1B_0448_2D1_spx_l2b-v20-2025-262.fits,60879.49273600,SOURCE:21,2097152:21,1.0000000000000004,0.898,-0.712,0.722,1.947
0.79932,0.31534,0.041938,0.00986,SPHEREx-D1,17.653,0.144,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.3103,0.10522,0.0016022,0.00016510,0.000024142,0.0017190,0.000039775,0.0017588,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,20,173,level2_2026W30_2A_0279_1D1_spx_l2b-v27-2026-224.fits,61245.75072300,,0:1;2097152:20,0.9999999999999998,-0.220,-1.055,1.999,1.862
0.80129,0.21900,0.047159,0.00984,SPHEREx-D1,18.049,0.234,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.68,2.00,7.00,1.5752,0.14345,0.0018787,0.00033779,0.0000058558,0.0022047,0.000019184,0.0022239,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,17,172,level2_2026W04_2A_0190_3D1_spx_l2b-v23-2026-026.fits,61063.46059100,SOURCE:18,0:2;2097152:18,1.0000000000000002,1.136,0.244,4.331,3.598
0.80615,0.23196,0.042906,0.01000,SPHEREx-D1,17.986,0.201,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.68,2.00,7.00,1.2817,0.11103,0.0014404,0.00025789,-0.000060587,0.0018194,0.000021522,0.0018410,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,16,176,level2_2025W29_2A_0692_1D1_spx_l2b-v20-2025-262.fits,60876.23029400,SOURCE:19,2097152:19,1,0.749,-1.284,4.314,1.737
0.81268,0.25462,0.045055,0.00984,SPHEREx-D1,17.885,0.192,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.5834,0.13995,0.0016723,0.00024725,-0.000042248,0.0020040,0.000025932,0.0020299,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,16,156,level2_2026W05_2A_0272_3D1_spx_l2b-v23-2026-034.fits,61070.79333600,SOURCE:16,0:2;2097152:16,1,0.419,-0.053,3.457,3.244
0.81814,0.24641,0.043937,0.01026,SPHEREx-D1,17.921,0.194,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.67,2.00,7.00,1.2878,0.11005,0.0015016,0.00024027,-0.000082141,0.0019061,0.000024287,0.0019304,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,17,170,level2_2026W30_2A_0217_1D1_spx_l2b-v27-2026-224.fits,61245.47508300,,2097152:18,1.0000000000000004,1.204,0.086,1.606,1.980
0.82014,0.16783,0.045330,0.01033,SPHEREx-D1,18.338,0.293,Shooby_AGN,245.1631,43.1373,cleaned,local,1.75,10.68,2.00,7.00,1.5216,0.14316,0.0017804,0.00036025,0.000048596,0.0020435,0.000011267,0.0020548,native_raw_mef_batch_exact_fractional,mask_explicit_bits=1036705527,16,157,level2_2026W04_2A_0190_4D1_spx_l2b-v23-2026-026.fits,61063.46208400,SOURCE:19,2097152:19,0.9999999999999998,0.819,-1.192,3.305,7.823
