source_index,source_label,spectrum_role,object_name,ra_deg,dec_deg,spectrum_type,measurement_method,estimator_definition,bandpass,wavelength_um,wavelength_half_width_um,flux_mjy,flux_err_mjy,flux_raw_mjy,background_subtracted_mjy,background_mean_mjy_sr,ab_mag,ab_mag_err,global_background_wavelength_um,global_background_flux_mjy_per_display_pixel,global_background_flux_err_mjy_per_display_pixel,global_background_surface_brightness_mjysr,global_background_surface_brightness_err_mjysr,global_background_selected_pixels,global_background_selection_method,variance_ap_mjy2,variance_bg_mjy2,covariance_aperture_background_mjy2,variance_measurement_mjy2,variance_calibration_mjy2,variance_total_mjy2,uncertainty_method,uncertainty_draws,is_binned,n_fluxes_combined,n_images,image_names,mjds,aperture_radius_pix,aperture_radius_arcsec,local_background,annulus_inner_radius_pix,annulus_outer_radius_pix,annulus_inner_arcsec,annulus_outer_arcsec,background_median_mjy_per_pix,flag_names,flag_values,annulus_flag_names,annulus_flag_values,mask_mode,n_aperture_pixels,n_annulus_pixels,aperture_valid_area_sr,annulus_valid_area_sr,aperture_coverage,annulus_coverage,annulus_asymmetry,incomplete_aperture,incomplete_annulus,asymmetric_annulus,saturated_or_nonlinear,aperture_centroid_dra_arcsec,aperture_centroid_ddec_arcsec,annulus_centroid_dra_arcsec,annulus_centroid_ddec_arcsec,plausible_gaia_match,gaia_source_id,gaia_match_sep_arcsec,gaia_parallax_mas,gaia_parallax_error_mas,gaia_pmra_masyr,gaia_pmdec_masyr,gaia_bp_rp,gaia_g_mag,gaia_bp_mag,gaia_rp_mag
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.74324,0.00885,1.1407,0.082694,4.3111,,,16.257,0.079,,,,,,,,0.0053523,0.00082721,-0.000069088,0.0063177,0.00052050,0.0068382,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2025W27_1A_0223_4D1_spx_l2b-v20-2025-258.fits,60857.12566600,1.75,10.67,true,3.00,7.00,,,0.33516,SOURCE:19,2097152:19,,,mask_explicit_bits=499834615,18,158,,,1,,,false,false,false,false,0.185,0.178,-3.232,-0.606,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.75139,0.00885,1.1102,0.081953,4.4232,,,16.287,0.080,,,,,,,,0.0055746,0.00068635,0.000018834,0.0062233,0.00049298,0.0067163,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W26_2B_0486_4D1_spx_l2b-v25-2026-182.fits,61218.98590400,1.75,10.68,true,3.00,7.00,,,0.35020,SOURCE:18,2097152:18,,,mask_explicit_bits=499834615,17,155,,,1.0000000000000002,,,false,false,false,false,-0.861,0.413,1.386,0.152,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.75543,0.00861,1.0531,0.075760,4.3330,,,16.344,0.078,,,,,,,,0.0046149,0.00064330,-0.000018897,0.0052959,0.00044362,0.0057396,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W01_2A_0692_2D1_spx_l2b-v23-2026-008.fits,61044.94240200,1.75,10.67,true,3.00,7.00,,,0.34676,SOURCE:16,2097152:16,,,mask_explicit_bits=499834615,16,151,,,0.9999999999999998,,,false,false,false,false,-0.442,-0.272,0.618,1.565,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.76061,0.00923,1.2575,0.074404,4.3642,,,16.151,0.064,,,,,,,,0.0049274,0.00056435,0.00029418,0.0049034,0.00063252,0.0055359,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2025W27_1A_0372_1D1_spx_l2b-v20-2025-258.fits,60857.93629800,1.75,10.67,true,3.00,7.00,,,0.32829,SOURCE:18,2097152:18,,,mask_explicit_bits=499834615,17,163,,,1,,,false,false,false,false,-0.176,-0.031,2.652,-0.478,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.76895,0.00924,1.2912,0.075995,4.2747,,,16.122,0.064,,,,,,,,0.0046834,0.00059744,0.000086274,0.0051083,0.00066692,0.0057752,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W27_2A_0059_1D1_spx_l2b-v25-2026-185.fits,61223.80070000,1.75,10.67,true,3.00,7.00,,,0.31543,SOURCE:17,2097152:17,,,mask_explicit_bits=499834615,16,156,,,1,,,false,false,false,false,-0.510,0.099,-4.284,-0.634,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.77278,0.00918,1.2623,0.081742,4.5194,,,16.147,0.070,,,,,,,,0.0050731,0.00066721,-0.00015203,0.0060444,0.00063740,0.0066817,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W01_2A_0692_3D1_spx_l2b-v23-2026-008.fits,61044.94389500,1.75,10.68,true,3.00,7.00,,,0.34436,SOURCE:21,2097152:21,,,mask_explicit_bits=499834615,19,163,,,0.9999999999999998,,,false,false,false,false,-0.062,-0.603,-6.869,4.240,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.77823,0.00958,1.2510,0.079690,4.3366,,,16.157,0.069,,,,,,,,0.0048052,0.00051322,-0.00020305,0.0057245,0.00062601,0.0063506,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2025W27_1A_0372_2D1_spx_l2b-v20-2025-258.fits,60857.93779000,1.75,10.67,true,3.00,7.00,,,0.32631,SOURCE:18,2097152:18,,,mask_explicit_bits=499834615,18,157,,,1,,,false,false,false,false,-0.319,-0.215,-3.400,-0.044,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.78718,0.00964,1.1969,0.077416,4.2158,,,16.205,0.070,,,,,,,,0.0045608,0.00054411,-0.00015765,0.0054202,0.00057300,0.0059932,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W27_2A_0059_2D1_spx_l2b-v25-2026-185.fits,61223.80219300,1.75,10.68,true,3.00,7.00,,,0.31928,SOURCE:18,2097152:18,,,mask_explicit_bits=499834615,17,156,,,1,,,false,false,false,false,-0.369,0.126,0.333,-0.570,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.79101,0.00956,1.3965,0.081289,4.7376,,,16.037,0.063,,,,,,,,0.0049309,0.00076505,-0.000065968,0.0058279,0.00078005,0.0066080,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2026W01_2A_0692_4D1_spx_l2b-v23-2026-008.fits,61044.94538700,1.75,10.67,true,3.00,7.00,,,0.35347,SOURCE:18,2097152:18,,,mask_explicit_bits=499834615,17,151,,,1,,,false,false,false,false,-0.209,0.169,-3.169,4.212,false,,,,,,,,,,
0,,source,P9694,11.5333,9.1225,cleaned,native_raw_mef_batch_exact_fractional,,SPHEREx-D1,0.79692,0.00990,1.9400,0.089077,5.0103,,,15.680,0.050,,,,,,,,0.0057613,0.00067117,0.0000015426,0.0064293,0.0015054,0.0079348,native_variance_monte_carlo_clipped_weighted_median,128,false,1.0000,1,level2_2025W27_1A_0372_3D1_spx_l2b-v20-2025-258.fits,60857.93928200,1.75,10.67,true,3.00,7.00,,,0.32394,SOURCE:19,2097152:19,,,mask_explicit_bits=499834615,18,160,,,1.0000000000000002,,,false,false,false,false,0.064,-0.197,-3.978,4.345,false,,,,,,,,,,
