line,rest_vacuum_um,redshift,observed_um,within_nominal_0p75_5um,interpretation,rest_wavelength_source
Hβ,0.4862680,0.2377224,0.601865,False,expected position; not a measured detection,SDSS
[O III] 4959,0.4960295,0.2377224,0.613947,False,expected position; not a measured detection,SDSS
[O III] 5007,0.5008240,0.2377224,0.619881,False,expected position; not a measured detection,SDSS
Hα,0.6564610,0.2377224,0.812516,True,expected position; not a measured detection,SDSS
Paδ,1.0052000,0.2377224,1.244159,True,expected position; not a measured detection,STScI NICMOS
He I,1.0833000,0.2377224,1.340825,True,expected position; not a measured detection,STScI NICMOS
Paγ,1.0941000,0.2377224,1.354192,True,expected position; not a measured detection,STScI NICMOS
Paβ,1.2822000,0.2377224,1.587008,True,expected position; not a measured detection,STScI NICMOS
Paα,1.8756000,0.2377224,2.321472,True,expected position; not a measured detection,STScI NICMOS
Brδ,1.9451000,0.2377224,2.407494,True,expected position; not a measured detection,STScI NICMOS
Brγ,2.1661000,0.2377224,2.681030,True,expected position; not a measured detection,STScI NICMOS
Brβ,2.6259000,0.2377224,3.250135,True,expected position; not a measured detection,STScI NICMOS
Brα,4.0522497,0.2377224,5.015560,False,expected position; not a measured detection,STScI NICMOS vacuum wavenumber
