name,pool,historical_r,start_pdt,end_pdt,start_utc,end_utc,minutes,minimum_moon_deg
P7281,manifold,17.29,20:25,00:15,2026-09-24T03:25:13.151,2026-09-24T07:15:13.151,230.0,40.0
P7837,manifold,17.93,20:40,00:39,2026-09-24T03:40:13.151,2026-09-24T07:39:45.127,239.5,43.3
P9227,manifold,17.41,21:15,00:39,2026-09-24T04:15:13.151,2026-09-24T07:39:45.127,204.5,53.9
P8548,manifold,17.24,21:20,00:39,2026-09-24T04:20:13.151,2026-09-24T07:39:45.127,199.5,42.5
P9506,manifold,17.7,21:40,00:39,2026-09-24T04:40:13.151,2026-09-24T07:39:45.127,179.5,46.7
P9292,manifold,18.26,21:45,00:39,2026-09-24T04:45:13.151,2026-09-24T07:39:45.127,174.5,40.5
P10381,manifold,17.19,21:55,00:39,2026-09-24T04:55:13.151,2026-09-24T07:39:45.127,164.5,51.7
P11113,manifold,17.19,21:55,00:39,2026-09-24T04:55:13.151,2026-09-24T07:39:45.127,164.5,62.2
P11267,manifold,18.4,22:05,00:39,2026-09-24T05:05:13.151,2026-09-24T07:39:45.127,154.5,59.7
P11082,manifold,16.81,22:10,00:39,2026-09-24T05:10:13.151,2026-09-24T07:39:45.127,149.5,62.9
P10252,manifold,17.89,22:15,00:39,2026-09-24T05:15:13.151,2026-09-24T07:39:45.127,144.5,40.3
P11010,manifold,17.79,22:30,00:39,2026-09-24T05:30:13.151,2026-09-24T07:39:45.127,129.5,50.8
P11744,manifold,18.41,22:35,00:39,2026-09-24T05:35:13.151,2026-09-24T07:39:45.127,124.5,63.4
P7113,reserve,17.36,20:05,00:39,2026-09-24T03:05:13.151,2026-09-24T07:39:45.127,274.5,44.8
P6930,reserve,17.9,20:10,00:39,2026-09-24T03:10:13.151,2026-09-24T07:39:45.127,269.5,42.9
P7784,reserve,17.74,20:35,00:39,2026-09-24T03:35:13.151,2026-09-24T07:39:45.127,244.5,41.6
P7759,reserve,16.93,20:35,00:39,2026-09-24T03:35:13.151,2026-09-24T07:39:45.127,244.5,49.5
P7847,reserve,16.92,20:40,00:39,2026-09-24T03:40:13.151,2026-09-24T07:39:45.127,239.5,47.7
P8342,reserve,16.99,20:45,00:39,2026-09-24T03:45:13.151,2026-09-24T07:39:45.127,234.5,50.4
